 Date Time CO SO2 OZ NO2 NO PM10
 17.12.12 12:00 0.07 0.02 0.02 0.57 0.47 ----
 -------- 13:00 0.07 0.02 0.02 0.53 0.35 ----
 -------- 14:00 0.03 0.02 0.03 0.53 0.30 ----
 -------- 15:00 0.03 0.02 0.04 0.50 0.23 ----
 -------- 16:00 ---- 0.01 0.02 0.48 0.18 ----
 17.12.12 17:00 ---- 0.01 0.01 0.48 0.19 ----
 -------- 18:00 ---- 0.01 0.01 0.47 0.20 ----
 -------- 19:00 ---- 0.01 0.01 0.43 0.15 ----
 -------- 20:00 ---- 0.01 ---- 0.41 0.17 ----
 -------- 21:00 ---- 0.01 0.01 0.40 0.15 ----
 17.12.12 22:00 0.02 0.01 0.01 0.33 0.03 ----
 -------- 23:00 0.02 0.00 0.03 0.29 0.02 ----
 -------- 00:00 ---- 0.00 0.04 0.29 0.01 ----
 -------- 01:00 ---- 0.00 0.04 0.30 0.03 ----
 -------- 02:00 0.02 0.01 0.01 0.34 0.08 ----
 18.12.12 03:00 0.02 0.01 0.02 0.30 0.03 ----
 -------- 04:00 ---- 0.00 0.08 0.24 0.00 ----
 -------- 05:00 ---- 0.00 0.08 0.24 0.00 ----
 -------- 06:00 ---- 0.00 0.03 0.30 0.03 ----
 -------- 07:00 ---- 0.00 0.02 0.31 0.04 0.04
 18.12.12 08:00 0.02 0.00 0.01 0.32 0.05 0.04
 -------- 09:00 0.03 0.01 0.01 0.33 0.07 0.04
 -------- 10:00 0.02 0.01 0.01 0.32 0.08 0.04
 -------- 11:00 0.04 0.01 0.03 0.30 0.11 0.05
 -------- 12:00 0.02 0.01 0.07 0.26 0.09 0.05
 18.12.12 13:00 0.03 0.01 0.05 0.28 0.14 0.05
 -------- 14:00 0.04 0.02 0.05 0.30 0.15 ----
 -------- 15:00 0.04 0.01 0.04 0.32 0.13 ----
 -------- 16:00 0.03 0.01 0.04 0.31 0.09 0.10
 -------- 17:00 0.02 0.01 0.03 0.33 0.04 0.09
 18.12.12 18:00 0.03 0.01 0.03 0.33 0.03 0.09
 -------- 19:00 0.02 0.01 0.03 0.31 0.03 0.08
 -------- 20:00 0.03 0.01 0.03 0.31 0.03 0.07
 -------- 21:00 0.04 0.01 0.03 0.31 0.03 0.06
 -------- 22:00 0.03 0.01 0.04 0.29 0.02 0.06
 18.12.12 23:00 0.02 0.01 0.06 0.27 0.02 0.05
 -------- 00:00 0.02 0.00 0.07 0.26 0.01 0.04
 -------- 01:00 ---- 0.01 0.12 0.22 0.00 0.04
 -------- 02:00 ---- 0.01 0.15 0.20 ---- 0.03
 -------- 03:00 ---- 0.01 0.14 0.20 0.00 0.04
 19.12.12 04:00 0.02 0.01 0.12 0.20 0.00 0.04
 -------- 05:00 0.02 0.01 0.07 0.24 0.01 0.04
 -------- 06:00 0.02 0.01 0.07 0.24 0.01 0.04
 -------- 07:00 0.03 0.01 0.02 0.27 0.03 0.05
 -------- 08:00 0.05 0.01 0.01 0.29 0.05 0.05
 19.12.12 09:00 0.06 0.01 0.01 0.30 0.06 0.05
 -------- 10:00 0.05 0.01 0.03 0.29 0.06 0.06
 -------- 11:00 0.04 0.01 0.06 0.27 0.08 0.06
