 Date Time CO SO2 OZ NO2 NO PM10
 30.01.13 00:00 0.02 0.00 0.04 0.37 0.03 0.05
 -------- 01:00 0.02 0.00 0.02 0.36 0.04 0.06
 -------- 02:00 0.02 0.00 0.04 0.31 0.01 0.05
 -------- 03:00 ---- 0.00 0.05 0.28 0.01 0.05
 -------- 04:00 ---- 0.00 0.03 0.33 0.02 0.05
 30.01.13 05:00 ---- 0.00 0.03 0.31 0.01 0.06
 -------- 06:00 0.02 0.00 0.01 0.33 0.03 0.06
 -------- 07:00 0.04 0.00 0.01 0.37 0.09 0.07
 -------- 08:00 0.05 0.00 0.01 0.38 0.14 0.11
 -------- 09:00 0.09 0.01 0.01 0.38 0.22 0.12
 30.01.13 10:00 0.09 0.01 0.01 0.37 0.21 0.12
 -------- 11:00 0.08 0.01 0.01 0.35 0.16 0.11
 -------- 12:00 0.06 0.00 0.03 0.31 0.09 0.10
 -------- 13:00 0.06 0.00 0.04 0.32 0.10 0.10
 -------- 14:00 0.06 0.00 0.05 0.31 0.09 0.09
 30.01.13 15:00 0.06 0.00 0.06 0.30 0.09 0.08
 -------- 16:00 0.05 0.00 0.04 0.34 0.10 0.08
 -------- 17:00 0.04 0.00 0.02 0.35 0.08 0.08
 -------- 18:00 0.04 0.00 0.01 0.37 0.11 0.08
 -------- 19:00 0.05 0.00 0.01 0.37 0.09 0.08
 30.01.13 20:00 0.04 0.00 0.01 0.35 0.06 0.06
 -------- 21:00 0.02 0.00 0.09 0.26 0.01 0.06
 -------- 22:00 ---- 0.00 0.09 0.28 0.01 0.05
 -------- 23:00 ---- 0.00 0.11 0.26 0.01 0.04
 -------- 00:00 ---- 0.00 0.15 0.21 0.01 0.04
 31.01.13 01:00 ---- 0.00 0.19 0.16 0.00 0.03
 -------- 02:00 0.02 0.00 0.19 0.14 0.00 0.03
 -------- 03:00 0.02 0.00 0.17 0.17 0.01 0.04
 -------- 04:00 0.02 0.00 0.20 0.15 0.00 0.04
 -------- 05:00 0.02 0.00 0.16 0.19 0.00 0.04
 31.01.13 06:00 0.02 0.00 0.14 0.21 0.00 0.04
 -------- 07:00 0.04 0.00 0.12 0.22 0.01 0.04
 -------- 08:00 0.04 0.00 0.10 0.25 0.01 0.04
 -------- 09:00 0.04 0.00 0.07 0.26 0.02 0.05
 -------- 10:00 0.04 0.00 0.09 0.24 0.02 0.05
 31.01.13 11:00 0.04 0.00 0.11 0.24 0.02 0.06
 -------- 12:00 0.03 0.00 0.12 0.23 0.02 0.05
 -------- 13:00 0.02 0.00 0.16 0.21 0.02 0.05
 -------- 14:00 0.02 0.00 0.20 0.20 0.02 0.04
 -------- 15:00 0.02 0.00 0.19 0.21 0.02 0.05
 31.01.13 16:00 0.02 0.00 0.20 0.21 0.01 0.05
 -------- 17:00 0.02 0.00 0.20 0.23 0.01 0.05
 -------- 18:00 0.02 ---- 0.18 0.24 0.01 0.06
 -------- 19:00 0.02 ---- 0.19 0.23 0.01 0.06
 -------- 20:00 0.02 ---- 0.21 0.21 0.00 0.06
 31.01.13 21:00 ---- 0.00 0.21 0.19 0.00 0.05
 -------- 22:00 0.02 0.01 0.19 0.20 0.01 0.05
 -------- 23:00 0.02 0.01 0.18 0.19 0.00 0.06
