 Date Time CO SO2 OZ NO2 NO PM10
 26.09.12 12:00 ---- 0.01 0.18 0.18 0.03 0.04
 -------- 13:00 ---- 0.00 0.19 0.19 0.03 0.05
 -------- 14:00 ---- 0.00 0.18 0.20 0.04 0.04
 -------- 15:00 ---- 0.00 0.21 0.19 0.03 0.04
 -------- 16:00 ---- 0.00 0.16 0.22 0.04 0.04
 26.09.12 17:00 ---- 0.00 0.19 0.16 0.03 0.03
 -------- 18:00 0.02 0.00 0.14 0.25 0.05 0.04
 -------- 19:00 0.04 0.00 0.05 0.29 0.05 0.05
 -------- 20:00 0.04 0.00 ---- 0.29 0.06 0.05
 -------- 21:00 0.04 0.00 ---- 0.26 0.08 0.05
 26.09.12 22:00 0.06 0.01 0.01 0.25 0.12 0.06
 -------- 23:00 0.06 0.01 0.01 0.26 0.13 0.06
 -------- 00:00 0.06 0.01 0.01 0.24 0.16 0.05
 -------- 01:00 0.11 0.01 0.01 0.23 0.18 0.05
 -------- 02:00 0.12 0.01 0.01 0.22 0.23 0.05
 27.09.12 03:00 0.07 0.01 ---- 0.20 0.16 0.05
 -------- 04:00 0.08 0.01 0.01 0.21 0.31 0.07
 -------- 05:00 0.06 0.01 0.01 0.21 0.31 0.06
 -------- 06:00 0.07 0.01 0.01 0.20 0.30 0.07
 -------- 07:00 0.06 0.01 0.01 0.20 0.28 0.08
 27.09.12 08:00 0.07 0.01 0.03 0.21 0.34 0.10
 -------- 09:00 0.08 0.01 0.01 0.32 0.25 0.11
 -------- 10:00 0.06 0.01 0.03 0.34 0.19 0.08
 -------- 11:00 0.03 0.01 0.09 0.29 0.09 0.07
 -------- 12:00 ---- 0.01 0.11 0.29 0.09 0.09
 27.09.12 13:00 ---- 0.01 0.17 0.24 0.06 0.08
 -------- 14:00 ---- 0.00 0.21 0.23 0.03 0.06
 -------- 15:00 0.03 0.00 0.14 0.29 0.04 0.07
 -------- 16:00 0.04 0.00 0.09 0.31 0.04 0.08
 -------- 17:00 0.04 0.00 0.08 0.32 0.05 0.09
 27.09.12 18:00 0.06 0.00 0.05 0.37 0.04 0.09
 -------- 19:00 0.05 0.00 0.10 0.35 0.02 0.09
 -------- 20:00 0.05 0.00 0.07 0.35 0.01 0.08
 -------- 21:00 0.04 0.00 0.18 0.28 0.00 0.08
 -------- 22:00 0.04 0.00 0.22 0.25 0.01 0.07
 27.09.12 23:00 0.03 0.00 0.24 0.24 0.00 0.07
 -------- 00:00 0.03 0.00 0.33 0.19 ---- 0.08
 -------- 01:00 0.02 0.00 0.46 0.14 0.00 0.08
 -------- 02:00 ---- 0.00 0.51 0.12 0.00 0.09
 -------- 03:00 ---- 0.00 0.54 0.10 0.00 0.08
 28.09.12 04:00 ---- 0.00 0.55 0.10 ---- 0.08
 -------- 05:00 ---- 0.00 0.59 0.08 0.00 0.07
 -------- 06:00 ---- 0.00 0.56 0.09 ---- 0.07
 -------- 07:00 ---- 0.00 0.52 0.12 0.00 0.07
 -------- 08:00 ---- 0.00 0.48 0.15 0.00 0.07
 28.09.12 09:00 ---- 0.00 0.45 0.18 0.01 0.08
 -------- 10:00 0.02 0.00 0.45 0.19 0.01 0.09
 -------- 11:00 0.02 0.00 0.48 0.18 0.01 0.09
