 Date Time CO SO2 OZ NO2 NO PM10
 08.02.13 00:00 0.02 0.00 0.16 0.18 0.00 0.05
 -------- 01:00 0.02 0.00 0.17 0.15 0.00 0.06
 -------- 02:00 ---- 0.00 0.21 0.13 ---- 0.06
 -------- 03:00 ---- 0.00 0.22 0.12 0.00 0.06
 -------- 04:00 ---- 0.00 0.21 0.14 ---- 0.05
 08.02.13 05:00 ---- 0.00 0.21 0.14 ---- 0.05
 -------- 06:00 ---- ---- 0.19 0.16 ---- 0.04
 -------- 07:00 ---- 0.00 0.14 0.21 0.00 0.05
 -------- 08:00 0.02 0.00 0.09 0.26 0.01 0.05
 -------- 09:00 0.02 0.00 0.06 0.29 0.01 0.05
 08.02.13 10:00 0.02 0.00 0.05 0.28 0.02 0.05
 -------- 11:00 0.02 ---- 0.06 0.28 0.03 0.06
 -------- 12:00 0.02 0.00 0.08 0.26 0.03 0.06
 -------- 13:00 0.02 0.00 0.10 0.24 0.02 0.06
 -------- 14:00 0.02 0.00 0.11 0.22 0.02 0.06
 08.02.13 15:00 0.02 0.00 0.09 0.24 0.02 0.06
 -------- 16:00 0.02 0.00 0.08 0.25 0.02 0.04
 -------- 17:00 0.02 ---- 0.08 0.26 0.01 0.03
 -------- 18:00 0.02 ---- 0.08 0.26 0.01 0.03
 -------- 19:00 0.02 ---- 0.09 0.26 0.01 0.02
 08.02.13 20:00 0.02 ---- 0.15 0.21 0.01 0.03
 -------- 21:00 0.02 0.00 0.14 0.23 0.00 0.03
 -------- 22:00 0.02 0.00 0.15 0.21 0.00 0.03
 -------- 23:00 0.02 0.00 0.19 0.18 0.00 0.03
 -------- 00:00 0.02 0.00 0.23 0.15 0.00 0.03
 09.02.13 01:00 0.02 0.00 0.24 0.14 0.00 0.02
 -------- 02:00 ---- ---- 0.25 0.13 0.00 0.03
 -------- 03:00 ---- ---- 0.27 0.11 ---- 0.03
 -------- 04:00 ---- 0.00 0.27 0.12 ---- 0.04
 -------- 05:00 ---- ---- 0.28 0.12 ---- 0.03
 09.02.13 06:00 0.02 ---- 0.26 0.14 ---- 0.03
 -------- 07:00 0.02 ---- 0.25 0.14 ---- 0.04
 -------- 08:00 0.02 ---- 0.23 0.16 0.00 0.04
 -------- 09:00 0.02 ---- 0.23 0.16 0.00 0.05
 -------- 10:00 0.02 ---- 0.23 0.16 0.00 0.06
 09.02.13 11:00 0.02 ---- 0.24 0.15 0.01 0.05
 -------- 12:00 0.03 ---- 0.20 0.19 0.01 0.04
 -------- 13:00 0.04 ---- 0.18 0.21 0.01 0.05
 -------- 14:00 0.04 0.00 0.18 0.22 0.02 0.05
 -------- 15:00 0.04 ---- 0.18 0.23 0.01 0.05
 09.02.13 16:00 0.03 ---- 0.21 0.22 0.01 0.05
 -------- 17:00 0.02 ---- 0.24 0.20 0.00 0.06
 -------- 18:00 0.02 ---- 0.24 0.22 0.00 0.06
 -------- 19:00 0.02 ---- 0.28 0.18 ---- 0.05
 -------- 20:00 0.02 ---- 0.29 0.18 0.00 0.05
 09.02.13 21:00 ---- 0.00 0.30 0.14 0.00 0.05
 -------- 22:00 ---- 0.00 0.31 0.13 ---- 0.04
 -------- 23:00 ---- 0.00 0.33 0.12 ---- 0.04
