 Date Time CO SO2 OZ NO2 NO PM10
 22.10.12 23:00 ---- ---- 0.25 0.13 ---- 0.02
 -------- 00:00 ---- ---- 0.25 0.13 ---- 0.02
 -------- 01:00 0.02 ---- 0.21 0.13 0.01 0.02
 -------- 02:00 0.02 ---- 0.22 0.12 0.00 0.02
 -------- 03:00 ---- ---- 0.20 0.14 ---- 0.02
 23.10.12 04:00 ---- ---- 0.28 0.10 ---- 0.02
 -------- 05:00 ---- ---- 0.24 0.12 0.00 0.02
 -------- 06:00 ---- ---- 0.17 0.17 ---- 0.02
 -------- 07:00 0.02 ---- 0.15 0.21 0.00 0.03
 -------- 08:00 0.02 0.00 0.07 0.28 0.01 0.03
 23.10.12 09:00 0.03 0.00 0.04 0.30 0.02 0.04
 -------- 10:00 0.04 0.00 0.06 0.28 0.03 0.05
 -------- 11:00 0.03 0.00 0.06 0.28 0.04 0.04
 -------- 12:00 ---- 0.00 0.10 0.26 0.02 0.04
 -------- 13:00 ---- 0.00 0.12 0.24 0.03 0.05
 23.10.12 14:00 ---- 0.00 0.11 0.25 0.02 0.05
 -------- 15:00 ---- 0.00 0.07 0.27 0.03 0.05
 -------- 16:00 0.02 0.00 0.04 0.29 0.03 0.07
 -------- 17:00 0.02 0.00 0.04 0.29 0.03 0.07
 -------- 18:00 ---- 0.00 0.07 0.29 0.01 0.05
 23.10.12 19:00 ---- ---- 0.15 0.24 0.00 0.04
 -------- 20:00 ---- ---- 0.11 0.26 0.01 0.06
 -------- 21:00 0.02 0.00 0.10 0.27 0.01 0.06
 -------- 22:00 0.02 0.00 0.21 0.16 0.00 0.04
 -------- 23:00 0.02 0.00 0.21 0.17 0.00 0.04
 24.10.12 00:00 0.02 0.00 0.19 0.19 0.00 0.05
 -------- 01:00 0.02 0.00 0.19 0.20 0.01 0.05
 -------- 02:00 0.02 0.00 0.06 0.27 0.02 0.06
 -------- 03:00 0.02 0.00 0.03 0.28 0.01 0.06
 -------- 04:00 0.02 0.00 0.09 0.24 0.01 0.06
 24.10.12 05:00 0.02 0.00 0.05 0.27 0.01 0.06
 -------- 06:00 0.02 0.00 0.02 0.29 0.05 0.07
 -------- 07:00 0.02 0.00 0.03 0.32 0.06 0.05
 -------- 08:00 0.04 0.01 0.01 0.41 0.16 0.06
 -------- 09:00 0.06 0.01 0.01 0.37 0.13 0.08
 24.10.12 10:00 0.05 0.00 0.02 0.31 0.06 0.06
 -------- 11:00 0.04 0.00 0.03 0.31 0.07 0.06
 -------- 12:00 0.04 0.00 0.06 0.29 0.06 0.06
 -------- 13:00 0.02 0.00 0.10 0.26 0.05 0.06
 -------- 14:00 0.02 0.00 0.12 0.25 0.05 0.05
 24.10.12 15:00 0.02 0.00 0.13 0.26 0.05 0.05
 -------- 16:00 0.03 0.00 0.11 0.25 0.05 0.06
 -------- 17:00 0.02 0.00 0.12 0.22 0.03 0.05
 -------- 18:00 0.02 0.00 0.17 0.21 0.03 0.04
 -------- 19:00 0.02 0.00 0.15 0.25 0.02 0.05
 24.10.12 20:00 0.02 0.00 0.06 0.30 0.03 0.06
 -------- 21:00 0.03 0.00 0.06 0.32 0.03 0.06
 -------- 22:00 0.02 ---- 0.07 0.27 0.01 0.04
