 Date Time CO SO2 OZ NO2 NO PM10
 18.12.12 12:00 0.02 0.01 0.07 0.26 0.10 0.06
 -------- 13:00 0.03 0.01 0.05 0.28 0.14 0.05
 -------- 14:00 0.04 0.02 0.05 0.30 0.15 ----
 -------- 15:00 0.04 0.01 0.04 0.32 0.13 ----
 -------- 16:00 0.03 0.01 0.04 0.31 0.09 0.10
 18.12.12 17:00 0.02 0.01 0.03 0.33 0.04 0.09
 -------- 18:00 0.03 0.01 0.03 0.33 0.03 0.09
 -------- 19:00 0.02 0.01 0.03 0.31 0.03 0.08
 -------- 20:00 0.03 0.01 0.03 0.31 0.03 0.07
 -------- 21:00 0.04 0.01 0.03 0.31 0.03 0.06
 18.12.12 22:00 0.03 0.01 0.04 0.29 0.02 0.06
 -------- 23:00 0.02 0.01 0.06 0.27 0.02 0.05
 -------- 00:00 0.02 0.00 0.07 0.26 0.01 0.04
 -------- 01:00 ---- 0.01 0.12 0.22 0.00 0.04
 -------- 02:00 ---- 0.01 0.15 0.20 ---- 0.03
 19.12.12 03:00 ---- 0.01 0.14 0.20 0.00 0.04
 -------- 04:00 0.02 0.01 0.12 0.20 0.00 0.04
 -------- 05:00 0.02 0.01 0.07 0.24 0.01 0.04
 -------- 06:00 0.02 0.01 0.07 0.24 0.01 0.04
 -------- 07:00 0.03 0.01 0.02 0.27 0.03 0.05
 19.12.12 08:00 0.05 0.01 0.01 0.29 0.05 0.05
 -------- 09:00 0.06 0.01 0.01 0.30 0.06 0.05
 -------- 10:00 0.05 0.01 0.03 0.29 0.06 0.06
 -------- 11:00 0.04 0.01 0.06 0.27 0.08 0.06
 -------- 12:00 0.04 0.02 0.07 0.27 0.10 0.06
 19.12.12 13:00 0.05 0.02 0.09 0.29 0.11 0.07
 -------- 14:00 0.04 0.02 0.08 0.30 0.12 0.07
 -------- 15:00 0.04 0.01 0.09 0.31 0.10 0.08
 -------- 16:00 0.04 0.01 0.05 0.32 0.08 0.07
 -------- 17:00 0.04 0.01 0.02 0.36 0.08 0.07
 19.12.12 18:00 0.04 0.01 0.01 0.37 0.08 0.06
 -------- 19:00 0.05 0.01 0.01 0.37 0.08 0.05
 -------- 20:00 0.04 0.01 0.03 0.36 0.04 0.05
 -------- 21:00 0.02 0.02 0.04 0.34 0.02 0.05
 -------- 22:00 0.02 0.01 0.04 0.34 0.02 0.05
 19.12.12 23:00 0.03 0.01 0.02 0.36 0.05 0.06
 -------- 00:00 0.03 0.01 0.01 0.37 0.07 0.06
 -------- 01:00 0.03 0.01 0.01 0.37 0.08 0.06
 -------- 02:00 0.02 0.01 0.01 0.36 0.06 0.06
 -------- 03:00 0.02 0.01 0.02 0.36 0.05 0.05
 20.12.12 04:00 ---- 0.01 0.01 0.35 0.04 0.06
 -------- 05:00 ---- 0.01 0.01 0.35 0.04 0.06
 -------- 06:00 ---- 0.01 0.01 0.35 0.04 0.06
 -------- 07:00 0.02 0.01 0.01 0.36 0.07 0.05
 -------- 08:00 0.04 0.01 0.01 0.38 0.10 0.06
 20.12.12 09:00 0.04 0.01 0.01 0.39 0.11 0.06
 -------- 10:00 0.04 0.01 0.02 0.38 0.12 0.06
 -------- 11:00 0.05 0.01 0.04 0.38 0.17 0.07
