 Date Time CO SO2 OZ NO2 NO PM10
 04.11.12 00:00 ---- 0.00 0.06 0.13 0.01 0.02
 -------- 01:00 ---- 0.00 0.11 0.10 0.00 0.03
 -------- 02:00 0.02 0.00 0.13 0.10 ---- 0.02
 -------- 03:00 0.02 ---- 0.15 0.09 0.00 0.02
 -------- 04:00 0.02 0.00 0.14 0.09 ---- 0.02
 04.11.12 05:00 0.02 0.00 0.16 0.10 0.00 0.02
 -------- 06:00 0.02 ---- 0.18 0.10 0.00 0.03
 -------- 07:00 0.02 ---- 0.18 0.11 0.01 0.03
 -------- 08:00 0.02 0.00 0.19 0.13 0.00 0.04
 -------- 09:00 0.02 0.00 0.16 0.15 0.01 0.04
 04.11.12 10:00 0.02 0.00 0.20 0.13 0.01 0.03
 -------- 11:00 0.02 ---- 0.22 0.12 0.01 0.04
 -------- 12:00 0.02 0.00 0.23 0.12 0.00 0.04
 -------- 13:00 0.02 0.00 0.25 0.11 0.00 0.04
 -------- 14:00 0.02 ---- 0.26 0.12 0.00 0.04
 04.11.12 15:00 0.02 0.00 0.29 0.11 0.00 0.05
 -------- 16:00 0.02 ---- 0.28 0.13 0.00 0.05
 -------- 17:00 0.02 0.00 0.25 0.14 0.00 0.05
 -------- 18:00 0.02 0.00 0.24 0.14 0.01 0.04
 -------- 19:00 0.02 0.00 0.21 0.15 ---- 0.04
 04.11.12 20:00 0.02 ---- 0.21 0.15 0.00 0.04
 -------- 21:00 0.02 ---- 0.25 0.12 0.00 0.04
 -------- 22:00 0.02 ---- 0.27 0.10 ---- 0.04
 -------- 23:00 0.02 ---- 0.24 0.12 0.00 0.04
 -------- 00:00 0.02 ---- 0.18 0.16 0.00 0.04
 05.11.12 01:00 0.02 ---- 0.23 0.13 0.00 0.03
 -------- 02:00 ---- ---- 0.31 0.11 0.00 0.02
 -------- 03:00 ---- ---- 0.33 0.11 0.00 0.02
 -------- 04:00 ---- ---- 0.32 0.12 0.00 0.03
 -------- 05:00 ---- ---- 0.24 0.15 0.00 0.03
 05.11.12 06:00 ---- ---- 0.19 0.18 0.01 0.02
 -------- 07:00 0.02 ---- 0.14 0.21 0.01 0.03
 -------- 08:00 0.02 ---- 0.08 0.23 0.02 0.03
 -------- 09:00 0.03 0.00 0.07 0.25 0.04 0.04
 -------- 10:00 0.04 0.00 0.11 0.22 0.04 0.04
 05.11.12 11:00 0.04 ---- 0.15 0.22 0.03 0.05
 -------- 12:00 0.03 ---- 0.22 0.19 0.02 0.04
 -------- 13:00 0.03 ---- 0.18 0.24 0.02 0.06
 -------- 14:00 0.04 0.00 0.08 0.31 0.05 0.08
 -------- 15:00 0.05 0.00 0.05 0.28 0.02 0.08
 05.11.12 16:00 0.04 0.00 0.06 0.26 0.01 0.07
 -------- 17:00 0.04 0.00 0.03 0.25 0.02 0.06
 -------- 18:00 0.03 0.00 0.01 0.24 0.03 0.06
 -------- 19:00 0.02 0.00 0.03 0.24 0.02 0.06
 -------- 20:00 0.02 0.00 0.05 0.24 0.01 0.07
 05.11.12 21:00 ---- 0.00 0.18 0.17 ---- 0.06
 -------- 22:00 ---- ---- 0.36 0.09 0.00 0.03
