 Date Time CO SO2 OZ NO2 NO PM10
 18.04.13 12:00 0.08 0.03 0.32 0.37 0.10 0.19
 -------- 13:00 0.08 0.03 0.39 0.34 0.07 0.20
 -------- 14:00 0.07 0.03 0.44 0.33 0.05 0.18
 -------- 15:00 0.06 0.03 0.46 0.30 0.04 0.21
 -------- 16:00 0.06 0.03 0.46 0.30 0.04 0.17
 18.04.13 17:00 0.06 0.03 0.47 0.29 0.05 0.14
 -------- 18:00 0.06 0.04 0.44 0.30 0.06 0.16
 -------- 19:00 0.06 0.04 0.42 0.32 0.10 0.13
 -------- 20:00 0.08 0.04 0.33 0.35 0.14 0.16
 -------- 21:00 0.10 0.02 0.19 0.37 0.19 0.20
 18.04.13 22:00 0.14 0.01 0.11 0.37 0.24 0.22
 -------- 23:00 0.17 0.01 0.01 0.40 0.28 0.24
 -------- 00:00 0.15 0.01 0.12 0.36 0.26 0.18
 -------- 01:00 0.11 0.01 0.33 0.32 0.20 0.11
 -------- 02:00 0.08 0.01 0.35 0.31 0.17 0.11
 19.04.13 03:00 0.08 0.01 0.38 0.32 0.14 0.11
 -------- 04:00 0.07 0.01 0.37 0.33 0.12 0.11
 -------- 05:00 0.07 0.01 0.36 0.33 0.11 0.10
 -------- 06:00 0.08 0.01 0.34 0.34 0.12 0.10
 -------- 07:00 0.08 0.01 0.33 0.35 0.12 0.13
 19.04.13 08:00 0.09 0.01 0.30 0.37 0.11 0.17
 -------- 09:00 0.10 0.02 0.30 0.37 0.12 0.19
 -------- 10:00 0.10 0.02 0.32 0.37 0.10 0.19
 -------- 11:00 0.09 0.02 0.37 0.37 0.09 0.21
 -------- 12:00 0.07 0.02 0.49 0.35 0.04 0.24
 19.04.13 13:00 0.06 0.02 0.60 0.30 0.02 0.27
 -------- 14:00 0.07 0.02 0.60 0.21 0.01 0.19
 -------- 15:00 0.06 0.02 0.62 0.13 0.01 0.19
 -------- 16:00 0.07 0.02 0.63 0.21 0.01 0.19
 -------- 17:00 0.06 0.01 0.62 0.26 0.01 0.17
 19.04.13 18:00 0.06 0.02 0.58 0.29 0.02 0.15
 -------- 19:00 0.08 0.02 0.55 0.33 0.03 0.16
 -------- 20:00 0.08 0.02 0.48 0.37 0.04 0.19
 -------- 21:00 0.10 0.01 0.42 0.38 0.06 0.17
 -------- 22:00 0.10 0.01 0.40 0.34 0.07 0.18
 19.04.13 23:00 0.09 0.00 0.33 0.33 0.10 0.17
 -------- 00:00 0.08 0.01 0.23 0.35 0.11 0.17
 -------- 01:00 0.08 0.01 0.25 0.33 0.12 0.13
 -------- 02:00 0.06 0.00 0.37 0.27 0.09 0.08
 -------- 03:00 0.06 0.00 0.32 0.25 0.09 0.07
 20.04.13 04:00 0.06 0.00 0.33 0.22 0.10 0.06
 -------- 05:00 0.06 0.00 0.31 0.19 0.10 0.06
 -------- 06:00 0.08 0.01 0.07 0.28 0.17 0.12
 -------- 07:00 0.08 0.01 0.04 0.32 0.19 0.19
 -------- 08:00 0.09 0.01 0.06 0.33 0.19 0.18
 20.04.13 09:00 0.11 0.01 0.05 0.35 0.22 0.27
 -------- 10:00 0.12 0.01 0.04 0.35 0.24 0.30
 -------- 11:00 0.11 0.01 0.10 0.34 0.19 0.27
