 Date Time CO SO2 OZ NO2 NO PM10 PM2.5
 06.03.13 12:00 0.10 0.00 0.21 0.24 0.06 0.07 ----
 -------- 13:00 0.10 0.00 0.26 0.21 0.05 0.07 ----
 -------- 14:00 0.09 0.00 0.31 0.19 0.04 0.07 ----
 -------- 15:00 0.08 0.00 0.36 0.17 0.03 0.06 ----
 -------- 16:00 0.08 0.00 0.41 0.15 0.02 0.05 ----
 06.03.13 17:00 0.08 0.00 0.41 0.18 0.02 0.05 ----
 -------- 18:00 0.08 0.00 0.39 0.19 0.01 0.05 ----
 -------- 19:00 0.08 0.00 0.39 0.19 0.01 0.04 ----
 -------- 20:00 0.08 0.00 0.39 0.19 0.01 0.05 ----
 -------- 21:00 0.07 0.00 0.41 0.17 0.00 0.05 ----
 06.03.13 22:00 0.06 0.01 0.43 0.15 0.00 0.05 ----
 -------- 23:00 0.06 0.01 0.48 0.13 0.00 0.05 ----
 -------- 00:00 0.06 0.00 0.53 0.11 0.00 0.06 ----
 -------- 01:00 0.06 0.00 0.52 0.13 0.00 0.06 ----
 -------- 02:00 0.06 0.00 0.54 0.13 0.00 0.06 ----
 07.03.13 03:00 0.06 0.00 0.55 0.13 0.00 0.06 ----
 -------- 04:00 0.06 0.00 0.57 0.13 0.00 0.06 ----
 -------- 05:00 0.06 0.00 0.60 0.11 0.00 0.07 ----
 -------- 06:00 0.06 0.00 0.58 0.14 0.00 0.08 ----
 -------- 07:00 0.07 ---- 0.41 0.26 0.01 0.08 ----
 07.03.13 08:00 0.08 ---- 0.31 0.31 0.02 0.08 ----
 -------- 09:00 0.08 ---- 0.30 0.30 0.03 0.08 ----
 -------- 10:00 0.07 ---- 0.35 0.22 0.03 0.08 ----
 -------- 11:00 0.06 ---- 0.38 0.16 0.02 0.04 ----
 -------- 12:00 0.04 ---- 0.38 0.13 0.02 0.03 ----
 07.03.13 13:00 0.04 ---- 0.42 0.11 0.02 0.03 ----
 -------- 14:00 0.04 ---- 0.41 0.12 0.02 0.03 ----
 -------- 15:00 0.04 ---- 0.42 0.12 0.02 0.02 ----
 -------- 16:00 0.06 ---- 0.42 0.12 0.02 0.03 ----
 -------- 17:00 0.05 ---- 0.43 0.11 0.02 0.03 ----
 07.03.13 18:00 0.06 ---- 0.44 0.11 0.01 0.03 ----
 -------- 19:00 0.06 ---- 0.38 0.14 0.01 0.03 ----
 -------- 20:00 0.06 ---- 0.34 0.15 0.01 0.04 ----
 -------- 21:00 0.07 ---- 0.24 0.22 0.02 0.04 ----
 -------- 22:00 0.08 ---- 0.15 0.27 0.03 0.05 ----
 07.03.13 23:00 0.08 ---- 0.19 0.24 0.03 0.04 ----
 -------- 00:00 0.08 ---- 0.09 0.31 0.06 0.05 ----
 -------- 01:00 0.06 ---- 0.18 0.23 0.03 0.04 ----
 -------- 02:00 0.06 ---- 0.24 0.19 0.02 0.03 ----
 -------- 03:00 0.06 ---- 0.23 0.20 0.02 0.03 ----
 08.03.13 04:00 0.06 ---- 0.26 0.17 0.01 0.03 ----
 -------- 05:00 0.04 ---- 0.35 0.11 0.00 0.03 ----
 -------- 06:00 0.04 ---- 0.37 0.10 0.00 0.03 ----
 -------- 07:00 0.04 ---- 0.35 0.11 0.00 0.02 ----
 -------- 08:00 0.04 ---- 0.36 0.10 0.01 0.02 ----
 08.03.13 09:00 0.04 ---- 0.40 0.08 0.01 0.03 ----
 -------- 10:00 0.05 ---- 0.38 0.09 0.01 0.03 ----
 -------- 11:00 0.05 ---- 0.39 0.07 0.01 0.03 ----
