 Date Time CO NO2 CHX NO PM10
 01.02.13 12:00 0.10 0.26 ---- 0.09 0.11
 -------- 13:00 0.10 0.25 ---- 0.09 0.11
 -------- 14:00 0.10 0.25 ---- 0.08 0.12
 -------- 15:00 0.10 0.26 ---- 0.07 0.11
 -------- 16:00 0.10 0.27 ---- 0.08 0.12
 01.02.13 17:00 0.11 0.28 ---- 0.07 0.14
 -------- 18:00 0.11 0.30 ---- 0.07 0.13
 -------- 19:00 0.12 0.31 ---- 0.09 0.14
 -------- 20:00 0.11 0.31 ---- 0.08 0.12
 -------- 21:00 0.10 0.31 ---- 0.08 0.09
 01.02.13 22:00 0.10 0.31 ---- 0.08 0.09
 -------- 23:00 0.11 0.30 ---- 0.10 0.09
 -------- 00:00 0.12 0.29 ---- 0.11 0.08
 -------- 01:00 0.09 0.24 ---- 0.02 0.06
 -------- 02:00 0.06 0.23 ---- 0.02 0.05
 02.02.13 03:00 0.06 0.21 ---- 0.01 0.03
 -------- 04:00 0.06 0.24 ---- 0.02 0.03
 -------- 05:00 0.06 0.27 ---- 0.03 0.03
 -------- 06:00 0.06 0.26 ---- 0.03 0.03
 -------- 07:00 0.07 0.26 1.45 0.05 0.03
 02.02.13 08:00 0.05 0.25 1.41 0.03 0.03
 -------- 09:00 0.06 0.24 1.40 0.02 0.03
 -------- 10:00 0.06 0.22 1.36 0.02 0.04
 -------- 11:00 0.06 0.20 1.41 0.02 0.05
 -------- 12:00 0.06 0.20 1.40 0.03 0.06
 02.02.13 13:00 0.06 0.19 1.39 0.04 0.04
 -------- 14:00 0.07 0.18 1.36 0.03 0.06
 -------- 15:00 0.09 0.23 1.46 0.06 0.07
 -------- 16:00 0.09 0.26 1.45 0.04 0.07
 -------- 17:00 0.08 0.24 1.42 0.02 0.06
 02.02.13 18:00 0.09 0.32 1.48 0.05 0.06
 -------- 19:00 0.08 0.25 1.37 0.01 0.04
 -------- 20:00 0.08 0.25 1.38 0.01 0.04
 -------- 21:00 0.08 0.26 1.43 0.01 0.05
 -------- 22:00 0.08 0.27 1.40 0.02 0.04
 02.02.13 23:00 0.13 0.29 1.56 0.14 0.05
 -------- 00:00 0.23 0.29 1.78 0.35 0.06
 -------- 01:00 0.11 0.30 1.51 0.13 0.11
 -------- 02:00 0.13 0.29 1.54 0.18 0.08
 -------- 03:00 0.09 0.29 1.48 0.06 0.10
 03.02.13 04:00 0.06 0.27 1.40 0.02 0.05
 -------- 05:00 0.06 0.27 1.38 0.02 0.05
 -------- 06:00 0.06 0.25 1.40 0.01 0.06
 -------- 07:00 0.06 0.25 1.40 0.01 0.04
 -------- 08:00 0.06 0.22 1.40 0.01 0.04
 03.02.13 09:00 0.06 0.25 1.46 0.01 0.05
 -------- 10:00 0.07 0.29 1.43 0.05 0.05
 -------- 11:00 0.08 0.25 1.41 0.03 0.05
