 Date Time CO NO2 CHX NO PM10
 28.12.12 12:00 0.08 0.18 1.39 0.02 0.03
 -------- 13:00 0.08 0.19 1.42 0.02 0.03
 -------- 14:00 0.08 0.21 1.41 0.03 0.03
 -------- 15:00 0.08 0.22 1.41 0.03 0.03
 -------- 16:00 0.08 0.23 1.41 0.02 0.03
 28.12.12 17:00 0.07 0.21 1.40 0.01 0.04
 -------- 18:00 0.06 0.23 1.40 0.01 0.04
 -------- 19:00 0.06 0.21 1.39 0.01 0.04
 -------- 20:00 0.06 0.20 1.39 0.01 0.03
 -------- 21:00 0.05 0.18 1.38 0.01 0.03
 28.12.12 22:00 0.03 0.09 1.34 ---- 0.01
 -------- 23:00 0.03 0.12 1.33 0.00 0.02
 -------- 00:00 0.03 0.12 1.34 ---- 0.01
 -------- 01:00 0.03 0.10 1.32 ---- 0.01
 -------- 02:00 0.02 0.06 1.30 0.00 0.01
 29.12.12 03:00 0.03 0.05 1.29 0.00 0.01
 -------- 04:00 0.04 0.07 1.31 ---- 0.03
 -------- 05:00 0.04 0.08 1.31 ---- 0.03
 -------- 06:00 0.04 0.06 1.30 ---- 0.01
 -------- 07:00 0.04 0.08 1.31 ---- 0.02
 29.12.12 08:00 0.04 0.10 1.31 ---- 0.03
 -------- 09:00 0.04 0.10 1.31 ---- 0.02
 -------- 10:00 0.04 0.10 1.31 0.00 0.02
 -------- 11:00 0.04 0.10 1.31 0.00 0.03
 -------- 12:00 0.04 0.12 1.31 0.01 0.02
 29.12.12 13:00 0.05 0.15 1.33 0.03 0.03
 -------- 14:00 0.06 0.15 1.33 0.02 0.03
 -------- 15:00 0.06 0.16 1.34 0.02 0.03
 -------- 16:00 0.06 0.12 1.32 0.02 0.02
 -------- 17:00 0.06 0.12 1.32 0.02 0.04
 29.12.12 18:00 0.07 0.13 1.33 0.02 0.03
 -------- 19:00 0.08 0.15 1.35 0.02 0.02
 -------- 20:00 0.06 0.11 1.32 0.01 0.02
 -------- 21:00 0.06 0.11 1.32 0.01 0.04
 -------- 22:00 0.06 0.12 1.33 0.02 0.03
 29.12.12 23:00 0.05 0.12 1.34 0.02 0.02
 -------- 00:00 0.06 0.09 1.34 0.01 0.02
 -------- 01:00 0.05 0.09 1.34 0.01 0.02
 -------- 02:00 0.05 0.10 1.33 0.01 0.02
 -------- 03:00 0.04 0.07 1.33 0.01 0.02
 30.12.12 04:00 0.04 0.08 1.33 0.01 0.02
 -------- 05:00 0.04 0.08 1.33 0.01 0.02
 -------- 06:00 0.05 0.10 1.35 0.01 0.02
 -------- 07:00 0.05 0.11 1.35 0.01 0.03
 -------- 08:00 0.06 0.14 1.35 0.01 0.03
 30.12.12 09:00 0.06 0.13 1.34 0.01 0.02
 -------- 10:00 0.07 0.14 1.35 0.02 0.02
 -------- 11:00 0.07 0.14 1.35 0.03 0.02
