 Date Time CO NO2 CHX NO PM10
 02.01.13 00:00 0.08 0.24 1.40 0.02 0.05
 -------- 01:00 0.08 0.23 1.39 0.02 0.05
 -------- 02:00 0.08 0.21 1.40 0.02 0.04
 -------- 03:00 0.07 0.18 1.39 0.01 0.03
 -------- 04:00 0.06 0.11 1.36 ---- 0.03
 02.01.13 05:00 0.06 0.11 1.36 ---- 0.04
 -------- 06:00 0.06 0.12 1.36 ---- 0.04
 -------- 07:00 0.06 0.12 1.38 ---- 0.05
 -------- 08:00 ---- 0.13 1.36 0.00 0.05
 -------- 09:00 ---- 0.14 1.36 0.00 0.05
 02.01.13 10:00 ---- 0.15 1.37 0.00 0.05
 -------- 11:00 ---- 0.18 1.37 0.01 0.05
 -------- 12:00 ---- 0.16 1.37 0.01 0.05
 -------- 13:00 ---- 0.13 1.36 0.01 0.04
 -------- 14:00 ---- 0.17 1.37 0.02 0.06
 02.01.13 15:00 ---- 0.17 1.38 0.01 0.06
 -------- 16:00 ---- 0.20 1.38 0.02 0.06
 -------- 17:00 ---- 0.25 1.40 0.01 0.06
 -------- 18:00 ---- 0.25 1.41 0.01 0.05
 -------- 19:00 ---- 0.22 1.38 0.01 0.05
 02.01.13 20:00 ---- 0.22 1.39 0.00 0.05
 -------- 21:00 ---- 0.22 1.39 0.00 0.05
 -------- 22:00 ---- 0.25 1.40 0.00 0.06
 -------- 23:00 ---- 0.19 1.38 0.00 0.05
 -------- 00:00 ---- 0.10 1.35 ---- 0.05
 03.01.13 01:00 ---- 0.12 1.36 ---- 0.06
 -------- 02:00 ---- 0.15 1.37 ---- 0.06
 -------- 03:00 ---- 0.14 1.37 ---- 0.05
 -------- 04:00 ---- 0.17 1.38 ---- 0.06
 -------- 05:00 ---- 0.16 1.37 0.00 0.06
 03.01.13 06:00 ---- 0.18 1.37 0.00 0.05
 -------- 07:00 0.07 0.19 1.38 0.00 0.06
 -------- 08:00 0.09 0.21 1.39 0.01 0.06
 -------- 09:00 0.08 0.21 1.39 0.01 0.06
 -------- 10:00 0.09 0.22 1.40 0.01 0.07
 03.01.13 11:00 0.10 0.23 1.40 0.02 0.07
 -------- 12:00 0.11 0.23 1.43 0.03 0.08
 -------- 13:00 0.11 0.22 1.44 0.03 0.08
 -------- 14:00 0.08 0.16 1.39 0.01 0.07
 -------- 15:00 0.08 0.15 1.39 0.01 0.08
 03.01.13 16:00 0.08 0.14 1.38 0.01 0.08
 -------- 17:00 0.08 0.15 1.39 0.01 0.08
 -------- 18:00 0.07 0.15 1.39 0.01 0.06
 -------- 19:00 0.07 0.15 1.38 0.01 0.05
 -------- 20:00 0.09 0.23 1.41 0.01 0.06
 03.01.13 21:00 0.07 0.16 1.39 0.00 0.06
 -------- 22:00 0.06 0.11 1.36 0.00 0.06
 -------- 23:00 0.06 0.09 1.37 ---- 0.04
