 Date Time CO NO2 CHX NO PM10
 24.09.12 00:00 0.04 0.08 1.33 0.00 0.03
 -------- 01:00 0.04 0.07 1.33 0.00 0.03
 -------- 02:00 0.04 0.06 1.33 0.00 0.03
 -------- 03:00 0.04 0.06 1.32 0.00 0.03
 -------- 04:00 0.04 0.06 1.33 0.00 0.02
 24.09.12 05:00 0.05 0.06 1.33 0.00 0.02
 -------- 06:00 0.05 0.06 1.32 0.00 0.01
 -------- 07:00 0.06 0.09 1.31 0.01 0.01
 -------- 08:00 0.07 0.13 1.33 0.02 0.04
 -------- 09:00 0.09 0.13 1.35 0.03 0.04
 24.09.12 10:00 0.07 0.10 1.33 0.02 0.03
 -------- 11:00 0.06 0.09 1.31 0.01 0.02
 -------- 12:00 0.06 0.08 1.31 0.01 0.03
 -------- 13:00 0.07 0.10 1.33 0.02 0.02
 -------- 14:00 0.07 0.10 1.34 0.02 0.03
 24.09.12 15:00 0.04 0.06 1.32 0.01 0.04
 -------- 16:00 0.06 0.09 1.33 0.01 0.03
 -------- 17:00 0.06 0.11 1.33 0.01 0.05
 -------- 18:00 0.06 0.12 1.33 0.01 0.03
 -------- 19:00 0.06 0.12 1.33 0.01 0.02
 24.09.12 20:00 0.06 0.13 1.34 0.01 0.02
 -------- 21:00 0.06 0.13 1.33 0.01 0.02
 -------- 22:00 0.07 0.14 1.34 0.01 0.02
 -------- 23:00 0.05 0.12 1.30 0.01 0.02
 -------- 00:00 0.04 0.09 1.30 0.00 0.03
 25.09.12 01:00 0.04 0.08 1.31 0.01 0.02
 -------- 02:00 0.06 0.07 1.29 0.01 0.02
 -------- 03:00 0.04 0.05 1.29 0.00 0.02
 -------- 04:00 0.04 0.04 1.28 0.01 0.02
 -------- 05:00 0.04 0.05 1.28 0.01 0.01
 25.09.12 06:00 0.05 0.07 1.29 0.01 0.02
 -------- 07:00 0.07 0.10 1.32 0.02 0.03
 -------- 08:00 0.09 0.12 1.33 0.03 0.03
 -------- 09:00 0.08 0.10 1.32 0.03 0.05
 -------- 10:00 0.08 0.10 1.33 0.04 0.06
 25.09.12 11:00 0.08 0.10 1.32 0.04 0.05
 -------- 12:00 0.06 0.08 1.31 0.03 0.05
 -------- 13:00 0.06 0.08 1.32 0.03 0.05
 -------- 14:00 0.07 0.10 1.33 0.02 0.05
 -------- 15:00 0.06 0.13 1.33 0.03 0.05
 25.09.12 16:00 0.07 0.14 1.34 0.03 0.06
 -------- 17:00 0.08 0.13 1.34 0.03 0.07
 -------- 18:00 0.08 0.14 1.35 0.03 0.06
 -------- 19:00 0.08 0.14 1.35 0.02 0.05
 -------- 20:00 0.08 0.13 1.35 0.02 0.05
 25.09.12 21:00 0.08 0.13 1.36 0.03 0.06
 -------- 22:00 0.08 0.10 1.33 0.02 0.04
 -------- 23:00 0.08 0.10 1.33 0.02 0.04
