 Date Time CO NO2 CHX NO PM10
 15.12.12 12:00 0.08 0.29 1.47 0.12 0.09
 -------- 13:00 0.09 0.28 1.46 0.12 0.09
 -------- 14:00 0.10 0.31 1.46 0.12 0.09
 -------- 15:00 0.10 0.32 1.45 0.10 0.08
 -------- 16:00 0.10 0.34 1.47 0.09 0.08
 15.12.12 17:00 0.10 0.35 1.47 0.07 0.08
 -------- 18:00 0.10 0.36 1.45 0.06 0.08
 -------- 19:00 0.09 0.35 1.44 0.05 0.08
 -------- 20:00 0.09 0.35 1.44 0.07 0.08
 -------- 21:00 0.07 0.32 1.39 0.04 0.07
 15.12.12 22:00 0.07 0.34 1.40 0.06 0.06
 -------- 23:00 0.10 0.36 1.46 0.13 0.07
 -------- 00:00 0.08 0.36 1.44 0.12 0.07
 -------- 01:00 0.08 0.36 1.45 0.12 0.07
 -------- 02:00 0.08 0.35 1.45 0.11 0.06
 16.12.12 03:00 0.08 0.35 1.48 0.11 0.06
 -------- 04:00 0.08 0.34 1.49 0.10 0.06
 -------- 05:00 0.09 0.33 1.48 0.10 0.06
 -------- 06:00 0.08 0.33 1.46 0.10 0.06
 -------- 07:00 0.09 0.34 1.48 0.14 0.08
 16.12.12 08:00 0.09 0.34 1.48 0.15 0.08
 -------- 09:00 0.10 0.35 1.48 0.18 0.08
 -------- 10:00 0.10 0.34 1.47 0.19 0.08
 -------- 11:00 0.11 0.34 1.60 0.20 0.09
 -------- 12:00 0.12 0.35 1.55 0.21 0.10
 16.12.12 13:00 0.12 0.36 1.53 0.19 0.10
 -------- 14:00 0.12 0.35 1.52 0.17 0.09
 -------- 15:00 0.12 0.37 1.51 0.16 0.09
 -------- 16:00 0.12 0.38 1.50 0.13 0.07
 -------- 17:00 0.12 0.39 1.48 0.15 0.09
 16.12.12 18:00 0.10 0.38 1.44 0.08 0.11
 -------- 19:00 0.11 0.38 1.51 0.09 0.09
 -------- 20:00 0.10 0.38 1.50 0.08 0.09
 -------- 21:00 0.11 0.38 1.54 0.13 0.10
 -------- 22:00 0.13 0.39 1.59 0.21 0.10
 16.12.12 23:00 0.15 0.39 1.55 0.26 0.11
 -------- 00:00 0.15 0.38 1.54 0.24 0.10
 -------- 01:00 0.15 0.38 1.58 0.26 0.09
 -------- 02:00 0.11 0.36 1.58 0.17 0.09
 -------- 03:00 0.11 0.34 1.73 0.18 0.08
 17.12.12 04:00 0.12 0.33 1.70 0.22 0.09
 -------- 05:00 0.15 0.34 1.81 0.27 0.09
 -------- 06:00 0.14 0.34 1.79 0.30 0.25
 -------- 07:00 0.17 0.34 1.71 0.38 0.09
 -------- 08:00 0.21 0.37 ---- 0.49 0.11
 17.12.12 09:00 0.25 0.39 ---- 0.60 0.12
 -------- 10:00 0.22 0.41 ---- 0.55 0.12
 -------- 11:00 0.13 0.36 ---- 0.20 0.06
