 Date Time CO NO2 CHX NO PM10
 26.02.13 12:00 0.10 0.35 1.42 0.10 0.15
 -------- 13:00 0.08 0.30 1.40 0.07 0.12
 -------- 14:00 0.07 0.26 1.39 0.05 0.09
 -------- 15:00 0.06 0.21 1.38 0.03 0.08
 -------- 16:00 0.05 0.17 1.34 0.02 0.06
 26.02.13 17:00 0.04 0.19 1.31 0.01 0.04
 -------- 18:00 0.04 0.18 1.31 0.01 0.03
 -------- 19:00 0.06 0.22 1.31 0.01 0.04
 -------- 20:00 0.06 0.23 1.31 0.00 0.05
 -------- 21:00 0.06 0.23 1.30 0.00 0.04
 26.02.13 22:00 0.06 0.23 1.29 0.00 0.06
 -------- 23:00 0.06 0.23 1.29 0.00 0.04
 -------- 00:00 0.05 0.21 1.28 0.00 0.04
 -------- 01:00 0.04 0.17 1.28 0.00 0.03
 -------- 02:00 0.04 0.15 1.27 0.00 0.04
 27.02.13 03:00 0.04 0.15 1.28 ---- 0.03
 -------- 04:00 0.04 0.13 1.28 ---- 0.03
 -------- 05:00 0.05 0.16 1.28 0.00 0.04
 -------- 06:00 0.05 0.13 1.27 0.01 0.05
 -------- 07:00 0.06 0.19 1.30 0.01 0.05
 27.02.13 08:00 0.08 0.25 1.33 0.03 0.04
 -------- 09:00 0.09 0.29 1.34 0.04 0.06
 -------- 10:00 0.08 0.29 1.34 0.04 0.06
 -------- 11:00 0.10 0.34 1.39 0.08 0.06
 -------- 12:00 0.08 0.23 1.35 0.05 0.04
 27.02.13 13:00 0.08 0.21 1.34 0.05 0.03
 -------- 14:00 0.08 0.24 1.33 0.06 0.04
 -------- 15:00 0.09 0.29 1.36 0.08 0.05
 -------- 16:00 0.07 0.18 1.30 0.06 0.02
 -------- 17:00 0.09 0.22 1.31 0.07 0.02
 27.02.13 18:00 0.08 0.23 1.31 0.06 0.08
 -------- 19:00 0.15 0.36 1.39 0.12 0.19
 -------- 20:00 0.21 0.44 1.47 0.17 0.19
 -------- 21:00 0.23 0.47 1.46 0.24 0.41
 -------- 22:00 0.12 0.38 1.37 0.06 0.20
 27.02.13 23:00 0.08 0.42 1.46 0.05 0.07
 -------- 00:00 0.11 0.48 1.47 0.09 0.13
 -------- 01:00 0.08 0.44 1.45 0.03 0.09
 -------- 02:00 0.08 0.34 1.36 0.01 0.05
 -------- 03:00 0.06 0.26 1.33 0.01 0.04
 28.02.13 04:00 0.05 0.14 1.28 ---- 0.03
 -------- 05:00 0.04 0.10 1.27 0.00 0.02
 -------- 06:00 0.04 0.10 1.27 ---- 0.01
 -------- 07:00 0.04 0.14 1.28 0.00 0.01
 -------- 08:00 0.06 0.15 1.29 0.00 0.02
 28.02.13 09:00 0.06 0.16 1.29 0.01 0.02
 -------- 10:00 0.07 0.17 1.30 0.02 0.03
 -------- 11:00 0.06 0.20 1.30 0.03 0.03
