 Date Time CO NO2 CHX NO PM10
 25.01.13 12:00 0.10 0.20 1.38 0.11 0.03
 -------- 13:00 0.07 0.21 1.46 0.08 0.03
 -------- 14:00 0.09 0.27 1.40 0.12 0.03
 -------- 15:00 0.08 0.22 1.37 0.08 0.03
 -------- 16:00 0.06 0.22 1.35 0.05 0.03
 25.01.13 17:00 0.06 0.26 1.37 0.03 0.03
 -------- 18:00 0.06 0.29 1.37 0.02 0.03
 -------- 19:00 0.06 0.27 1.35 0.02 0.03
 -------- 20:00 0.08 0.29 1.37 0.02 0.03
 -------- 21:00 0.08 0.31 1.39 0.03 0.03
 25.01.13 22:00 0.08 0.31 1.40 0.04 0.03
 -------- 23:00 0.08 0.33 1.41 0.05 0.03
 -------- 00:00 0.08 0.33 1.43 0.04 0.03
 -------- 01:00 0.08 0.33 1.41 0.05 0.04
 -------- 02:00 0.06 0.32 1.39 0.04 0.03
 26.01.13 03:00 0.06 0.32 1.40 0.03 0.03
 -------- 04:00 0.06 0.28 1.37 0.02 0.03
 -------- 05:00 0.04 0.17 1.32 0.01 0.02
 -------- 06:00 0.04 0.17 1.31 0.01 0.02
 -------- 07:00 0.05 0.21 1.35 0.00 0.02
 26.01.13 08:00 0.06 0.21 1.34 0.01 0.03
 -------- 09:00 0.06 0.26 1.36 0.02 0.02
 -------- 10:00 0.07 0.25 1.40 0.04 0.03
 -------- 11:00 0.08 0.24 1.41 0.06 0.04
 -------- 12:00 0.08 0.21 1.41 0.06 0.04
 26.01.13 13:00 0.06 0.18 1.39 0.05 0.03
 -------- 14:00 0.06 0.19 1.40 0.05 0.03
 -------- 15:00 0.06 0.19 1.39 0.04 0.03
 -------- 16:00 0.06 0.19 1.40 0.03 0.03
 -------- 17:00 0.06 0.22 1.39 0.02 0.03
 26.01.13 18:00 0.06 0.24 1.38 0.01 0.03
 -------- 19:00 0.06 0.28 1.40 0.02 0.03
 -------- 20:00 0.06 0.26 1.39 0.01 0.02
 -------- 21:00 0.06 0.26 1.38 0.02 0.02
 -------- 22:00 0.06 0.22 1.38 0.01 0.02
 26.01.13 23:00 0.06 0.23 1.39 0.01 0.03
