 Date Time CO NO2 CHX NO PM10
 26.01.13 12:00 0.08 0.21 1.41 0.06 0.04
 -------- 13:00 0.06 0.18 1.39 0.05 0.03
 -------- 14:00 0.06 0.19 1.40 0.05 0.03
 -------- 15:00 0.06 0.19 1.39 0.04 0.03
 -------- 16:00 0.06 0.19 1.40 0.03 0.03
 26.01.13 17:00 0.06 0.22 1.39 0.02 0.03
 -------- 18:00 0.06 0.24 1.38 0.01 0.03
 -------- 19:00 0.06 0.28 1.40 0.02 0.03
 -------- 20:00 0.06 0.26 1.39 0.01 0.02
 -------- 21:00 0.06 0.26 1.38 0.02 0.02
 26.01.13 22:00 0.06 0.22 1.38 0.01 0.02
 -------- 23:00 0.06 0.23 1.39 0.01 0.03
