 Date Time CO NO2 CHX NO PM10
 01.04.13 00:00 0.13 0.46 1.48 0.11 0.06
 -------- 01:00 0.16 0.44 1.49 0.11 0.04
 -------- 02:00 0.14 0.41 1.49 0.15 0.04
 -------- 03:00 0.12 0.40 1.53 0.17 0.06
 -------- 04:00 0.11 0.40 1.49 0.06 0.05
 01.04.13 05:00 0.10 0.36 1.50 0.12 0.04
 -------- 06:00 0.11 0.35 1.50 0.11 0.06
 -------- 07:00 0.14 0.38 1.54 0.17 0.06
 -------- 08:00 0.11 0.35 1.59 0.05 0.05
 -------- 09:00 0.10 0.30 1.57 0.03 0.03
 01.04.13 10:00 0.09 0.26 1.47 0.04 0.03
 -------- 11:00 0.07 0.24 1.40 0.04 0.02
 -------- 12:00 0.06 0.18 1.43 0.02 0.01
 -------- 13:00 0.06 0.16 1.40 0.02 0.01
 -------- 14:00 0.07 0.23 1.36 0.03 0.04
 01.04.13 15:00 0.06 0.23 1.34 0.03 0.04
 -------- 16:00 0.06 0.24 1.35 0.03 0.06
 -------- 17:00 0.09 0.33 1.44 0.08 0.09
 -------- 18:00 0.09 0.30 1.51 0.04 0.08
 -------- 19:00 0.11 0.36 1.53 0.09 0.10
 01.04.13 20:00 0.12 0.39 1.51 0.11 0.09
 -------- 21:00 0.12 0.41 1.58 0.10 0.11
 -------- 22:00 0.10 0.42 1.52 0.05 0.07
 -------- 23:00 0.11 0.43 1.63 0.09 0.06
 -------- 00:00 0.11 0.47 1.65 0.09 0.07
 02.04.13 01:00 0.09 0.43 1.49 0.03 0.08
 -------- 02:00 0.07 0.29 1.40 0.00 0.06
 -------- 03:00 0.06 0.21 1.36 0.01 0.05
 -------- 04:00 0.07 0.21 1.37 0.00 0.05
 -------- 05:00 0.06 0.26 1.39 0.00 0.04
 02.04.13 06:00 0.06 0.30 1.37 0.01 0.03
 -------- 07:00 0.07 0.29 1.36 0.01 0.03
 -------- 08:00 0.08 0.30 1.37 0.03 0.03
 -------- 09:00 0.07 0.21 1.35 0.02 0.02
 -------- 10:00 0.06 0.17 1.35 0.02 0.02
 02.04.13 11:00 0.06 0.12 1.33 0.01 0.01
 -------- 12:00 0.06 0.12 1.34 0.01 0.02
 -------- 13:00 0.06 0.13 1.34 0.02 0.02
 -------- 14:00 0.08 0.19 1.36 0.03 0.04
 -------- 15:00 0.08 0.18 1.35 0.03 0.03
 02.04.13 16:00 0.07 0.16 1.33 0.02 0.03
 -------- 17:00 0.08 0.20 1.34 0.02 0.03
 -------- 18:00 0.09 0.24 1.35 0.03 0.03
 -------- 19:00 0.09 0.26 1.37 0.02 0.03
 -------- 20:00 0.09 0.28 1.38 0.02 0.04
 02.04.13 21:00 0.07 0.19 1.34 0.01 0.03
 -------- 22:00 0.08 0.28 1.36 0.02 0.04
 -------- 23:00 0.06 0.22 1.33 ---- 0.03
