 Date Time CO NO2 CHX NO PM10
 21.01.13 12:00 0.10 0.19 1.55 0.14 0.05
 -------- 13:00 0.09 0.20 1.46 0.15 0.05
 -------- 14:00 0.08 0.16 1.39 0.08 0.05
 -------- 15:00 0.09 0.18 1.52 0.08 0.06
 -------- 16:00 0.09 0.21 1.63 0.10 0.05
 21.01.13 17:00 0.10 0.25 2.23 0.10 0.05
 -------- 18:00 0.09 0.26 1.57 0.07 0.04
 -------- 19:00 0.11 0.29 1.47 0.07 0.05
 -------- 20:00 0.09 0.26 1.46 0.06 0.06
 -------- 21:00 0.09 0.20 1.39 0.04 0.04
 21.01.13 22:00 0.09 0.20 1.36 0.04 0.03
 -------- 23:00 0.07 0.17 1.31 0.04 0.03
 -------- 00:00 0.06 0.23 1.38 0.04 0.03
 -------- 01:00 0.06 0.20 1.42 0.03 0.02
 -------- 02:00 0.04 0.15 1.39 0.01 0.02
 22.01.13 03:00 0.03 0.14 1.37 0.02 0.03
 -------- 04:00 0.03 0.09 1.29 0.01 0.01
 -------- 05:00 0.04 0.21 1.34 0.02 0.02
 -------- 06:00 0.05 0.28 1.37 0.04 0.02
 -------- 07:00 0.07 0.34 1.41 0.08 0.03
 22.01.13 08:00 0.11 0.33 1.46 0.14 0.03
 -------- 09:00 0.10 0.34 1.45 0.11 0.03
 -------- 10:00 0.09 0.29 1.41 0.09 0.04
 -------- 11:00 0.07 0.25 1.32 0.07 0.03
 -------- 12:00 0.09 0.27 1.37 0.12 0.05
 22.01.13 13:00 0.11 0.29 1.46 0.17 0.07
 -------- 14:00 0.11 0.30 1.45 0.16 0.06
 -------- 15:00 0.09 0.26 1.39 0.10 0.04
 -------- 16:00 0.07 0.23 1.35 0.05 0.03
 -------- 17:00 0.06 0.21 1.32 0.02 0.02
 22.01.13 18:00 0.06 0.28 1.33 0.02 0.02
 -------- 19:00 0.07 0.29 1.34 0.02 0.03
 -------- 20:00 0.07 0.29 1.34 0.03 0.03
 -------- 21:00 0.08 0.32 1.36 0.03 0.03
 -------- 22:00 0.07 0.30 1.35 0.03 0.03
 22.01.13 23:00 0.08 0.32 1.36 0.03 0.03
