 Date Time CO SO2 H2S NO2 CHX NO PM10
 24.03.13 00:00 0.04 0.01 0.12 0.09 1.41 0.03 0.02
 -------- 01:00 0.05 0.01 0.12 0.09 1.40 0.03 0.02
 -------- 02:00 0.05 0.01 0.12 0.08 1.40 0.03 0.02
 -------- 03:00 0.04 0.01 0.12 0.07 1.40 0.03 0.02
 -------- 04:00 0.04 0.01 ---- 0.06 1.40 0.03 0.02
 24.03.13 05:00 0.05 0.01 0.12 0.06 1.41 0.03 0.02
 -------- 06:00 0.04 0.01 0.12 0.06 1.42 0.03 0.03
 -------- 07:00 0.03 0.01 0.12 0.06 1.39 0.03 0.05
 -------- 08:00 0.02 0.00 ---- 0.06 1.39 0.03 0.06
 -------- 09:00 0.02 ---- ---- 0.06 1.39 0.03 0.05
 24.03.13 10:00 0.02 ---- ---- 0.06 1.40 0.03 0.04
 -------- 11:00 0.02 ---- ---- 0.06 1.40 0.03 0.04
 -------- 12:00 0.02 ---- ---- 0.06 1.40 0.03 0.04
 -------- 13:00 0.02 ---- ---- 0.06 1.40 0.03 0.04
 -------- 14:00 0.02 ---- ---- 0.06 1.39 0.03 0.04
 24.03.13 15:00 0.02 ---- ---- 0.07 1.39 0.04 0.05
 -------- 16:00 0.03 ---- ---- 0.06 1.39 0.03 0.03
 -------- 17:00 0.02 ---- ---- 0.07 1.38 0.03 0.04
 -------- 18:00 0.02 ---- ---- 0.08 1.39 0.03 0.03
 -------- 19:00 0.02 ---- ---- 0.07 1.39 0.03 0.03
 24.03.13 20:00 0.02 ---- ---- 0.07 1.39 0.03 0.02
 -------- 21:00 0.02 ---- ---- 0.07 1.39 0.03 0.02
 -------- 22:00 0.02 ---- ---- 0.07 1.39 0.03 0.01
 -------- 23:00 0.02 ---- ---- 0.07 1.39 0.03 0.01
 -------- 00:00 0.02 0.00 0.12 0.07 1.39 0.03 0.01
 25.03.13 01:00 0.02 0.00 ---- 0.07 1.39 0.03 0.01
 -------- 02:00 0.02 0.00 ---- 0.07 1.39 0.03 0.01
 -------- 03:00 0.02 0.00 ---- 0.07 1.39 0.03 0.01
 -------- 04:00 0.02 0.00 0.12 0.07 1.39 0.03 0.01
 -------- 05:00 0.02 0.00 0.12 0.07 1.41 0.03 0.01
 25.03.13 06:00 0.02 0.00 ---- 0.10 1.43 0.03 0.01
 -------- 07:00 0.03 0.00 0.12 0.12 1.42 0.03 0.03
 -------- 08:00 0.03 0.01 0.12 0.11 1.40 0.04 0.02
 -------- 09:00 0.03 0.01 0.12 0.12 1.40 0.04 0.02
 -------- 10:00 0.02 0.01 0.12 0.11 1.41 0.04 0.02
 25.03.13 11:00 0.03 0.01 0.17 0.10 1.41 0.04 0.02
 -------- 12:00 0.02 0.01 0.25 0.10 1.39 0.04 0.02
 -------- 13:00 0.03 0.02 0.29 0.09 1.40 0.04 0.03
 -------- 14:00 0.04 0.02 0.38 0.09 1.39 0.04 0.03
 -------- 15:00 0.04 0.02 0.46 0.09 1.38 0.04 0.03
 25.03.13 16:00 0.04 0.02 0.54 0.08 1.38 0.04 0.02
 -------- 17:00 0.04 0.02 0.58 0.09 1.38 0.04 0.02
 -------- 18:00 0.04 0.02 0.67 0.10 1.38 0.03 0.02
 -------- 19:00 0.04 0.03 0.79 0.10 1.38 0.03 0.02
 -------- 20:00 0.04 0.03 0.83 0.12 1.38 0.03 0.02
 25.03.13 21:00 0.05 0.03 0.88 0.15 1.42 0.03 0.02
 -------- 22:00 0.06 0.03 0.88 0.14 1.43 0.03 0.02
 -------- 23:00 0.06 0.03 0.88 0.14 1.41 0.03 0.01
