 Date Time CO H2S NO2 CHX NO PM10
 09.11.12 12:00 0.11 0.25 0.19 1.77 0.11 0.05
 -------- 13:00 0.17 0.42 0.21 1.91 0.19 0.07
 -------- 14:00 0.12 0.19 0.20 1.72 0.13 0.05
 -------- 15:00 0.07 0.12 0.18 1.60 0.06 0.03
 -------- 16:00 0.07 0.17 0.19 1.62 0.04 0.04
 09.11.12 17:00 0.09 0.25 0.19 1.64 0.06 0.05
 -------- 18:00 0.10 0.12 0.20 1.62 0.06 0.04
 -------- 19:00 0.09 0.12 0.18 1.61 0.03 0.05
 -------- 20:00 0.10 0.12 0.12 1.56 0.00 0.04
 -------- 21:00 0.11 ---- 0.13 1.57 0.00 0.02
 09.11.12 22:00 0.10 ---- 0.08 1.56 ---- 0.04
 -------- 23:00 0.10 ---- 0.10 1.54 0.00 0.03
 -------- 00:00 0.09 0.25 0.07 1.52 ---- 0.02
 -------- 01:00 0.08 0.46 0.05 1.52 ---- 0.02
 -------- 02:00 0.08 0.21 0.07 1.51 ---- 0.02
 10.11.12 03:00 0.08 0.25 0.07 1.53 ---- 0.01
 -------- 04:00 0.08 0.12 0.08 1.52 ---- 0.01
 -------- 05:00 0.10 ---- 0.11 1.58 ---- 0.01
 -------- 06:00 0.11 ---- 0.20 1.59 0.00 0.03
 -------- 07:00 0.09 ---- 0.20 1.58 0.00 0.03
 10.11.12 08:00 0.02 0.12 0.21 1.58 0.01 0.02
 -------- 09:00 0.02 ---- 0.20 1.59 0.01 0.03
 -------- 10:00 0.02 0.12 0.20 1.59 0.02 0.03
 -------- 11:00 0.02 0.17 0.17 1.57 0.02 0.04
 -------- 12:00 0.02 0.12 0.14 1.58 0.02 0.03
 10.11.12 13:00 0.02 0.12 0.11 1.57 0.01 0.04
 -------- 14:00 0.02 0.12 0.08 1.55 0.01 0.04
 -------- 15:00 0.02 0.29 0.07 1.54 0.01 0.07
 -------- 16:00 0.02 0.46 0.13 1.57 0.01 0.08
 -------- 17:00 0.02 0.38 0.21 1.59 0.02 0.09
 10.11.12 18:00 0.04 0.12 0.24 1.62 0.01 0.06
 -------- 19:00 0.10 ---- 0.28 1.65 0.03 0.05
 -------- 20:00 0.25 0.12 0.28 1.80 0.11 0.12
 -------- 21:00 0.33 ---- 0.26 1.89 0.14 0.14
 -------- 22:00 0.21 0.29 0.21 1.80 0.10 0.08
 10.11.12 23:00 0.19 0.38 0.21 1.79 0.09 0.08
 -------- 00:00 0.21 0.17 0.15 2.12 0.10 0.06
 -------- 01:00 0.23 0.29 0.16 2.86 0.14 0.13
 -------- 02:00 0.27 0.29 0.20 5.93 0.26 0.11
 -------- 03:00 0.29 0.75 0.19 5.70 0.31 0.17
 11.11.12 04:00 0.33 0.83 0.21 5.96 0.35 0.20
 -------- 05:00 0.32 1.17 0.20 5.51 0.36 0.19
 -------- 06:00 0.34 0.83 0.22 3.86 0.41 0.22
 -------- 07:00 0.31 0.71 0.19 3.59 0.40 0.22
 -------- 08:00 0.30 0.50 0.21 3.10 0.39 0.16
 11.11.12 09:00 0.27 0.46 0.21 3.06 0.35 0.13
 -------- 10:00 0.20 0.25 0.21 2.76 0.26 0.13
