 Date Time CO H2S NO2 CHX NO PM10
 18.10.12 12:00 0.12 0.88 0.18 1.88 0.09 0.08
 -------- 13:00 0.11 0.54 0.17 1.91 0.09 0.07
 -------- 14:00 0.08 0.17 0.10 1.62 0.01 0.01
 -------- 15:00 0.06 0.12 0.09 1.59 0.01 0.01
 -------- 16:00 0.07 0.21 0.10 1.60 0.01 0.01
 18.10.12 17:00 0.08 0.25 0.12 1.62 0.01 0.02
 -------- 18:00 0.08 0.21 0.12 1.71 0.01 0.02
 -------- 19:00 0.10 0.25 0.13 1.62 0.01 0.03
 -------- 20:00 0.13 0.12 0.13 1.57 0.00 0.02
 -------- 21:00 0.14 0.12 0.15 1.59 0.00 0.02
 18.10.12 22:00 0.13 0.12 0.12 1.58 0.00 0.02
 -------- 23:00 0.12 0.12 0.10 1.57 0.00 0.02
 -------- 00:00 0.12 0.12 0.09 1.56 0.00 0.02
 -------- 01:00 0.12 0.12 0.09 1.56 ---- 0.02
 -------- 02:00 0.11 0.21 0.09 1.56 ---- 0.02
 19.10.12 03:00 0.10 0.29 0.08 1.56 ---- 0.02
 -------- 04:00 0.11 0.12 0.09 1.56 ---- 0.02
 -------- 05:00 0.11 0.17 0.10 1.60 0.01 0.03
 -------- 06:00 0.12 0.12 0.12 1.61 0.01 0.02
 -------- 07:00 0.11 0.12 0.12 1.86 0.03 0.02
 19.10.12 08:00 0.09 0.12 0.12 1.87 0.06 0.03
 -------- 09:00 0.11 0.12 0.11 2.02 0.07 0.03
 -------- 10:00 0.17 0.38 0.12 1.87 0.17 0.07
 -------- 11:00 0.23 0.75 0.19 1.90 0.21 0.09
 -------- 12:00 0.23 0.12 0.22 1.94 0.23 0.08
 19.10.12 13:00 0.17 0.12 0.20 1.82 0.15 0.06
 -------- 14:00 0.15 0.12 0.21 1.78 0.12 0.07
 -------- 15:00 0.17 0.12 0.23 1.83 0.15 0.07
 -------- 16:00 0.16 0.29 0.22 1.82 0.12 0.08
 -------- 17:00 0.14 0.38 0.23 1.73 0.09 0.06
 19.10.12 18:00 0.13 0.21 0.24 1.71 0.08 0.07
 -------- 19:00 0.13 0.38 0.25 1.75 0.06 0.07
 -------- 20:00 0.13 0.12 0.25 1.77 0.05 0.07
 -------- 21:00 0.13 0.21 0.24 1.73 0.03 0.07
 -------- 22:00 0.09 0.12 0.19 1.61 0.01 0.04
 19.10.12 23:00 0.09 0.12 0.17 1.60 0.00 0.04
 -------- 00:00 0.08 0.17 0.17 1.60 0.00 0.05
 -------- 01:00 0.06 0.25 0.14 1.59 0.00 0.04
 -------- 02:00 0.06 0.12 0.12 1.57 0.00 0.03
 -------- 03:00 0.04 0.12 0.10 1.54 ---- 0.03
 20.10.12 04:00 0.04 0.17 0.09 1.54 ---- 0.03
 -------- 05:00 0.04 0.25 0.10 1.55 0.00 0.02
 -------- 06:00 0.05 0.12 0.15 1.57 0.00 0.04
