 Date Time CO SO2 H2S NO2 CHX NO PM10
 26.01.13 00:00 ---- 0.00 ---- 0.45 1.69 0.07 0.03
 -------- 01:00 ---- 0.00 0.12 0.46 1.72 0.10 0.03
 -------- 02:00 ---- 0.00 ---- 0.46 1.73 0.10 0.03
 -------- 03:00 ---- 0.00 ---- 0.46 1.73 0.09 0.03
 -------- 04:00 ---- ---- ---- 0.45 1.72 0.08 0.03
 26.01.13 05:00 ---- ---- ---- 0.42 1.68 0.06 0.03
 -------- 06:00 ---- ---- ---- 0.43 1.72 0.08 0.03
 -------- 07:00 0.02 ---- ---- 0.42 1.73 0.06 0.03
 -------- 08:00 0.02 ---- ---- 0.45 1.74 0.10 0.03
 -------- 09:00 0.02 ---- ---- 0.46 1.86 0.17 0.03
 26.01.13 10:00 0.04 0.00 ---- 0.48 1.91 0.26 0.05
 -------- 11:00 0.04 0.01 ---- 0.50 1.99 0.33 0.05
 -------- 12:00 0.06 0.01 0.12 0.52 2.01 0.31 0.06
 -------- 13:00 0.06 0.02 0.21 0.50 1.96 0.28 0.06
 -------- 14:00 0.05 0.02 0.33 0.46 1.85 0.18 0.04
 26.01.13 15:00 0.05 0.02 0.50 0.51 1.91 0.23 0.05
 -------- 16:00 0.06 0.02 0.58 0.52 1.89 0.20 0.05
 -------- 17:00 0.06 0.02 0.54 0.53 1.86 0.18 0.05
 -------- 18:00 0.06 0.02 0.54 0.55 1.89 0.24 0.04
 -------- 19:00 0.08 0.02 0.50 0.54 1.88 0.22 0.04
 26.01.13 20:00 0.08 0.01 0.38 0.54 1.82 0.17 0.03
 -------- 21:00 0.07 0.01 0.29 0.52 1.76 0.11 0.03
 -------- 22:00 0.06 0.01 0.33 0.53 1.81 0.16 0.03
 -------- 23:00 0.07 0.01 0.29 0.49 1.80 0.11 0.03
 -------- 00:00 0.06 0.01 0.19 0.48 1.77 0.10 0.03
 27.01.13 01:00 0.06 0.00 0.21 0.49 1.89 0.16 0.04
 -------- 02:00 0.06 0.00 0.38 0.49 1.91 0.14 0.05
 -------- 03:00 0.04 ---- ---- 0.47 1.77 0.07 0.03
 -------- 04:00 0.04 ---- ---- 0.48 1.77 0.07 0.03
 -------- 05:00 0.04 ---- ---- 0.47 1.87 0.13 0.03
 27.01.13 06:00 0.04 ---- ---- 0.48 1.75 0.07 0.03
 -------- 07:00 0.03 ---- ---- 0.50 1.86 0.10 0.03
 -------- 08:00 0.02 ---- ---- 0.50 1.93 0.11 0.03
 -------- 09:00 0.02 ---- 0.12 0.53 2.11 0.18 0.05
 -------- 10:00 0.03 ---- ---- 0.54 2.18 0.32 0.05
 27.01.13 11:00 0.05 0.00 ---- 0.50 2.06 0.28 0.05
 -------- 12:00 0.07 0.01 ---- 0.53 2.12 0.33 0.07
 -------- 13:00 0.06 0.01 ---- 0.54 2.03 0.30 0.06
 -------- 14:00 0.06 0.01 ---- 0.51 1.90 0.22 0.05
 -------- 15:00 0.06 0.02 0.12 0.48 1.84 0.18 0.04
 27.01.13 16:00 0.06 0.03 0.25 0.50 1.91 0.19 0.05
 -------- 17:00 0.06 0.04 0.33 0.55 2.09 0.21 0.07
 -------- 18:00 0.06 0.02 0.29 0.55 1.98 0.14 0.08
 -------- 19:00 0.03 0.01 0.46 0.59 2.07 0.28 0.08
 -------- 20:00 0.05 0.01 0.92 0.58 2.38 0.37 0.09
 27.01.13 21:00 0.07 0.01 0.87 0.60 2.59 0.45 0.11
 -------- 22:00 0.07 0.00 0.96 0.60 2.68 0.43 0.13
 -------- 23:00 0.05 0.00 0.54 0.60 2.54 0.34 0.13
