 Date Time CO SO2 H2S NO2 CHX NO PM10
 07.12.12 00:00 0.02 0.00 0.12 0.05 1.61 ---- 0.05
 -------- 01:00 0.02 0.00 0.12 0.05 1.62 ---- 0.03
 -------- 02:00 0.02 0.00 0.12 0.04 1.59 ---- 0.03
 -------- 03:00 0.02 0.00 0.12 0.04 1.57 ---- 0.02
 -------- 04:00 0.02 0.00 0.12 0.03 1.58 ---- 0.01
 07.12.12 05:00 0.02 0.00 0.12 0.06 1.65 ---- 0.01
 -------- 06:00 0.04 0.00 0.12 0.04 1.62 ---- 0.02
 -------- 07:00 0.02 0.00 ---- 0.04 1.62 ---- 0.01
 -------- 08:00 0.02 ---- ---- 0.07 1.60 ---- 0.02
 -------- 09:00 0.02 ---- ---- 0.06 1.60 0.00 0.09
 07.12.12 10:00 0.02 ---- ---- 0.08 1.64 0.01 0.02
 -------- 11:00 0.02 ---- ---- 0.12 1.63 0.01 0.04
 -------- 12:00 ---- ---- ---- 0.09 1.72 0.01 0.06
 -------- 13:00 0.02 ---- ---- 0.11 1.71 0.01 0.06
 -------- 14:00 ---- ---- ---- 0.09 1.66 0.01 0.05
 07.12.12 15:00 0.02 ---- ---- 0.08 1.64 0.00 0.05
 -------- 16:00 ---- ---- ---- 0.06 1.63 ---- 0.05
 -------- 17:00 0.02 ---- ---- 0.06 1.65 0.00 0.04
 -------- 18:00 0.02 ---- ---- 0.12 1.66 0.01 0.04
 -------- 19:00 0.02 ---- ---- 0.12 1.67 0.00 0.05
 07.12.12 20:00 0.02 0.00 ---- 0.11 1.73 0.01 0.06
 -------- 21:00 0.02 ---- ---- 0.11 1.76 0.00 0.06
 -------- 22:00 0.05 0.00 ---- 0.11 1.70 ---- 0.06
 -------- 23:00 0.02 0.00 0.12 0.10 2.27 0.01 0.04
 -------- 00:00 0.02 0.00 ---- 0.10 2.21 ---- 0.04
 08.12.12 01:00 0.02 0.00 0.12 0.16 2.95 0.01 0.04
 -------- 02:00 0.02 0.00 ---- 0.17 2.30 0.01 0.05
 -------- 03:00 0.02 0.00 ---- 0.13 2.06 0.00 0.05
 -------- 04:00 0.02 0.00 ---- 0.11 1.93 0.00 0.04
 -------- 05:00 0.02 0.00 ---- 0.11 2.21 0.00 0.04
 08.12.12 06:00 0.02 0.00 ---- 0.10 2.16 0.00 0.04
 -------- 07:00 0.02 0.00 ---- 0.11 2.52 0.01 0.04
 -------- 08:00 0.02 0.00 ---- 0.13 2.32 0.00 0.05
 -------- 09:00 0.02 0.00 0.12 0.14 2.51 0.01 0.05
 -------- 10:00 0.04 0.00 0.12 0.14 2.17 0.02 0.06
 08.12.12 11:00 0.02 0.00 0.12 0.12 2.14 0.03 0.06
 -------- 12:00 0.04 0.00 ---- 0.10 1.85 0.03 0.05
 -------- 13:00 0.03 0.00 ---- 0.11 1.86 0.05 0.06
 -------- 14:00 0.02 0.00 ---- 0.11 1.81 0.05 0.07
 -------- 15:00 0.02 0.01 0.12 0.14 1.75 0.06 0.08
 08.12.12 16:00 0.02 0.01 ---- 0.15 1.80 0.08 0.09
 -------- 17:00 0.03 0.00 0.12 0.14 1.78 0.05 0.08
 -------- 18:00 0.02 0.00 0.12 0.14 1.76 0.03 0.06
 -------- 19:00 0.03 0.00 0.12 0.14 1.76 0.02 0.05
 -------- 20:00 0.08 0.01 0.17 0.14 1.83 0.03 0.06
 08.12.12 21:00 0.08 0.01 0.25 0.14 1.85 0.07 0.06
 -------- 22:00 0.08 0.01 0.25 0.14 1.90 0.12 0.07
 -------- 23:00 0.08 0.01 0.21 0.15 4.94 0.07 0.08
