 Date Time CO H2S NO2 CHX NO PM10
 20.11.12 00:00 ---- 0.12 0.13 1.66 0.04 0.09
 -------- 01:00 ---- 0.12 0.13 1.64 0.03 0.08
 -------- 02:00 ---- 0.12 0.12 1.63 0.02 0.07
 -------- 03:00 ---- 0.12 0.11 1.63 0.01 0.07
 -------- 04:00 ---- 0.31 0.11 1.63 0.01 0.05
 20.11.12 05:00 ---- 0.25 0.11 1.64 0.02 0.06
 -------- 06:00 0.02 0.31 0.11 1.65 0.03 0.05
 -------- 07:00 0.04 0.29 0.12 1.72 0.06 0.09
 -------- 08:00 ---- 0.12 0.13 1.73 0.09 0.08
 -------- 09:00 ---- 0.12 0.14 1.75 0.12 0.12
 20.11.12 10:00 0.02 0.12 0.14 1.77 0.14 0.11
 -------- 11:00 ---- 0.12 0.14 1.77 0.13 0.11
 -------- 12:00 0.02 0.33 0.14 1.80 0.17 0.11
 -------- 13:00 ---- 0.42 0.15 1.82 0.19 0.10
 -------- 14:00 ---- 0.12 0.18 1.80 0.16 0.11
 20.11.12 15:00 ---- ---- 0.19 1.74 0.10 0.07
 -------- 16:00 ---- 0.25 0.21 1.64 0.04 0.06
 -------- 17:00 ---- 0.25 0.22 1.64 0.03 0.07
 -------- 18:00 ---- 0.12 0.22 1.67 0.04 0.08
 -------- 19:00 0.02 0.12 0.22 1.65 0.04 0.09
 20.11.12 20:00 0.02 0.12 0.22 1.65 0.04 0.07
 -------- 21:00 0.02 0.12 0.20 1.64 0.02 0.07
 -------- 22:00 ---- 0.12 0.19 1.62 0.01 0.06
 -------- 23:00 ---- 0.12 0.20 1.62 0.02 0.06
 -------- 00:00 ---- 0.25 0.19 1.62 0.01 0.06
 21.11.12 01:00 ---- 0.25 0.14 1.58 0.00 0.04
 -------- 02:00 ---- 0.12 0.12 1.59 ---- 0.02
 -------- 03:00 ---- 0.12 0.12 1.60 ---- 0.03
 -------- 04:00 ---- 0.17 0.14 1.62 ---- 0.03
 -------- 05:00 ---- 0.25 0.13 1.61 0.00 0.02
 21.11.12 06:00 ---- 0.25 0.14 1.61 0.01 0.03
 -------- 07:00 0.02 0.38 0.23 1.66 0.04 0.06
 -------- 08:00 0.07 0.12 0.25 1.76 0.10 0.12
 -------- 09:00 0.04 0.12 0.25 1.68 0.09 0.10
 -------- 10:00 0.02 0.17 0.24 1.74 0.09 0.09
 21.11.12 11:00 0.02 0.25 0.23 1.68 0.09 0.10
 -------- 12:00 0.02 0.17 0.21 1.72 0.10 0.10
 -------- 13:00 0.02 0.12 0.21 1.77 0.13 0.15
 -------- 14:00 0.04 ---- 0.21 1.80 0.15 0.13
 -------- 15:00 0.04 ---- 0.21 1.80 0.17 0.14
 21.11.12 16:00 0.04 0.25 0.20 1.75 0.13 0.14
 -------- 17:00 0.02 0.17 0.19 1.73 0.12 0.12
 -------- 18:00 0.02 ---- 0.19 1.71 0.08 0.12
 -------- 19:00 0.04 ---- 0.21 1.75 0.11 0.13
 -------- 20:00 0.06 0.17 0.22 1.72 0.10 0.13
 21.11.12 21:00 0.05 0.17 0.23 1.70 0.08 0.12
 -------- 22:00 0.05 0.21 0.23 1.68 0.06 0.11
 -------- 23:00 0.04 0.33 0.23 1.73 0.08 0.09
