 Date Time CO SO2 H2S NO2 CHX NO PM10
 18.03.13 00:00 0.06 0.00 0.12 0.26 1.52 0.03 0.04
 -------- 01:00 0.06 0.00 ---- 0.28 1.53 0.03 0.04
 -------- 02:00 0.06 0.00 ---- 0.30 1.55 0.03 0.04
 -------- 03:00 0.06 0.00 ---- 0.33 1.56 0.03 0.03
 -------- 04:00 0.06 0.00 ---- 0.37 1.58 0.03 0.04
 18.03.13 05:00 0.06 0.00 ---- 0.33 1.58 0.03 0.03
 -------- 06:00 0.06 0.00 ---- 0.37 1.59 0.04 0.04
 -------- 07:00 0.09 0.00 0.12 0.44 1.62 0.06 0.05
 -------- 08:00 0.12 0.00 ---- 0.43 1.66 0.09 0.05
 -------- 09:00 0.13 0.01 ---- 0.38 1.68 0.11 0.05
 18.03.13 10:00 0.11 0.02 0.12 0.26 1.64 0.08 0.04
 -------- 11:00 0.09 0.02 0.12 0.20 2.05 0.06 0.04
 -------- 12:00 0.05 0.02 0.12 0.11 1.81 0.04 0.03
 -------- 13:00 0.04 0.01 0.12 0.09 1.54 0.04 0.03
 -------- 14:00 0.04 0.02 0.12 0.10 1.48 0.04 0.03
 18.03.13 15:00 0.04 0.02 0.12 0.12 1.56 0.04 0.03
 -------- 16:00 0.04 0.01 0.12 0.12 1.48 0.04 0.03
 -------- 17:00 0.04 0.01 ---- 0.11 1.48 0.04 0.03
 -------- 18:00 0.03 0.01 ---- 0.11 1.47 0.04 0.03
 -------- 19:00 0.05 0.00 ---- 0.11 1.47 0.03 0.03
 18.03.13 20:00 0.06 0.00 ---- 0.12 1.48 0.03 0.02
 -------- 21:00 0.06 0.00 ---- 0.10 1.47 0.03 0.02
 -------- 22:00 0.06 0.00 ---- 0.11 1.47 0.03 0.02
 -------- 23:00 0.06 0.00 ---- 0.12 1.47 0.03 0.02
 -------- 00:00 0.06 0.00 0.12 0.13 1.48 0.03 0.02
 19.03.13 01:00 0.06 0.01 0.25 0.13 1.48 0.03 0.02
 -------- 02:00 0.06 0.01 0.17 0.13 1.63 0.03 0.02
 -------- 03:00 0.07 0.01 0.25 0.17 1.56 0.03 0.02
 -------- 04:00 0.06 0.01 0.25 0.15 1.52 0.03 0.02
 -------- 05:00 0.06 0.01 0.17 0.16 1.51 0.03 0.02
 19.03.13 06:00 0.06 0.01 0.12 0.14 1.49 0.03 0.02
 -------- 07:00 0.06 0.01 0.21 0.14 1.49 0.04 0.02
 -------- 08:00 0.06 0.01 0.17 0.14 1.50 0.04 0.01
 -------- 09:00 0.06 0.01 0.21 0.14 1.49 0.04 0.02
 -------- 10:00 0.06 0.01 0.17 0.13 1.51 0.04 0.02
 19.03.13 11:00 0.06 0.01 0.12 0.10 1.48 0.04 0.02
 -------- 12:00 0.05 0.01 0.12 0.10 1.48 0.04 0.02
 -------- 13:00 0.04 0.01 0.12 0.09 1.47 0.04 0.02
 -------- 14:00 0.06 0.01 0.17 0.11 1.47 0.04 0.02
 -------- 15:00 0.06 0.01 0.25 0.12 1.50 0.04 0.02
 19.03.13 16:00 0.06 0.01 0.25 0.11 1.47 0.04 0.03
 -------- 17:00 0.06 0.01 0.25 0.13 1.48 0.04 0.02
 -------- 18:00 0.06 0.01 0.25 0.14 1.48 0.04 0.03
 -------- 19:00 0.08 0.01 0.29 0.16 1.49 0.04 0.03
 -------- 20:00 0.08 0.01 0.25 0.18 1.49 0.03 0.03
 19.03.13 21:00 0.09 0.01 0.25 0.19 1.50 0.03 0.03
 -------- 22:00 0.11 0.01 0.25 0.24 1.53 0.03 0.03
 -------- 23:00 0.12 0.01 0.25 0.45 1.56 0.04 0.03
