 Date Time CO SO2 H2S NO2 CHX NO PM10
 16.04.13 12:00 0.12 0.03 0.12 0.55 1.55 0.08 0.19
 -------- 13:00 0.09 0.03 0.12 0.37 1.47 0.05 0.15
 -------- 14:00 0.08 0.02 0.12 0.32 1.48 0.05 0.11
 -------- 15:00 0.06 0.02 0.12 0.26 1.47 0.04 0.09
 -------- 16:00 0.05 0.02 0.12 0.26 1.45 0.04 0.09
 16.04.13 17:00 0.04 0.02 0.12 0.20 1.39 0.03 0.08
 -------- 18:00 0.04 0.02 ---- 0.18 1.38 0.03 0.08
 -------- 19:00 0.08 0.02 ---- 0.23 1.42 0.03 0.07
 -------- 20:00 0.11 0.02 ---- 0.30 1.43 0.03 0.09
 -------- 21:00 0.12 0.02 0.12 0.38 1.45 0.03 0.11
 16.04.13 22:00 0.14 0.02 0.12 0.50 1.50 0.04 0.13
 -------- 23:00 0.17 0.02 0.12 0.66 1.57 0.06 0.14
 -------- 00:00 0.17 0.01 0.12 0.62 1.59 0.06 0.13
 -------- 01:00 0.20 0.01 0.25 0.62 1.70 0.06 0.13
 -------- 02:00 0.22 0.01 0.25 0.53 1.92 0.06 0.09
 17.04.13 03:00 0.15 0.01 0.29 0.51 1.62 0.06 0.10
 -------- 04:00 0.15 0.01 0.38 0.45 1.84 0.05 0.08
 -------- 05:00 0.15 0.01 0.38 0.48 1.82 0.08 0.08
 -------- 06:00 0.19 0.01 0.29 0.43 2.16 0.13 0.09
 -------- 07:00 0.21 0.01 0.42 0.57 3.85 0.25 0.16
 17.04.13 08:00 0.22 0.02 0.83 0.48 6.06 0.35 0.24
 -------- 09:00 0.26 0.05 1.58 0.69 5.89 0.62 0.45
 -------- 10:00 0.24 0.06 1.00 0.71 2.45 0.30 0.28
 -------- 11:00 0.13 0.03 0.42 0.45 1.60 0.07 0.12
 -------- 12:00 0.06 0.02 0.38 0.30 1.46 0.05 0.11
 17.04.13 13:00 0.04 0.02 0.29 0.25 1.42 0.04 0.09
 -------- 14:00 0.04 0.02 0.25 0.24 1.42 0.04 0.08
 -------- 15:00 0.02 0.01 0.25 0.23 1.42 0.04 0.08
 -------- 16:00 0.05 0.01 0.33 0.27 1.47 0.04 0.09
 -------- 17:00 0.04 0.02 0.38 0.25 1.44 0.03 0.09
 17.04.13 18:00 0.04 0.01 0.29 0.26 1.43 0.03 0.10
 -------- 19:00 0.08 0.01 0.29 0.27 1.43 0.04 0.11
 -------- 20:00 0.11 0.01 0.33 0.39 1.46 0.03 0.12
 -------- 21:00 0.14 0.02 0.38 0.59 1.55 0.04 0.15
 -------- 22:00 0.19 0.01 0.38 0.57 1.67 0.07 0.18
 17.04.13 23:00 0.25 0.01 0.50 0.60 2.06 0.11 0.20
 -------- 00:00 0.20 0.01 0.33 0.71 1.99 0.11 0.19
 -------- 01:00 0.17 0.01 0.25 0.67 1.64 0.06 0.13
 -------- 02:00 0.14 0.01 0.25 0.55 1.80 0.03 0.12
 -------- 03:00 0.12 0.01 0.25 0.45 1.65 0.03 0.10
 18.04.13 04:00 0.11 0.01 0.25 0.38 1.77 0.03 0.09
 -------- 05:00 0.11 0.01 0.25 0.50 1.71 0.06 0.11
 -------- 06:00 0.12 0.01 0.29 0.46 1.80 0.06 0.11
 -------- 07:00 0.15 0.02 0.25 0.59 1.73 0.07 0.12
 -------- 08:00 0.21 0.02 0.25 0.67 1.65 0.11 0.20
 18.04.13 09:00 0.21 0.02 0.29 0.56 1.56 0.08 0.17
 -------- 10:00 0.16 0.02 0.17 0.48 1.51 0.06 0.16
 -------- 11:00 0.15 0.01 ---- 0.48 1.51 0.07 0.17
