 Date Time CO H2S NO2 CHX NO PM10
 29.09.12 12:00 0.08 0.21 0.08 1.52 0.01 0.02
 -------- 13:00 0.08 0.29 0.07 1.50 0.01 0.02
 -------- 14:00 0.07 0.12 0.07 1.50 0.01 0.02
 -------- 15:00 0.08 0.12 0.08 1.50 0.01 0.02
 -------- 16:00 0.07 0.12 0.07 1.50 0.00 0.02
 29.09.12 17:00 0.07 0.12 0.08 1.50 0.00 0.02
 -------- 18:00 0.08 0.21 0.09 1.51 0.00 0.02
 -------- 19:00 0.08 0.25 0.16 1.53 0.00 0.04
 -------- 20:00 0.07 0.33 0.16 1.55 0.00 0.03
 -------- 21:00 0.11 0.33 0.25 1.59 0.02 0.05
 29.09.12 22:00 0.15 0.58 0.28 1.74 0.07 0.07
 -------- 23:00 0.21 0.54 0.25 1.82 0.13 0.07
 -------- 00:00 0.22 0.62 0.20 1.88 0.14 0.09
 -------- 01:00 0.23 0.58 0.17 1.84 0.13 0.08
 -------- 02:00 0.15 0.33 0.17 1.86 0.09 0.05
 30.09.12 03:00 0.14 0.46 0.14 2.07 0.10 0.05
 -------- 04:00 0.15 0.83 0.13 2.14 0.13 0.08
 -------- 05:00 0.15 0.92 0.09 2.79 0.15 0.09
 -------- 06:00 0.12 0.92 0.11 3.01 0.12 0.09
 -------- 07:00 0.11 1.00 0.18 2.31 0.07 0.08
 30.09.12 08:00 0.10 ---- 0.20 1.89 0.07 0.07
 -------- 09:00 0.11 0.12 0.19 1.87 0.07 0.10
 -------- 10:00 0.06 0.21 0.15 1.74 0.04 0.07
 -------- 11:00 0.06 0.25 0.16 1.72 0.03 0.08
 -------- 12:00 0.06 0.33 0.16 1.67 0.03 0.08
 30.09.12 13:00 0.04 0.29 0.12 1.61 0.00 0.06
 -------- 14:00 0.03 0.12 0.11 1.55 0.00 0.04
 -------- 15:00 0.03 0.17 0.09 1.54 0.01 0.04
 -------- 16:00 0.02 0.12 0.07 1.55 0.00 0.03
 -------- 17:00 0.03 0.17 0.07 1.54 ---- 0.02
 30.09.12 18:00 0.03 0.79 0.09 1.80 ---- 0.03
 -------- 19:00 0.03 1.25 0.09 1.75 ---- 0.02
 -------- 20:00 0.07 0.44 0.08 1.68 ---- 0.02
 -------- 21:00 0.09 0.50 0.13 1.61 0.01 0.02
 -------- 22:00 0.09 0.29 0.17 1.60 0.01 0.02
 30.09.12 23:00 0.07 0.29 0.11 1.56 0.00 0.02
 -------- 00:00 0.06 0.25 0.08 1.51 ---- 0.01
 -------- 01:00 0.05 0.33 0.08 1.51 ---- 0.01
 -------- 02:00 0.04 0.25 0.05 1.50 ---- 0.01
 -------- 03:00 0.04 0.21 0.05 1.49 ---- 0.02
 01.10.12 04:00 0.04 0.17 0.05 1.49 ---- 0.02
 -------- 05:00 0.04 0.17 0.04 1.49 ---- 0.01
 -------- 06:00 0.04 0.12 0.06 1.49 ---- 0.02
 -------- 07:00 0.06 0.12 0.07 1.49 ---- 0.02
 -------- 08:00 0.08 ---- 0.09 1.50 0.00 0.02
 01.10.12 09:00 0.08 ---- 0.10 1.50 0.00 0.03
 -------- 10:00 0.07 0.12 0.09 1.50 0.01 0.02
 -------- 11:00 0.06 0.12 0.08 1.50 0.01 0.03
