 Date Time CO SO2 H2S NO2 CHX NO PM10
 07.04.13 12:00 0.02 0.01 ---- 0.07 1.34 0.03 0.02
 -------- 13:00 0.02 0.01 ---- 0.09 1.35 0.04 0.03
 -------- 14:00 0.02 0.01 ---- 0.09 1.34 0.03 0.02
 -------- 15:00 0.02 0.01 ---- 0.08 1.34 0.03 0.02
 -------- 16:00 0.02 0.01 ---- 0.08 1.34 0.03 0.02
 07.04.13 17:00 0.02 0.01 ---- 0.09 1.34 0.03 0.02
 -------- 18:00 0.02 0.01 ---- 0.09 1.34 0.03 0.02
 -------- 19:00 0.02 0.01 ---- 0.10 1.34 0.03 0.02
 -------- 20:00 0.02 0.01 ---- 0.13 1.36 0.03 0.03
 -------- 21:00 0.03 0.01 ---- 0.16 1.39 0.03 0.03
 07.04.13 22:00 0.04 0.01 ---- 0.21 1.40 0.03 0.03
 -------- 23:00 0.04 0.01 ---- 0.23 1.42 0.03 0.04
 -------- 00:00 0.04 0.01 ---- 0.20 1.43 0.03 0.03
 -------- 01:00 0.04 0.01 0.12 0.21 1.46 0.03 0.04
 -------- 02:00 0.04 0.01 ---- 0.28 1.47 0.03 0.04
 08.04.13 03:00 0.04 0.01 0.12 0.27 1.43 0.03 0.03
 -------- 04:00 0.04 0.01 ---- 0.33 1.43 0.03 0.03
 -------- 05:00 0.04 0.00 ---- 0.35 1.49 0.04 0.04
 -------- 06:00 0.05 0.00 0.12 0.50 1.58 0.06 0.05
 -------- 07:00 0.10 0.00 0.12 0.52 1.62 0.11 0.07
 08.04.13 08:00 0.17 0.01 0.17 0.54 1.85 0.21 0.10
 -------- 09:00 0.14 0.01 0.17 0.41 1.57 0.12 0.05
 -------- 10:00 0.07 0.01 0.12 0.31 1.42 0.07 0.04
 -------- 11:00 0.06 0.01 0.12 0.27 1.42 0.07 0.04
 -------- 12:00 0.06 0.01 0.12 0.32 1.42 0.08 0.05
 08.04.13 13:00 0.07 0.01 0.12 0.41 1.47 0.08 0.08
 -------- 14:00 0.07 0.01 0.12 0.41 1.45 0.07 0.08
 -------- 15:00 0.06 0.02 0.12 0.45 1.51 0.08 0.08
 -------- 16:00 0.06 0.04 0.12 0.42 1.53 0.08 0.07
 -------- 17:00 0.05 0.03 0.12 0.42 1.51 0.06 0.07
 08.04.13 18:00 0.04 0.01 0.12 0.33 1.55 0.05 0.06
 -------- 19:00 0.07 0.02 0.12 0.45 1.57 0.05 0.07
 -------- 20:00 0.08 0.03 0.62 0.47 1.73 0.04 0.07
 -------- 21:00 0.11 0.02 0.71 0.55 1.96 0.06 0.11
 -------- 22:00 0.14 0.01 0.42 0.63 1.69 0.08 0.09
 08.04.13 23:00 0.14 0.01 0.50 0.66 1.96 0.13 0.11
 -------- 00:00 0.14 0.01 0.33 0.67 1.86 0.13 0.11
 -------- 01:00 0.14 0.01 0.33 0.65 1.87 0.14 0.10
 -------- 02:00 0.15 0.01 0.25 0.64 1.93 0.18 0.11
 -------- 03:00 0.16 0.01 0.33 0.64 2.13 0.21 0.11
 09.04.13 04:00 0.16 0.01 0.42 0.63 3.67 0.19 0.11
 -------- 05:00 0.18 0.01 0.92 0.64 12.27 0.31 0.18
 -------- 06:00 0.27 0.01 0.75 0.74 7.58 0.51 0.19
 -------- 07:00 0.28 0.01 0.67 0.67 5.16 0.41 0.17
 -------- 08:00 0.21 0.02 0.33 0.64 2.65 0.20 0.08
 09.04.13 09:00 0.13 0.03 0.25 0.49 2.64 0.11 0.06
 -------- 10:00 0.11 0.04 0.17 0.29 1.91 0.06 0.08
 -------- 11:00 0.07 0.04 0.12 0.27 1.50 0.06 0.08
