 Date Time CO H2S NO2 CHX NO PM10
 21.10.12 00:00 0.11 0.12 0.20 1.60 0.01 0.06
 -------- 01:00 0.12 0.21 0.20 1.64 0.01 0.06
 -------- 02:00 0.11 0.21 0.19 1.63 0.01 0.06
 -------- 03:00 0.09 0.25 0.14 1.60 0.00 0.05
 -------- 04:00 0.08 0.21 0.14 1.60 ---- 0.05
 21.10.12 05:00 0.09 0.25 0.15 1.62 0.00 0.04
 -------- 06:00 0.08 0.38 0.12 1.60 0.00 0.04
 -------- 07:00 0.08 0.46 0.10 1.57 ---- 0.03
 -------- 08:00 0.11 0.12 0.12 1.57 0.00 0.04
 -------- 09:00 0.13 0.12 0.12 1.57 0.01 0.05
 21.10.12 10:00 0.12 0.12 0.12 1.58 0.01 0.06
 -------- 11:00 0.12 0.12 0.11 1.57 0.01 0.06
 -------- 12:00 0.13 0.21 0.10 1.57 0.01 0.07
 -------- 13:00 0.13 0.33 0.10 1.58 0.01 0.05
 -------- 14:00 0.12 0.12 0.11 1.57 0.01 0.06
 21.10.12 15:00 0.12 0.12 0.11 1.57 0.01 0.07
 -------- 16:00 0.13 0.12 0.13 1.59 0.01 0.06
 -------- 17:00 0.15 0.12 0.17 1.61 0.01 0.08
 -------- 18:00 0.15 0.17 0.19 1.63 0.02 0.08
 -------- 19:00 0.13 0.38 0.17 1.65 0.00 0.08
 21.10.12 20:00 0.12 0.12 0.17 1.62 0.00 0.06
 -------- 21:00 0.11 0.12 0.14 1.59 0.00 0.05
 -------- 22:00 0.10 0.21 0.12 1.57 ---- 0.04
 -------- 23:00 0.11 0.25 0.12 1.57 0.00 0.04
 -------- 00:00 0.09 0.17 0.11 1.57 ---- 0.04
 22.10.12 01:00 0.09 0.17 0.10 1.57 ---- 0.04
 -------- 02:00 0.08 0.12 0.10 1.57 ---- 0.05
 -------- 03:00 0.08 0.21 0.09 1.55 ---- 0.06
 -------- 04:00 0.08 0.25 0.09 1.57 ---- 0.06
 -------- 05:00 0.09 0.25 0.10 1.58 ---- 0.05
 22.10.12 06:00 0.10 0.21 0.14 1.60 0.00 0.05
 -------- 07:00 0.13 0.25 0.18 1.63 0.02 0.04
 -------- 08:00 0.13 0.25 0.20 1.68 0.04 0.04
 -------- 09:00 0.12 0.25 0.19 1.68 0.04 0.03
 -------- 10:00 0.09 0.12 0.16 1.66 0.03 0.02
 22.10.12 11:00 0.06 ---- 0.08 1.59 0.01 0.01
 -------- 12:00 0.05 0.12 0.08 1.66 0.01 0.01
 -------- 13:00 0.04 0.19 0.05 1.56 0.01 0.01
 -------- 14:00 0.04 ---- 0.05 1.52 0.01 0.01
 -------- 15:00 0.04 0.12 0.05 1.51 0.00 0.02
 22.10.12 16:00 0.03 0.29 0.05 1.51 0.00 0.02
 -------- 17:00 0.03 0.25 0.05 1.51 0.00 0.02
 -------- 18:00 0.04 0.12 0.05 1.50 0.00 0.02
 -------- 19:00 0.03 0.12 0.05 1.50 0.00 0.02
 -------- 20:00 0.02 0.21 0.03 1.49 0.00 0.02
 22.10.12 21:00 0.02 0.25 0.04 1.94 0.00 0.02
 -------- 22:00 0.02 0.12 0.03 1.53 ---- 0.02
 -------- 23:00 0.02 0.12 0.05 1.52 0.00 0.01
