 Date Time CO H2S NO2 CHX NO PM10
 06.11.12 00:00 0.06 0.21 0.06 1.55 ---- 0.03
 -------- 01:00 0.06 0.21 0.05 1.54 ---- 0.02
 -------- 02:00 0.06 0.17 0.04 1.54 ---- 0.03
 -------- 03:00 0.06 0.25 0.04 1.53 ---- 0.02
 -------- 04:00 0.05 0.12 0.04 1.53 ---- 0.05
 06.11.12 05:00 0.05 0.17 0.04 1.54 ---- 0.03
 -------- 06:00 0.06 0.17 0.05 1.54 ---- 0.04
 -------- 07:00 0.05 0.21 0.06 1.55 ---- 0.04
 -------- 08:00 0.05 0.25 0.07 1.56 ---- 0.03
 -------- 09:00 0.04 0.33 0.09 1.57 ---- 0.05
 06.11.12 10:00 0.04 0.12 0.09 1.58 ---- 0.04
 -------- 11:00 0.04 0.12 0.09 1.59 0.00 0.03
 -------- 12:00 0.04 0.17 0.10 1.59 0.00 0.03
 -------- 13:00 0.04 0.25 0.10 1.59 0.00 0.03
 -------- 14:00 0.04 0.12 0.10 1.60 0.00 0.02
 06.11.12 15:00 0.05 0.12 0.10 1.62 0.00 0.04
 -------- 16:00 0.07 0.17 0.16 1.68 0.01 0.04
 -------- 17:00 0.05 0.12 0.14 1.53 0.01 0.03
 -------- 18:00 0.05 0.12 0.14 1.53 0.00 0.01
 -------- 19:00 0.10 0.12 0.25 1.58 0.01 0.01
 06.11.12 20:00 0.13 0.21 0.24 1.61 0.02 0.02
 -------- 21:00 0.09 0.21 0.12 1.55 0.00 0.01
 -------- 22:00 0.10 0.12 0.13 1.58 0.00 0.01
 -------- 23:00 0.08 0.12 0.12 1.56 0.00 0.01
 -------- 00:00 0.08 0.21 0.09 1.53 0.00 0.01
 07.11.12 01:00 0.08 0.29 0.10 1.54 0.00 0.01
 -------- 02:00 0.07 0.12 0.07 1.52 ---- 0.01
 -------- 03:00 0.07 0.12 0.06 1.53 ---- 0.01
 -------- 04:00 0.08 0.12 0.09 1.54 ---- 0.01
 -------- 05:00 0.08 0.12 0.08 1.54 ---- 0.01
 07.11.12 06:00 0.08 0.12 0.09 1.54 0.00 0.01
 -------- 07:00 0.09 0.17 0.12 1.54 0.00 0.01
 -------- 08:00 0.10 ---- 0.13 1.55 0.00 0.02
 -------- 09:00 0.13 ---- 0.17 1.56 0.01 0.04
 -------- 10:00 0.11 0.21 0.16 1.57 0.01 0.03
 07.11.12 11:00 0.10 0.25 0.15 1.60 0.02 0.03
 -------- 12:00 0.10 0.21 0.13 1.57 0.02 0.02
 -------- 13:00 0.09 0.25 0.12 1.54 0.01 0.02
 -------- 14:00 0.09 0.12 0.14 1.54 0.01 0.02
 -------- 15:00 0.09 ---- 0.14 1.55 0.01 0.02
 07.11.12 16:00 0.09 0.12 0.14 1.56 0.01 0.06
 -------- 17:00 0.10 0.17 0.14 1.56 0.01 0.04
 -------- 18:00 0.11 0.33 0.21 1.61 0.01 0.05
 -------- 19:00 0.09 0.38 0.19 1.64 0.01 0.04
 -------- 20:00 0.06 0.21 0.19 1.61 0.01 0.04
 07.11.12 21:00 0.07 0.25 0.22 1.61 0.01 0.06
 -------- 22:00 0.06 ---- 0.20 1.61 0.01 0.05
 -------- 23:00 0.06 ---- 0.19 1.59 0.01 0.07
