 Date Time CO SO2 H2S CHX PM10
 21.12.12 12:00 0.04 0.02 0.21 2.31 0.13
 -------- 13:00 0.04 0.02 0.17 2.07 0.13
 -------- 14:00 0.04 0.03 0.25 2.13 0.31
 -------- 15:00 0.05 0.03 0.29 3.00 0.23
 -------- 16:00 0.05 0.02 0.21 2.88 0.16
 21.12.12 17:00 0.04 0.01 0.12 1.94 0.14
 -------- 18:00 0.04 0.01 ---- 1.85 0.12
 -------- 19:00 0.04 0.01 ---- 1.87 0.11
 -------- 20:00 0.07 0.01 ---- 2.00 0.11
 -------- 21:00 0.07 0.01 ---- 2.19 0.10
 21.12.12 22:00 0.06 0.01 ---- 2.05 0.10
 -------- 23:00 0.06 0.01 ---- 2.13 0.09
 -------- 00:00 0.06 0.01 0.12 1.94 0.09
 -------- 01:00 0.06 0.02 0.12 1.93 0.09
 -------- 02:00 0.06 0.02 0.12 1.91 0.09
 22.12.12 03:00 0.06 0.02 0.12 1.88 0.09
 -------- 04:00 0.06 0.02 0.12 1.91 0.09
 -------- 05:00 0.06 0.02 ---- 1.86 0.08
 -------- 06:00 0.06 0.02 0.12 1.83 0.07
 -------- 07:00 0.05 0.02 0.12 1.91 0.07
 22.12.12 08:00 0.06 0.02 0.12 1.98 0.06
 -------- 09:00 0.06 0.02 0.12 2.35 0.06
 -------- 10:00 0.06 0.02 ---- 1.94 0.06
 -------- 11:00 0.06 0.02 0.12 1.99 0.06
 -------- 12:00 0.06 0.03 0.12 2.02 0.06
 22.12.12 13:00 0.06 0.05 0.12 1.80 0.06
 -------- 14:00 0.06 0.03 0.12 1.73 0.05
 -------- 15:00 0.04 0.02 0.17 1.73 0.05
 -------- 16:00 0.05 0.02 0.12 1.73 0.05
 -------- 17:00 0.05 0.02 0.12 1.69 0.05
 22.12.12 18:00 0.05 0.02 0.12 1.68 0.05
 -------- 19:00 0.03 0.02 0.12 1.68 0.05
 -------- 20:00 0.02 0.01 0.12 1.78 0.05
 -------- 21:00 0.02 0.01 0.12 1.92 0.05
 -------- 22:00 0.02 0.01 ---- 1.77 0.05
 22.12.12 23:00 0.02 0.01 ---- 1.69 0.05
 -------- 00:00 0.02 0.01 ---- 1.68 0.05
 -------- 01:00 0.02 0.01 ---- 1.68 0.04
 -------- 02:00 0.02 0.01 ---- 1.68 0.04
 -------- 03:00 ---- 0.00 ---- 1.68 0.04
 23.12.12 04:00 ---- 0.00 ---- 1.68 0.04
 -------- 05:00 ---- 0.00 ---- 1.68 0.04
 -------- 06:00 ---- ---- ---- 1.69 0.04
 -------- 07:00 0.03 ---- ---- 1.70 0.04
 -------- 08:00 0.04 ---- ---- 1.70 0.03
 23.12.12 09:00 0.04 ---- ---- 1.71 0.04
 -------- 10:00 0.04 ---- ---- 1.71 0.04
 -------- 11:00 0.04 0.00 ---- 1.74 0.05
