 Date Time CO SO2 H2S CHX PM10
 24.12.12 12:00 0.04 0.01 ---- 3.26 0.11
 -------- 13:00 0.04 0.02 ---- 3.28 0.14
 -------- 14:00 0.05 0.03 0.12 2.79 0.14
 -------- 15:00 0.05 0.02 0.12 2.85 0.12
 -------- 16:00 0.05 0.02 0.12 2.93 0.12
 24.12.12 17:00 0.04 0.02 0.12 2.83 0.12
 -------- 18:00 0.04 0.02 ---- 2.77 0.11
 -------- 19:00 0.05 0.02 ---- 2.65 0.11
 -------- 20:00 0.05 0.02 ---- 2.43 0.09
 -------- 21:00 0.04 0.02 ---- 2.33 0.09
 24.12.12 22:00 0.04 0.02 ---- 2.29 0.09
 -------- 23:00 0.04 0.02 ---- 2.25 0.08
 -------- 00:00 0.04 0.02 0.19 2.24 0.07
 -------- 01:00 0.03 0.02 0.12 2.04 0.04
 -------- 02:00 0.02 0.02 0.21 2.06 0.04
 25.12.12 03:00 0.02 0.01 0.21 2.03 0.04
 -------- 04:00 0.02 0.01 0.29 2.03 0.04
 -------- 05:00 0.02 0.01 0.25 1.99 0.05
 -------- 06:00 0.02 0.01 0.33 1.92 0.05
 -------- 07:00 0.03 0.01 0.50 1.91 0.04
 25.12.12 08:00 0.04 0.02 0.25 1.78 0.04
 -------- 09:00 0.04 0.02 0.25 1.80 0.04
 -------- 10:00 0.04 0.02 0.29 1.78 0.05
 -------- 11:00 0.04 0.03 0.33 1.76 0.04
 -------- 12:00 0.04 0.03 0.38 1.71 0.05
 25.12.12 13:00 0.04 0.04 0.46 1.73 0.05
 -------- 14:00 0.04 0.05 0.58 1.73 0.05
 -------- 15:00 0.04 0.06 0.67 1.73 0.06
 -------- 16:00 0.04 0.06 0.83 1.72 0.06
 -------- 17:00 0.04 0.06 0.88 1.73 0.07
 25.12.12 18:00 0.06 0.06 0.88 1.73 0.06
 -------- 19:00 0.04 0.06 1.00 1.74 0.06
 -------- 20:00 0.02 0.06 0.92 1.73 0.07
 -------- 21:00 0.02 0.06 0.88 1.72 0.06
 -------- 22:00 0.02 0.06 0.88 1.72 0.08
 25.12.12 23:00 ---- 0.05 0.92 1.70 0.08
 -------- 00:00 ---- 0.04 0.50 1.71 0.06
 -------- 01:00 ---- 0.03 0.25 1.68 0.05
 -------- 02:00 ---- 0.03 0.25 1.66 0.04
 -------- 03:00 ---- 0.03 0.25 1.66 0.05
 26.12.12 04:00 ---- 0.03 0.29 1.68 0.04
 -------- 05:00 ---- 0.03 0.33 1.67 0.05
 -------- 06:00 ---- 0.03 0.38 1.70 0.06
 -------- 07:00 0.02 0.03 0.38 1.72 0.07
 -------- 08:00 ---- 0.03 0.38 1.76 0.07
 26.12.12 09:00 ---- 0.04 0.38 1.78 0.06
 -------- 10:00 ---- 0.04 0.38 1.77 0.06
 -------- 11:00 ---- 0.06 0.50 1.79 0.05
