 Date Time CO H2S NO2 CHX NO PM10
 03.10.12 12:00 0.12 0.25 0.16 1.62 0.03 0.05
 -------- 13:00 0.13 0.25 0.17 1.64 0.03 0.06
 -------- 14:00 0.13 0.21 0.18 1.67 0.04 0.07
 -------- 15:00 0.13 0.38 0.17 1.70 0.03 0.07
 -------- 16:00 0.13 0.17 0.17 1.65 0.03 0.07
 03.10.12 17:00 0.13 0.21 0.17 1.66 0.03 0.09
 -------- 18:00 0.13 0.21 0.18 1.67 0.03 0.07
 -------- 19:00 0.15 0.29 0.18 1.70 0.05 0.08
 -------- 20:00 0.13 0.21 0.18 1.80 0.08 0.08
 -------- 21:00 0.15 0.33 0.17 1.77 0.07 0.09
 03.10.12 22:00 0.15 0.54 0.18 1.88 0.09 0.11
 -------- 23:00 0.15 0.54 0.14 1.91 0.13 0.12
 -------- 00:00 0.14 1.17 0.13 2.14 0.13 0.12
 -------- 01:00 0.13 0.25 0.12 1.90 0.10 0.13
 -------- 02:00 0.14 0.42 0.12 1.94 0.10 0.12
 04.10.12 03:00 0.14 0.21 0.12 1.97 0.14 0.11
 -------- 04:00 0.14 0.21 0.10 2.12 0.12 0.11
 -------- 05:00 0.14 0.17 0.09 2.09 0.10 0.10
 -------- 06:00 0.12 0.38 0.08 2.39 0.06 0.08
 -------- 07:00 0.15 0.71 0.10 2.21 0.07 0.08
 04.10.12 08:00 0.18 0.12 0.10 2.03 0.05 0.10
 -------- 09:00 0.20 0.12 0.10 1.85 0.04 0.10
 -------- 10:00 0.15 0.29 0.12 1.80 0.05 0.15
 -------- 11:00 0.10 0.62 0.09 1.74 0.03 0.11
 -------- 12:00 0.10 0.25 0.09 1.72 0.02 0.09
 04.10.12 13:00 0.11 0.75 0.13 1.77 0.03 0.09
 -------- 14:00 0.10 0.33 0.14 1.72 0.02 0.14
 -------- 15:00 0.11 0.12 0.16 1.72 0.01 0.18
 -------- 16:00 0.11 0.29 0.18 1.73 0.01 0.14
 -------- 17:00 0.11 0.33 0.16 1.69 0.01 0.12
 04.10.12 18:00 0.13 0.12 0.26 1.74 0.02 0.15
 -------- 19:00 0.14 0.12 0.27 1.75 0.02 0.14
 -------- 20:00 0.12 0.21 0.26 1.72 0.01 0.13
 -------- 21:00 0.11 0.29 0.23 1.69 0.01 0.10
 -------- 22:00 0.11 0.12 0.23 1.63 0.01 0.09
 04.10.12 23:00 0.09 0.12 0.17 1.61 0.02 0.05
 -------- 00:00 0.04 ---- 0.11 1.51 ---- 0.02
 -------- 01:00 0.04 ---- 0.07 1.50 ---- 0.01
 -------- 02:00 0.04 0.21 0.06 1.49 ---- 0.01
 -------- 03:00 0.04 0.25 0.06 1.50 ---- 0.02
 05.10.12 04:00 0.04 0.12 0.11 1.54 ---- 0.02
 -------- 05:00 0.04 0.12 0.12 1.55 0.01 0.02
 -------- 06:00 0.07 0.67 0.17 1.73 0.05 0.05
 -------- 07:00 0.13 1.25 0.15 2.15 0.12 0.11
 -------- 08:00 0.15 2.12 0.17 2.34 0.13 0.14
 05.10.12 09:00 0.16 1.04 0.18 2.03 0.12 0.11
 -------- 10:00 ---- ---- ---- ---- ---- 0.12
