 Date Time CO H2S NO2 CHX NO PM10
 06.10.12 12:00 0.09 0.12 0.10 1.56 0.01 0.02
 -------- 13:00 0.09 0.12 0.11 1.54 0.00 0.03
 -------- 14:00 0.10 0.12 0.17 1.54 0.02 0.03
 -------- 15:00 0.11 0.21 0.17 1.56 0.02 0.04
 -------- 16:00 0.11 0.21 0.18 1.58 0.01 0.04
 06.10.12 17:00 0.09 0.25 0.12 1.57 0.01 0.03
 -------- 18:00 0.08 ---- 0.09 1.54 0.00 0.03
 -------- 19:00 0.08 ---- 0.09 1.53 ---- 0.03
 -------- 20:00 0.08 0.12 0.10 1.54 0.00 0.02
 -------- 21:00 0.08 0.12 0.07 1.51 ---- 0.02
 06.10.12 22:00 0.08 0.12 0.09 1.51 ---- 0.02
 -------- 23:00 0.08 ---- 0.09 1.51 ---- 0.02
 -------- 00:00 0.08 0.21 0.09 1.51 ---- 0.01
 -------- 01:00 0.08 0.25 0.10 1.50 ---- 0.01
 -------- 02:00 0.08 0.17 0.10 1.51 ---- 0.01
 07.10.12 03:00 0.08 0.21 0.14 1.59 ---- 0.02
 -------- 04:00 0.08 0.29 0.12 1.67 ---- 0.05
 -------- 05:00 0.08 0.25 0.12 1.64 ---- 0.02
 -------- 06:00 0.08 0.75 0.08 1.71 ---- 0.02
 -------- 07:00 0.07 0.54 0.07 1.73 ---- 0.01
 07.10.12 08:00 0.06 0.33 0.06 1.74 ---- 0.01
 -------- 09:00 0.07 0.38 0.07 1.61 0.00 0.02
 -------- 10:00 0.09 0.29 0.17 1.62 0.02 0.05
 -------- 11:00 0.10 0.33 0.12 1.59 0.01 0.06
 -------- 12:00 0.09 0.12 0.08 1.53 0.01 0.04
 07.10.12 13:00 0.07 0.12 0.05 1.50 0.00 0.02
 -------- 14:00 0.06 0.12 0.05 1.51 0.00 0.03
 -------- 15:00 0.06 0.12 0.05 1.51 0.00 0.03
 -------- 16:00 0.07 0.12 0.06 1.50 0.00 0.03
 -------- 17:00 0.07 0.12 0.07 1.51 0.00 0.03
 07.10.12 18:00 0.08 ---- 0.09 1.51 0.00 0.03
 -------- 19:00 0.07 ---- 0.08 1.50 ---- 0.05
 -------- 20:00 0.07 ---- 0.12 1.53 0.00 0.02
 -------- 21:00 0.13 ---- 0.23 1.60 0.02 0.04
 -------- 22:00 0.17 0.42 0.27 1.69 0.05 0.05
 07.10.12 23:00 0.20 0.38 0.23 1.82 0.08 0.05
 -------- 00:00 0.23 0.71 0.17 1.86 0.07 0.05
 -------- 01:00 0.17 1.25 0.19 2.04 0.15 0.09
 -------- 02:00 0.15 0.33 0.14 2.22 0.12 0.08
 -------- 03:00 0.17 0.54 0.16 2.42 0.13 0.12
 08.10.12 04:00 0.16 0.46 0.17 2.19 0.09 0.11
 -------- 05:00 0.16 0.42 0.15 2.33 0.09 0.09
 -------- 06:00 0.17 0.44 0.15 2.47 0.09 0.11
 -------- 07:00 0.16 0.38 0.16 2.35 0.11 0.10
 -------- 08:00 0.13 0.33 0.21 1.79 0.02 0.03
 08.10.12 09:00 0.14 0.63 0.21 2.13 0.06 0.05
 -------- 10:00 0.15 ---- 0.18 1.80 0.04 0.05
 -------- 11:00 0.11 ---- 0.17 2.98 0.01 0.03
