 Date Time CO SO2 H2S NO2 CHX NO PM10
 05.02.13 12:00 0.05 0.01 0.12 0.39 1.67 0.10 0.03
 -------- 13:00 0.02 0.01 0.12 0.37 1.62 0.10 0.03
 -------- 14:00 0.02 0.03 0.21 0.38 1.67 0.13 0.04
 -------- 15:00 0.02 0.04 0.25 0.33 1.65 0.10 0.05
 -------- 16:00 0.02 0.02 0.25 0.31 1.61 0.06 0.04
 05.02.13 17:00 0.02 0.01 0.29 0.34 1.61 0.06 0.03
 -------- 18:00 0.02 0.01 0.42 0.33 1.61 0.04 0.03
 -------- 19:00 0.02 0.01 0.21 0.36 1.60 0.03 0.04
 -------- 20:00 0.02 0.01 0.21 0.37 1.59 0.03 0.03
 -------- 21:00 0.02 0.01 0.17 0.37 1.60 0.04 0.03
 05.02.13 22:00 0.02 0.01 0.25 0.43 1.62 0.04 0.05
 -------- 23:00 0.02 0.02 0.25 0.41 1.68 0.04 0.05
 -------- 00:00 0.02 0.01 0.19 0.35 1.62 0.04 0.05
 -------- 01:00 0.02 0.01 0.12 0.33 1.58 0.03 0.04
 -------- 02:00 0.02 0.01 0.12 0.27 1.55 0.03 0.04
 06.02.13 03:00 0.02 0.00 0.12 0.22 1.55 0.03 0.04
 -------- 04:00 0.02 0.00 0.12 0.21 1.53 0.03 0.03
 -------- 05:00 0.02 0.00 ---- 0.27 1.54 0.03 0.03
 -------- 06:00 0.03 0.00 ---- 0.38 1.61 0.05 0.04
 -------- 07:00 0.02 0.00 0.12 0.33 1.55 0.05 0.04
 06.02.13 08:00 0.03 0.00 0.12 0.40 1.59 0.06 0.04
 -------- 09:00 0.03 0.01 0.12 0.36 1.57 0.05 0.05
 -------- 10:00 0.02 0.01 0.12 0.33 1.57 0.05 0.04
 -------- 11:00 0.02 0.02 0.12 0.30 1.55 0.05 0.04
 -------- 12:00 0.02 0.02 0.12 0.33 1.56 0.06 0.06
 06.02.13 13:00 0.02 0.02 0.12 0.29 1.56 0.06 0.06
 -------- 14:00 0.02 0.02 0.12 0.25 1.56 0.05 0.05
 -------- 15:00 0.02 0.01 0.38 0.21 1.61 0.04 0.04
 -------- 16:00 0.02 0.01 0.29 0.26 1.65 0.04 0.05
 -------- 17:00 0.02 0.01 0.46 0.28 1.62 0.03 0.05
 06.02.13 18:00 0.02 0.01 0.12 0.38 1.58 0.04 0.04
 -------- 19:00 0.02 0.01 0.12 0.34 1.61 0.04 0.04
 -------- 20:00 ---- 0.01 0.17 0.30 1.60 0.04 0.05
 -------- 21:00 ---- 0.01 0.17 0.28 1.59 0.03 0.05
 -------- 22:00 ---- 0.01 0.21 0.30 1.61 0.03 0.05
 06.02.13 23:00 ---- 0.01 0.25 0.30 1.58 0.03 0.06
 -------- 00:00 ---- 0.01 0.19 0.31 1.59 0.03 0.05
 -------- 01:00 ---- 0.01 0.12 0.26 1.57 0.03 0.04
 -------- 02:00 ---- 0.01 0.12 0.21 1.55 0.03 0.04
 -------- 03:00 ---- 0.01 ---- 0.15 1.53 0.03 0.03
 07.02.13 04:00 ---- 0.01 0.29 0.16 1.64 0.03 0.04
 -------- 05:00 ---- 0.01 0.25 0.17 1.65 0.03 0.07
 -------- 06:00 ---- 0.01 0.19 0.17 1.64 0.03 0.08
 -------- 07:00 0.04 0.01 0.12 0.17 1.64 0.03 0.09
 -------- 08:00 0.04 0.01 0.21 0.22 1.66 0.03 0.08
 07.02.13 09:00 0.04 0.01 0.21 0.24 1.64 0.03 0.06
 -------- 10:00 0.04 0.01 0.25 0.22 1.64 0.04 0.04
 -------- 11:00 0.04 0.01 0.12 0.19 1.61 0.04 0.06
