 Date Time CO H2S NO2 CHX NO PM10
 02.11.12 12:00 0.10 0.31 0.15 1.73 0.02 0.09
 -------- 13:00 0.10 0.33 0.17 1.70 0.02 0.09
 -------- 14:00 0.10 0.17 0.19 1.63 0.03 0.07
 -------- 15:00 0.09 0.38 0.14 1.65 0.01 0.07
 -------- 16:00 0.09 0.17 0.17 1.68 0.01 0.06
 02.11.12 17:00 0.09 0.25 0.16 1.69 0.01 0.08
 -------- 18:00 0.10 0.46 0.13 1.72 0.00 0.08
 -------- 19:00 0.09 0.67 0.11 1.67 0.00 0.09
 -------- 20:00 0.06 0.38 0.11 1.67 0.00 0.10
 -------- 21:00 0.05 0.33 0.08 1.66 ---- 0.09
 02.11.12 22:00 0.04 0.50 0.08 1.64 ---- 0.05
 -------- 23:00 0.03 0.54 0.08 1.66 ---- 0.04
 -------- 00:00 0.02 0.38 0.08 1.66 ---- 0.02
 -------- 01:00 0.03 0.38 0.08 1.66 ---- 0.04
 -------- 02:00 0.03 0.12 0.07 1.68 ---- 0.03
 03.11.12 03:00 0.03 ---- 0.07 1.65 ---- 0.03
 -------- 04:00 0.02 0.12 0.08 1.64 0.00 0.02
 -------- 05:00 0.02 0.12 0.08 1.69 ---- 0.03
 -------- 06:00 0.03 0.17 0.09 1.70 ---- 0.03
 -------- 07:00 0.04 0.12 0.09 1.67 ---- 0.06
 03.11.12 08:00 0.04 0.33 0.13 1.79 0.00 0.05
 -------- 09:00 0.05 0.46 0.15 1.81 0.00 0.04
 -------- 10:00 0.04 0.33 0.13 1.83 0.01 0.05
 -------- 11:00 0.06 0.33 0.14 1.66 0.01 0.05
 -------- 12:00 0.05 0.62 0.13 1.69 0.01 0.05
 03.11.12 13:00 0.04 0.58 0.13 1.66 0.01 0.06
 -------- 14:00 0.04 0.12 0.13 1.60 0.01 0.05
 -------- 15:00 0.04 ---- 0.11 1.58 0.00 0.04
 -------- 16:00 0.05 ---- 0.10 1.59 0.00 0.04
 -------- 17:00 0.04 ---- 0.11 1.57 0.00 0.03
 03.11.12 18:00 0.04 0.33 0.11 1.58 0.00 0.02
 -------- 19:00 0.07 0.46 0.14 1.60 0.01 0.03
 -------- 20:00 0.09 0.25 0.13 1.60 0.01 0.03
 -------- 21:00 0.10 0.25 0.14 1.63 0.01 0.02
 -------- 22:00 0.10 ---- 0.15 1.62 0.01 0.03
 03.11.12 23:00 0.11 ---- 0.15 1.63 0.02 0.03
 -------- 00:00 0.10 0.19 0.15 1.66 0.03 0.05
 -------- 01:00 0.10 0.17 0.15 1.70 0.03 0.05
 -------- 02:00 0.10 0.12 0.14 1.74 0.03 0.05
 -------- 03:00 0.09 0.12 0.13 1.71 0.01 0.05
 04.11.12 04:00 0.08 0.38 0.12 1.65 0.00 0.05
 -------- 05:00 0.08 0.46 0.12 1.81 0.00 0.04
 -------- 06:00 0.10 0.21 0.15 1.76 0.03 0.05
 -------- 07:00 0.10 0.12 0.13 1.66 0.01 0.06
 -------- 08:00 0.10 ---- 0.15 1.65 0.01 0.04
 04.11.12 09:00 0.12 ---- 0.17 1.67 0.02 0.06
 -------- 10:00 0.15 0.12 0.18 1.70 0.03 0.08
 -------- 11:00 0.12 0.25 0.17 1.67 0.03 0.07
