 Date Time CO SO2 H2S NO2 CHX NO PM10
 31.12.12 12:00 ---- 0.01 0.25 ---- 1.83 0.10 0.03
 -------- 13:00 ---- 0.01 0.12 0.01 1.70 0.10 0.03
 -------- 14:00 ---- 0.01 0.12 ---- 1.65 0.09 0.03
 -------- 15:00 ---- 0.01 0.12 0.01 1.67 0.09 0.04
 -------- 16:00 ---- 0.01 0.12 0.04 1.69 0.09 0.03
 31.12.12 17:00 ---- 0.01 ---- 0.10 1.74 0.09 0.04
 -------- 18:00 0.02 0.01 0.12 0.15 1.72 0.10 0.05
 -------- 19:00 0.02 0.01 0.12 0.20 1.76 0.12 0.05
 -------- 20:00 0.03 0.01 0.12 0.22 1.83 0.13 0.05
 -------- 21:00 0.02 0.01 0.12 0.23 1.77 0.13 0.05
 31.12.12 22:00 ---- 0.01 0.12 0.21 1.80 0.16 0.07
 -------- 23:00 0.02 0.01 0.17 0.22 1.85 0.21 0.09
 -------- 00:00 0.02 0.01 0.17 0.21 1.93 0.21 0.16
 -------- 01:00 0.02 0.01 0.33 0.19 2.06 0.24 0.42
 -------- 02:00 0.02 0.01 0.29 0.16 2.00 0.23 0.35
 01.01.13 03:00 0.02 0.01 0.21 0.16 1.94 0.20 0.27
 -------- 04:00 0.02 0.01 0.12 0.14 1.88 0.14 0.21
 -------- 05:00 0.02 0.01 0.12 0.15 1.84 0.15 0.16
 -------- 06:00 ---- 0.01 0.12 0.14 1.73 0.09 0.09
 -------- 07:00 0.02 0.01 0.12 0.11 1.67 0.08 0.06
 01.01.13 08:00 0.02 0.01 0.12 0.05 1.63 0.08 0.04
 -------- 09:00 0.05 0.01 0.12 0.10 1.66 0.08 0.04
 -------- 10:00 0.03 0.01 0.12 0.15 1.66 0.14 0.05
 -------- 11:00 0.02 0.01 0.17 0.14 1.80 0.17 0.05
 -------- 12:00 0.04 0.01 0.21 0.16 1.97 0.18 0.07
 01.01.13 13:00 0.03 0.04 0.21 0.17 1.94 0.15 0.07
 -------- 14:00 0.02 0.03 0.17 0.13 1.79 0.12 0.06
 -------- 15:00 0.02 0.01 0.17 0.04 1.70 0.08 0.06
 -------- 16:00 0.02 0.01 0.12 ---- 1.68 0.08 0.04
 -------- 17:00 0.02 0.01 0.12 ---- 1.65 0.07 0.04
 01.01.13 18:00 0.02 0.01 0.12 0.01 1.64 0.08 0.05
 -------- 19:00 0.02 0.01 0.21 0.01 1.62 0.07 0.05
 -------- 20:00 ---- 0.01 0.12 0.01 1.65 0.07 0.05
 -------- 21:00 0.02 0.01 0.12 ---- 1.64 0.07 0.04
 -------- 22:00 ---- 0.00 0.12 ---- 1.63 0.07 0.04
 01.01.13 23:00 ---- 0.00 0.12 ---- 1.64 0.07 0.03
 -------- 00:00 ---- 0.00 0.17 ---- 1.66 0.07 0.03
 -------- 01:00 ---- 0.00 0.12 ---- 1.66 0.07 0.04
 -------- 02:00 ---- 0.00 0.12 0.02 1.70 0.07 0.04
 -------- 03:00 ---- 0.00 0.12 0.01 1.70 0.07 0.03
 02.01.13 04:00 ---- 0.00 0.12 ---- 1.66 0.07 0.03
 -------- 05:00 ---- 0.00 0.12 0.02 1.64 0.08 0.04
 -------- 06:00 ---- 0.01 0.12 0.01 1.64 0.07 0.05
 -------- 07:00 ---- 0.01 0.12 0.03 1.65 0.07 0.05
 -------- 08:00 ---- 0.01 0.12 0.05 1.65 0.08 0.05
 02.01.13 09:00 ---- 0.02 0.12 0.08 1.70 0.08 0.06
 -------- 10:00 ---- 0.03 0.17 0.10 1.73 0.10 0.06
 -------- 11:00 ---- 0.03 0.17 0.12 1.74 0.11 0.06
