 Date Time CO SO2 H2S NO2 CHX NO PM10
 01.04.13 00:00 0.10 0.01 0.31 0.46 3.88 0.09 0.06
 -------- 01:00 0.08 0.01 0.25 0.47 3.52 0.08 0.07
 -------- 02:00 0.09 0.01 0.25 0.44 3.62 0.06 0.06
 -------- 03:00 0.08 0.01 0.29 0.46 5.26 0.05 0.06
 -------- 04:00 0.09 0.01 0.58 0.46 11.48 0.07 0.06
 01.04.13 05:00 0.07 0.01 0.25 0.45 3.44 0.06 0.07
 -------- 06:00 0.07 0.01 0.33 0.44 3.58 0.05 0.06
 -------- 07:00 0.10 0.01 0.17 0.33 2.79 0.06 0.05
 -------- 08:00 0.10 0.00 0.12 0.26 1.87 0.05 0.04
 -------- 09:00 0.07 0.00 ---- 0.14 1.53 0.04 0.04
 01.04.13 10:00 0.07 0.00 ---- 0.11 1.48 0.03 0.03
 -------- 11:00 0.06 0.00 ---- 0.12 1.49 0.03 0.02
 -------- 12:00 0.06 0.00 ---- 0.14 1.59 0.04 0.02
 -------- 13:00 0.06 0.00 ---- 0.13 1.55 0.04 0.02
 -------- 14:00 0.06 0.00 ---- 0.15 1.43 0.04 0.04
 01.04.13 15:00 0.05 0.01 ---- 0.14 1.42 0.04 0.04
 -------- 16:00 0.06 0.01 ---- 0.16 1.44 0.04 0.06
 -------- 17:00 0.06 0.01 0.33 0.19 1.52 0.04 0.07
 -------- 18:00 0.06 0.01 0.33 0.28 1.57 0.04 0.06
 -------- 19:00 0.07 0.01 0.21 0.28 1.57 0.04 0.06
 01.04.13 20:00 0.07 0.01 0.25 0.37 1.55 0.04 0.06
 -------- 21:00 0.06 0.01 0.87 0.28 1.64 0.03 0.06
 -------- 22:00 0.06 0.01 1.12 0.31 1.59 0.03 0.06
 -------- 23:00 0.06 0.01 1.08 0.35 1.60 0.03 0.06
 -------- 00:00 0.07 0.01 0.25 0.31 1.57 0.03 0.05
 02.04.13 01:00 0.06 0.01 0.58 0.38 1.66 0.03 0.06
 -------- 02:00 0.07 0.01 1.00 0.51 1.79 0.07 0.06
 -------- 03:00 0.08 0.01 0.54 0.47 1.69 0.04 0.06
 -------- 04:00 0.07 0.00 0.33 0.42 1.60 0.03 0.04
 -------- 05:00 0.08 0.00 0.29 0.48 1.60 0.05 0.06
 02.04.13 06:00 0.09 0.01 0.33 0.50 1.60 0.06 0.06
 -------- 07:00 0.17 0.01 0.38 0.50 1.67 0.11 0.05
 -------- 08:00 0.19 0.01 0.29 0.48 1.52 0.12 0.05
 -------- 09:00 0.09 0.02 0.38 0.40 1.57 0.08 0.04
 -------- 10:00 0.06 0.04 0.54 0.27 1.48 0.05 0.02
 02.04.13 11:00 0.05 0.06 0.79 0.24 1.44 0.05 0.03
 -------- 12:00 0.05 0.06 1.17 0.25 1.44 0.05 0.03
 -------- 13:00 0.06 0.07 1.54 0.26 1.44 0.06 0.04
 -------- 14:00 0.07 0.08 2.04 0.24 1.42 0.05 0.03
 -------- 15:00 0.07 0.09 2.50 0.21 1.41 0.04 0.03
 02.04.13 16:00 0.06 0.09 2.79 0.23 1.42 0.04 0.04
 -------- 17:00 0.07 0.10 2.96 0.24 1.41 0.04 0.04
 -------- 18:00 0.07 0.10 2.92 0.31 1.43 0.04 0.04
 -------- 19:00 0.10 0.09 2.79 0.37 1.43 0.04 0.04
 -------- 20:00 0.11 0.08 2.42 0.41 1.49 0.03 0.05
 02.04.13 21:00 0.11 0.06 1.96 0.38 1.45 0.03 0.05
 -------- 22:00 0.09 0.05 1.46 0.31 1.43 0.03 0.04
 -------- 23:00 0.07 0.04 1.12 0.30 1.42 0.03 0.04
