 Date Time CO H2S NO2 CHX NO PM10
 22.11.12 12:00 0.09 0.12 0.24 1.78 0.17 0.12
 -------- 13:00 0.08 0.17 0.26 1.77 0.13 0.12
 -------- 14:00 0.07 0.33 0.24 1.66 0.04 0.08
 -------- 15:00 0.06 0.38 0.26 1.64 0.02 0.08
 -------- 16:00 0.06 0.21 0.27 1.61 0.02 0.09
 22.11.12 17:00 0.06 0.25 0.28 1.82 0.03 0.09
 -------- 18:00 0.06 0.33 0.27 1.88 0.03 0.09
 -------- 19:00 0.03 0.33 0.18 1.61 0.01 0.07
 -------- 20:00 0.02 0.12 0.15 1.54 0.00 0.04
 -------- 21:00 0.02 0.17 0.18 1.76 0.00 0.06
 22.11.12 22:00 0.02 0.12 0.21 1.71 0.00 0.07
 -------- 23:00 0.02 0.12 0.26 1.63 0.01 0.09
 -------- 00:00 0.02 ---- 0.19 1.61 0.01 0.08
 -------- 01:00 0.02 ---- 0.20 1.63 0.00 0.07
 -------- 02:00 ---- 0.21 0.15 1.64 ---- 0.05
 23.11.12 03:00 ---- 0.25 0.15 1.65 ---- 0.05
 -------- 04:00 ---- 0.21 0.15 1.61 ---- 0.04
 -------- 05:00 ---- 0.21 0.12 1.58 0.01 0.04
 -------- 06:00 0.02 0.33 0.14 1.62 0.00 0.04
 -------- 07:00 0.02 0.38 0.18 1.59 0.01 0.05
 23.11.12 08:00 0.04 0.12 0.19 1.62 0.02 0.08
 -------- 09:00 0.04 0.12 0.18 1.59 0.01 0.06
 -------- 10:00 0.04 0.25 0.21 1.61 0.02 0.08
 -------- 11:00 0.03 0.38 0.19 1.62 0.02 0.09
 -------- 12:00 0.02 0.17 0.19 1.64 0.04 0.10
 23.11.12 13:00 0.04 0.17 0.19 1.65 0.05 0.10
 -------- 14:00 0.04 0.21 0.21 1.67 0.07 0.09
 -------- 15:00 0.04 0.25 0.23 1.71 0.07 0.13
 -------- 16:00 0.04 0.12 0.24 1.70 0.05 0.11
 -------- 17:00 0.04 0.17 0.25 1.73 0.05 0.13
 23.11.12 18:00 0.04 0.31 0.26 1.72 0.05 0.13
 -------- 19:00 0.03 0.21 0.24 1.71 0.05 0.11
 -------- 20:00 0.02 0.12 0.25 1.68 0.05 0.09
 -------- 21:00 0.02 0.12 0.25 1.70 0.06 0.09
 -------- 22:00 0.02 0.12 0.25 1.75 0.08 0.09
 23.11.12 23:00 0.02 0.12 0.24 1.74 0.07 0.12
 -------- 00:00 ---- 0.25 0.24 1.74 0.06 0.08
 -------- 01:00 ---- 0.29 0.23 1.75 0.05 0.10
 -------- 02:00 ---- 0.12 0.22 1.73 0.04 0.06
 -------- 03:00 ---- 0.21 0.21 1.79 0.05 0.08
 24.11.12 04:00 ---- 0.21 0.21 1.78 0.05 0.07
 -------- 05:00 ---- 0.29 0.20 1.78 0.05 0.10
 -------- 06:00 ---- 0.25 0.20 1.78 0.05 0.06
 -------- 07:00 ---- 0.25 0.20 1.75 0.05 0.05
 -------- 08:00 ---- 0.19 0.20 1.96 0.14 0.07
 24.11.12 09:00 ---- 0.25 0.22 1.87 0.19 0.10
 -------- 10:00 ---- 0.29 0.21 1.81 0.13 0.12
 -------- 11:00 ---- 0.29 0.21 1.80 0.11 0.11
