 Date Time CO H2S NO2 CHX NO PM10
 27.11.12 12:00 0.03 0.17 0.14 1.71 0.10 0.05
 -------- 13:00 0.04 0.17 0.14 1.71 0.10 0.05
 -------- 14:00 0.02 0.21 0.14 1.70 0.08 0.05
 -------- 15:00 0.02 0.21 0.14 1.68 0.07 0.06
 -------- 16:00 0.02 0.12 0.14 1.64 0.04 0.06
 27.11.12 17:00 0.02 0.12 0.14 1.65 0.05 0.06
 -------- 18:00 0.02 0.12 0.14 1.64 0.04 0.04
 -------- 19:00 0.02 0.17 0.15 1.63 0.02 0.04
 -------- 20:00 ---- ---- 0.14 1.63 0.02 0.03
 -------- 21:00 ---- ---- 0.16 1.66 0.03 0.04
 27.11.12 22:00 ---- 0.12 0.16 1.68 0.04 0.04
 -------- 23:00 ---- 0.12 0.16 1.67 0.05 0.04
 -------- 00:00 ---- 0.12 0.15 1.64 0.03 0.05
 -------- 01:00 ---- 0.12 0.14 1.63 0.02 0.04
 -------- 02:00 ---- 0.38 0.13 1.65 0.01 0.05
 28.11.12 03:00 ---- 0.50 0.12 2.13 0.01 0.03
 -------- 04:00 ---- 0.12 0.11 2.70 0.00 0.02
 -------- 05:00 ---- ---- 0.13 3.01 0.03 0.03
 -------- 06:00 ---- 0.12 0.13 2.18 0.03 0.03
 -------- 07:00 ---- 0.12 0.11 2.08 0.02 0.02
 28.11.12 08:00 ---- 0.25 0.09 1.91 0.01 0.02
 -------- 09:00 ---- 0.19 0.08 1.72 0.00 0.02
 -------- 10:00 ---- 0.12 0.10 1.67 0.02 0.02
 -------- 11:00 ---- 0.19 0.10 1.62 0.03 0.04
 -------- 12:00 ---- 0.25 0.11 1.64 0.03 0.08
 28.11.12 13:00 ---- 0.29 0.12 1.68 0.03 0.08
 -------- 14:00 ---- 0.21 0.12 1.66 0.02 0.08
 -------- 15:00 ---- 0.12 0.12 1.64 0.02 0.06
 -------- 16:00 ---- 0.25 0.12 1.59 0.02 0.04
 -------- 17:00 ---- 0.38 0.12 1.73 0.01 0.05
 28.11.12 18:00 ---- 0.17 0.11 1.70 0.01 0.03
 -------- 19:00 0.02 0.12 0.08 1.68 0.00 0.03
 -------- 20:00 0.02 ---- 0.07 1.58 0.00 0.01
 -------- 21:00 0.03 ---- 0.07 1.57 0.00 0.01
 -------- 22:00 0.02 0.31 0.06 1.58 0.00 0.02
 28.11.12 23:00 0.02 0.25 0.06 1.62 ---- 0.02
 -------- 00:00 0.02 0.21 0.06 1.61 ---- 0.02
 -------- 01:00 0.02 0.12 0.06 1.59 ---- 0.01
 -------- 02:00 ---- 0.25 0.05 1.63 ---- 0.03
 -------- 03:00 0.02 0.29 0.05 1.63 ---- 0.03
 29.11.12 04:00 ---- 0.12 0.05 1.67 ---- 0.03
 -------- 05:00 ---- ---- 0.05 1.61 ---- 0.02
 -------- 06:00 0.08 0.17 0.05 1.63 ---- 0.02
 -------- 07:00 0.03 0.21 0.07 1.60 0.00 0.02
 -------- 08:00 0.02 0.12 0.07 1.59 ---- 0.02
 29.11.12 09:00 0.02 0.17 0.08 1.59 ---- 0.03
 -------- 10:00 0.03 0.21 0.07 1.59 0.00 0.02
 -------- 11:00 0.02 0.25 0.06 1.58 0.00 0.02
