 Date Time CO SO2 H2S NO2 CHX NO PM10
 17.02.13 00:00 0.02 0.00 ---- 0.21 1.14 0.03 0.06
 -------- 01:00 0.02 0.00 ---- 0.21 1.15 0.03 0.06
 -------- 02:00 0.02 0.00 ---- 0.24 1.15 0.03 0.07
 -------- 03:00 0.02 0.00 ---- 0.31 1.18 0.03 0.07
 -------- 04:00 0.02 0.00 ---- 0.29 1.19 0.03 0.06
 17.02.13 05:00 0.02 0.01 0.12 0.23 1.18 0.03 0.06
 -------- 06:00 0.02 0.00 ---- 0.20 1.16 0.03 0.06
 -------- 07:00 0.02 0.00 ---- 0.18 1.16 0.03 0.06
 -------- 08:00 ---- 0.00 ---- 0.20 1.17 0.03 0.06
 -------- 09:00 ---- 0.01 ---- 0.25 1.19 0.03 0.06
 17.02.13 10:00 ---- 0.02 ---- 0.27 1.19 0.05 0.06
 -------- 11:00 ---- 0.02 ---- 0.21 1.17 0.05 0.06
 -------- 12:00 ---- 0.04 ---- 0.18 1.15 0.05 0.06
 -------- 13:00 ---- 0.05 0.12 0.20 1.15 0.05 0.06
 -------- 14:00 ---- 0.04 0.21 0.20 1.16 0.05 0.07
 17.02.13 15:00 0.02 0.03 0.29 0.21 1.17 0.05 0.06
 -------- 16:00 0.02 0.04 0.25 0.22 1.18 0.05 0.06
 -------- 17:00 0.02 0.03 0.25 0.24 1.19 0.05 0.06
 -------- 18:00 ---- 0.02 0.25 0.26 1.18 0.04 0.06
 -------- 19:00 0.03 0.02 0.17 0.33 1.18 0.03 0.07
 17.02.13 20:00 0.04 0.01 0.12 0.33 1.22 0.03 0.07
 -------- 21:00 0.04 0.01 0.12 0.25 1.20 0.03 0.05
 -------- 22:00 0.03 0.01 0.12 0.21 1.15 0.03 0.04
 -------- 23:00 0.02 0.01 ---- 0.16 1.12 0.03 0.04
 -------- 00:00 0.02 0.01 ---- 0.13 1.11 0.03 0.03
 18.02.13 01:00 0.02 ---- ---- 0.12 1.12 0.03 0.03
 -------- 02:00 0.02 ---- ---- 0.14 1.12 0.03 0.04
 -------- 03:00 0.02 0.00 ---- 0.18 1.11 0.03 0.04
 -------- 04:00 0.02 0.00 ---- 0.14 1.12 0.03 0.03
 -------- 05:00 0.02 0.00 ---- 0.16 1.12 0.03 0.04
 18.02.13 06:00 0.02 ---- ---- 0.11 1.11 0.03 0.03
 -------- 07:00 0.02 ---- ---- 0.14 1.11 0.03 0.03
 -------- 08:00 ---- ---- ---- 0.19 1.12 0.04 0.04
 -------- 09:00 ---- 0.00 ---- 0.20 1.17 0.04 0.03
 -------- 10:00 ---- 0.01 ---- 0.20 1.13 0.04 0.03
 18.02.13 11:00 ---- 0.01 0.12 0.26 1.12 0.06 0.03
 -------- 12:00 ---- 0.01 0.21 0.19 1.13 0.05 0.04
 -------- 13:00 ---- 0.02 0.42 0.17 1.13 0.05 0.04
 -------- 14:00 0.02 0.02 0.46 0.31 1.16 0.07 0.05
 -------- 15:00 0.02 0.02 0.50 0.33 1.22 0.07 0.05
 18.02.13 16:00 0.02 0.02 0.50 0.37 1.25 0.07 0.05
 -------- 17:00 0.02 0.02 0.54 0.40 1.24 0.06 0.05
 -------- 18:00 0.02 0.02 0.50 0.37 1.27 0.04 0.06
 -------- 19:00 0.03 0.01 0.42 0.30 1.18 0.04 0.05
 -------- 20:00 0.02 0.01 0.38 0.26 1.18 0.03 0.05
 18.02.13 21:00 0.02 0.01 0.38 0.31 1.19 0.03 0.05
 -------- 22:00 0.02 0.01 0.38 0.34 1.23 0.03 0.06
 -------- 23:00 0.02 0.01 0.38 0.44 1.22 0.03 0.08
