 Date Time CO H2S NO2 CHX NO PM10
 14.10.12 00:00 0.15 0.12 0.24 1.75 0.12 0.07
 -------- 01:00 0.14 0.17 0.22 1.74 0.11 0.06
 -------- 02:00 0.13 0.12 0.21 1.72 0.10 0.06
 -------- 03:00 0.14 0.12 0.18 1.75 0.12 0.05
 -------- 04:00 0.11 0.19 0.16 1.75 0.10 0.04
 14.10.12 05:00 0.10 0.21 0.13 1.76 0.11 0.04
 -------- 06:00 0.10 0.21 0.09 1.84 0.13 0.03
 -------- 07:00 0.11 0.29 0.10 1.96 0.15 0.04
 -------- 08:00 0.19 0.54 0.12 2.33 0.24 0.10
 -------- 09:00 0.21 0.88 0.14 2.58 0.27 0.14
 14.10.12 10:00 0.21 0.71 0.17 2.54 0.22 0.13
 -------- 11:00 0.17 ---- 0.20 1.90 0.10 0.09
 -------- 12:00 0.13 0.12 0.19 1.75 0.06 0.08
 -------- 13:00 0.09 0.12 0.16 1.61 0.02 0.05
 -------- 14:00 0.09 0.17 0.18 1.61 0.02 0.05
 14.10.12 15:00 0.09 0.17 0.20 1.62 0.02 0.05
 -------- 16:00 0.11 ---- 0.20 1.69 0.03 0.08
 -------- 17:00 0.07 0.62 0.15 1.67 0.01 0.07
 -------- 18:00 0.09 0.63 0.20 1.76 0.01 0.09
 -------- 19:00 0.11 0.58 0.24 1.86 0.04 0.13
 14.10.12 20:00 0.09 0.25 0.25 1.75 0.04 0.09
 -------- 21:00 0.08 0.33 0.25 1.73 0.03 0.08
 -------- 22:00 0.07 0.21 0.23 1.72 0.04 0.08
 -------- 23:00 0.09 0.33 0.20 1.78 0.07 0.09
 -------- 00:00 0.07 0.75 0.19 2.03 0.07 0.09
 15.10.12 01:00 0.06 1.92 0.18 2.09 0.06 0.09
 -------- 02:00 0.05 1.29 0.18 2.14 0.07 0.09
 -------- 03:00 0.04 0.71 0.18 2.00 0.06 0.08
 -------- 04:00 0.07 0.92 0.17 2.13 0.13 0.12
 -------- 05:00 0.07 0.17 0.17 2.03 0.10 0.09
 15.10.12 06:00 0.09 0.12 0.17 2.09 0.13 0.09
 -------- 07:00 0.22 0.12 0.16 2.00 0.11 0.08
 -------- 08:00 0.15 0.21 0.16 1.92 0.11 0.08
 -------- 09:00 0.11 0.33 0.14 1.91 0.07 0.07
 -------- 10:00 0.14 0.12 0.16 1.99 0.10 0.09
 15.10.12 11:00 0.13 0.17 0.18 1.84 0.08 0.12
 -------- 12:00 0.07 0.58 0.17 1.79 0.06 0.10
 -------- 13:00 0.05 0.67 0.14 1.72 0.03 0.07
 -------- 14:00 0.04 0.25 0.12 1.65 0.02 0.06
 -------- 15:00 0.03 0.42 0.11 1.60 0.01 0.06
 15.10.12 16:00 0.03 0.12 0.11 1.59 0.01 0.07
 -------- 17:00 0.04 0.42 0.14 1.64 0.01 0.09
 -------- 18:00 0.03 0.12 0.12 1.54 0.00 0.06
 -------- 19:00 0.05 0.92 0.17 1.68 ---- 0.07
 -------- 20:00 0.06 0.62 0.16 1.76 ---- 0.08
 15.10.12 21:00 0.04 0.58 0.14 1.78 ---- 0.05
 -------- 22:00 0.03 0.46 0.12 1.71 ---- 0.05
 -------- 23:00 0.02 0.38 0.11 1.62 ---- 0.04
