 Date Time CO H2S NO2 CHX NO PM10
 13.11.12 12:00 0.06 ---- 0.16 1.56 0.02 0.04
 -------- 13:00 0.05 ---- 0.15 1.54 0.01 0.05
 -------- 14:00 0.05 0.12 0.13 1.53 0.01 0.06
 -------- 15:00 0.05 0.12 0.12 1.54 0.01 0.06
 -------- 16:00 0.04 ---- 0.13 1.53 0.01 0.06
 13.11.12 17:00 0.05 ---- 0.18 1.55 0.01 0.05
 -------- 18:00 0.06 0.12 0.21 1.57 0.01 0.06
 -------- 19:00 0.07 0.21 0.16 1.54 0.01 0.04
 -------- 20:00 0.07 0.12 0.17 1.54 0.00 0.04
 -------- 21:00 0.06 ---- 0.16 1.54 0.00 0.04
 13.11.12 22:00 0.06 0.19 0.15 1.54 0.00 0.03
 -------- 23:00 0.07 0.12 0.11 1.53 ---- 0.04
 -------- 00:00 0.05 ---- 0.10 1.52 ---- 0.03
 -------- 01:00 0.04 0.12 0.08 1.52 ---- 0.02
 -------- 02:00 0.04 0.12 0.07 1.51 ---- 0.01
 14.11.12 03:00 0.04 0.12 0.07 1.51 ---- 0.02
 -------- 04:00 0.04 0.12 0.07 1.51 ---- 0.03
 -------- 05:00 0.04 ---- 0.07 1.53 ---- 0.02
 -------- 06:00 0.04 ---- 0.09 1.53 ---- 0.02
 -------- 07:00 0.07 ---- 0.08 1.53 0.00 0.01
 14.11.12 08:00 0.10 ---- 0.14 1.53 0.00 0.05
 -------- 09:00 0.10 ---- 0.14 1.53 0.00 0.05
 -------- 10:00 0.15 ---- 0.16 1.57 0.01 0.05
 -------- 11:00 0.10 ---- 0.16 1.53 0.01 0.06
 -------- 12:00 0.10 0.12 0.13 1.53 0.01 0.06
 14.11.12 13:00 0.10 0.12 0.16 1.55 0.02 0.06
 -------- 14:00 0.10 0.21 0.16 1.55 0.01 0.05
 -------- 15:00 0.10 0.25 0.13 1.53 0.01 0.07
 -------- 16:00 0.10 0.21 0.18 1.56 0.01 0.06
 -------- 17:00 0.11 0.25 0.18 1.55 0.01 0.06
 14.11.12 18:00 0.10 0.12 0.16 1.53 0.00 0.06
 -------- 19:00 0.09 0.12 0.14 1.53 0.00 0.05
 -------- 20:00 0.05 0.17 0.14 1.53 0.00 0.04
 -------- 21:00 0.04 0.25 0.14 1.53 0.00 0.04
 -------- 22:00 0.05 0.17 0.14 1.54 0.00 0.04
 14.11.12 23:00 0.04 0.17 0.14 1.54 0.00 0.05
 -------- 00:00 0.04 0.21 0.13 1.53 0.00 0.04
 -------- 01:00 0.04 0.25 0.13 1.53 ---- 0.03
 -------- 02:00 0.04 0.12 0.13 1.53 ---- 0.03
 -------- 03:00 0.04 0.12 0.12 1.53 ---- 0.03
 15.11.12 04:00 0.04 ---- 0.11 1.53 ---- 0.04
 -------- 05:00 0.04 ---- 0.10 1.53 ---- 0.03
 -------- 06:00 0.04 0.21 0.12 1.55 0.00 0.04
 -------- 07:00 0.08 0.38 0.17 1.57 0.01 0.04
 -------- 08:00 0.13 0.12 0.17 1.65 0.02 0.05
 15.11.12 09:00 0.12 ---- 0.18 1.59 0.01 0.05
 -------- 10:00 0.10 0.12 0.18 1.59 0.03 0.05
 -------- 11:00 0.09 0.25 0.17 1.58 0.02 0.05
