 Date Time CO SO2 H2S NO2 CHX NO PM10
 25.01.13 00:00 ---- 0.01 ---- 0.27 1.58 0.03 0.02
 -------- 01:00 ---- 0.00 ---- 0.25 1.59 0.03 0.02
 -------- 02:00 ---- 0.01 ---- 0.46 1.63 0.05 0.02
 -------- 03:00 ---- 0.01 ---- 0.36 1.62 0.04 0.02
 -------- 04:00 ---- 0.01 ---- 0.35 1.63 0.03 0.02
 25.01.13 05:00 ---- 0.01 ---- 0.39 1.62 0.04 0.02
 -------- 06:00 ---- 0.01 ---- 0.33 1.60 0.04 0.02
 -------- 07:00 ---- 0.01 ---- 0.34 1.64 0.04 0.02
 -------- 08:00 ---- 0.01 ---- 0.36 1.66 0.05 0.02
 -------- 09:00 ---- 0.01 ---- 0.35 1.64 0.05 0.02
 25.01.13 10:00 ---- 0.01 ---- 0.28 1.65 0.05 0.03
 -------- 11:00 ---- 0.00 ---- 0.18 1.64 0.05 0.02
 -------- 12:00 ---- 0.00 ---- 0.19 1.65 0.06 0.03
 -------- 13:00 ---- 0.00 ---- 0.29 1.62 0.09 0.02
 -------- 14:00 ---- 0.01 ---- 0.33 1.63 0.10 0.02
 25.01.13 15:00 ---- 0.01 0.12 0.38 1.71 0.11 0.03
 -------- 16:00 0.02 0.02 0.12 0.41 1.70 0.11 0.04
 -------- 17:00 0.02 0.01 0.12 0.46 1.70 0.10 0.04
 -------- 18:00 0.02 0.01 0.12 0.51 1.72 0.11 0.03
 -------- 19:00 0.02 0.01 0.12 0.49 1.69 0.08 0.03
 25.01.13 20:00 0.02 0.01 0.12 0.43 1.68 0.05 0.03
 -------- 21:00 ---- 0.00 ---- 0.40 1.68 0.05 0.03
 -------- 22:00 0.02 0.00 ---- 0.45 1.70 0.06 0.03
 -------- 23:00 ---- 0.00 ---- 0.45 1.67 0.06 0.03
 -------- 00:00 ---- 0.00 ---- 0.45 1.68 0.07 0.03
 26.01.13 01:00 ---- 0.00 0.12 0.46 1.72 0.10 0.03
 -------- 02:00 ---- 0.00 ---- 0.46 1.73 0.10 0.03
 -------- 03:00 ---- 0.00 ---- 0.46 1.73 0.09 0.03
 -------- 04:00 ---- ---- ---- 0.45 1.72 0.08 0.03
 -------- 05:00 ---- ---- ---- 0.42 1.68 0.06 0.03
 26.01.13 06:00 ---- ---- ---- 0.43 1.72 0.08 0.03
 -------- 07:00 0.02 ---- ---- 0.42 1.73 0.06 0.03
 -------- 08:00 0.02 ---- ---- 0.45 1.74 0.10 0.03
 -------- 09:00 0.02 ---- ---- 0.46 1.86 0.17 0.03
 -------- 10:00 0.04 0.00 ---- 0.48 1.91 0.26 0.05
 26.01.13 11:00 0.04 0.01 ---- 0.50 1.99 0.33 0.05
 -------- 12:00 0.06 0.01 0.12 0.52 2.01 0.31 0.06
 -------- 13:00 0.06 0.02 0.21 0.50 1.96 0.28 0.06
 -------- 14:00 0.05 0.02 0.33 0.46 1.85 0.18 0.04
 -------- 15:00 0.05 0.02 0.50 0.51 1.91 0.23 0.05
 26.01.13 16:00 0.06 0.02 0.58 0.52 1.89 0.20 0.05
 -------- 17:00 0.06 0.02 0.54 0.53 1.86 0.18 0.05
 -------- 18:00 0.06 0.02 0.54 0.55 1.89 0.24 0.04
 -------- 19:00 0.08 0.02 0.50 0.54 1.88 0.22 0.04
 -------- 20:00 0.08 0.01 0.38 0.54 1.82 0.17 0.03
 26.01.13 21:00 0.07 0.01 0.29 0.52 1.76 0.11 0.03
 -------- 22:00 0.06 0.01 0.33 0.53 1.81 0.16 0.03
 -------- 23:00 0.07 0.01 0.29 0.49 1.80 0.11 0.03
