 Date Time CO SO2 H2S CHX PM10
 18.12.12 12:00 0.03 0.01 0.12 1.95 0.14
 -------- 13:00 0.02 0.01 0.12 1.89 0.09
 -------- 14:00 0.05 0.01 0.21 1.87 0.09
 -------- 15:00 0.02 0.02 0.38 1.74 0.06
 -------- 16:00 0.02 0.02 0.38 1.78 0.05
 18.12.12 17:00 0.02 0.01 0.33 1.70 0.03
 -------- 18:00 0.02 0.01 0.12 1.68 0.03
 -------- 19:00 0.02 0.00 0.12 1.72 0.02
 -------- 20:00 0.02 0.00 0.12 1.74 0.02
 -------- 21:00 0.02 0.00 0.12 1.90 0.03
 18.12.12 22:00 0.02 0.01 0.12 1.96 0.03
 -------- 23:00 0.02 0.01 0.12 1.87 0.02
 -------- 00:00 0.02 0.00 0.12 1.83 0.02
 -------- 01:00 0.02 0.00 0.12 1.80 0.02
 -------- 02:00 ---- 0.01 0.12 1.67 0.02
 19.12.12 03:00 ---- 0.01 0.12 1.82 0.03
 -------- 04:00 ---- 0.00 ---- 1.75 0.03
 -------- 05:00 ---- 0.00 0.12 1.84 0.02
 -------- 06:00 ---- 0.00 0.12 1.88 0.02
 -------- 07:00 0.04 0.00 0.12 1.78 0.02
 19.12.12 08:00 ---- 0.00 0.12 1.88 0.03
 -------- 09:00 0.13 0.01 0.12 2.17 0.12
 -------- 10:00 0.05 0.00 0.12 1.88 0.03
 -------- 11:00 ---- 0.01 0.12 1.95 0.05
 -------- 12:00 0.02 0.01 0.17 1.80 0.05
 19.12.12 13:00 ---- 0.02 0.21 1.74 0.02
 -------- 14:00 ---- 0.02 0.12 1.77 0.05
 -------- 15:00 ---- 0.02 0.12 1.77 0.05
 -------- 16:00 ---- 0.02 0.12 1.77 0.06
 -------- 17:00 0.02 0.02 0.12 1.77 0.11
 19.12.12 18:00 0.02 0.01 0.12 1.90 0.05
 -------- 19:00 0.02 0.01 0.12 1.84 0.04
 -------- 20:00 ---- 0.01 0.12 1.85 0.05
 -------- 21:00 ---- 0.01 0.12 1.90 0.04
 -------- 22:00 ---- 0.00 0.17 1.86 0.03
 19.12.12 23:00 ---- 0.00 0.25 1.81 0.04
 -------- 00:00 ---- 0.00 0.12 1.86 0.03
 -------- 01:00 ---- 0.01 0.12 2.12 0.04
 -------- 02:00 ---- 0.01 0.12 2.05 0.03
 -------- 03:00 ---- 0.01 0.12 2.03 0.03
 20.12.12 04:00 ---- 0.01 0.12 2.05 0.03
 -------- 05:00 0.04 0.01 0.12 2.17 0.13
 -------- 06:00 0.05 0.01 0.12 2.10 0.02
 -------- 07:00 0.02 0.01 0.12 2.22 0.03
