 Date Time CO H2S NO2 CHX NO PM10
 01.10.12 00:00 0.06 0.31 0.08 1.50 ---- 0.01
 -------- 01:00 0.05 0.33 0.08 1.51 ---- 0.01
 -------- 02:00 0.04 0.25 0.05 1.50 ---- 0.01
 -------- 03:00 0.04 0.21 0.05 1.49 ---- 0.02
 -------- 04:00 0.04 0.17 0.05 1.49 ---- 0.02
 01.10.12 05:00 0.04 0.17 0.04 1.49 ---- 0.01
 -------- 06:00 0.04 0.12 0.06 1.49 ---- 0.02
 -------- 07:00 0.06 0.12 0.07 1.49 ---- 0.02
 -------- 08:00 0.08 ---- 0.09 1.50 0.00 0.02
 -------- 09:00 0.08 ---- 0.10 1.50 0.00 0.03
 01.10.12 10:00 0.07 0.12 0.09 1.50 0.01 0.02
 -------- 11:00 0.06 0.12 0.08 1.50 0.01 0.03
 -------- 12:00 0.06 ---- 0.07 1.49 0.01 0.03
 -------- 13:00 0.06 ---- 0.08 1.50 0.01 0.05
 -------- 14:00 0.06 0.12 0.07 1.50 0.00 0.03
 01.10.12 15:00 0.06 0.12 0.08 1.50 0.00 0.03
 -------- 16:00 0.07 ---- 0.08 1.50 0.00 0.03
 -------- 17:00 0.07 ---- 0.09 1.50 0.00 0.06
 -------- 18:00 0.07 0.25 0.10 1.50 0.00 0.03
 -------- 19:00 0.07 0.29 0.13 1.52 0.00 0.03
 01.10.12 20:00 0.07 0.21 0.14 1.52 0.00 0.02
 -------- 21:00 0.09 0.25 0.20 1.55 0.00 0.04
 -------- 22:00 0.13 0.33 0.26 1.60 0.02 0.04
 -------- 23:00 0.12 0.38 0.27 1.63 0.04 0.05
 -------- 00:00 0.12 0.17 0.25 1.64 0.07 0.05
 02.10.12 01:00 0.14 0.17 0.21 1.67 0.10 0.05
 -------- 02:00 0.12 0.29 0.23 1.67 0.07 0.05
 -------- 03:00 0.13 0.33 0.19 1.68 0.10 0.05
 -------- 04:00 0.12 ---- 0.14 1.86 0.11 0.06
 -------- 05:00 0.13 ---- 0.12 2.30 0.14 0.05
 02.10.12 06:00 0.17 0.21 0.11 2.95 0.21 0.06
 -------- 07:00 0.25 0.25 0.10 3.10 0.27 0.07
 -------- 08:00 0.15 0.21 0.09 2.40 0.24 0.07
 -------- 09:00 0.15 0.42 0.14 2.54 0.28 0.09
 -------- 10:00 0.26 0.46 0.27 2.24 0.38 0.11
 02.10.12 11:00 0.26 0.42 0.30 2.09 0.33 0.11
 -------- 12:00 0.12 0.21 0.26 1.82 0.14 0.08
 -------- 13:00 0.02 0.12 0.15 1.58 0.03 0.04
 -------- 14:00 ---- ---- 0.14 1.56 0.02 0.03
 -------- 15:00 ---- ---- 0.14 1.59 0.01 0.04
 02.10.12 16:00 ---- ---- 0.14 1.56 0.02 0.04
 -------- 17:00 ---- 0.12 0.17 1.63 0.01 0.05
 -------- 18:00 0.02 0.29 0.21 1.70 0.01 0.07
 -------- 19:00 0.09 0.46 0.28 1.73 0.04 0.10
 -------- 20:00 0.19 0.12 0.25 1.80 0.09 0.11
 02.10.12 21:00 0.19 0.17 0.21 1.79 0.07 0.10
 -------- 22:00 0.18 1.21 0.22 1.95 0.10 0.11
 -------- 23:00 0.17 2.96 0.22 2.24 0.09 0.13
