 Date Time CO SO2 H2S NO2 CHX NO PM10
 26.02.13 12:00 0.04 0.01 ---- 0.52 1.57 0.15 0.10
 -------- 13:00 0.03 0.01 0.12 0.40 1.49 0.09 0.08
 -------- 14:00 0.03 0.01 0.12 0.41 1.48 0.09 0.08
 -------- 15:00 0.02 0.01 0.12 0.41 1.48 0.08 0.06
 -------- 16:00 0.02 0.00 ---- 0.35 1.46 0.06 0.05
 26.02.13 17:00 0.02 0.01 ---- 0.44 1.48 0.06 0.06
 -------- 18:00 0.02 0.01 ---- 0.44 1.46 0.05 0.05
 -------- 19:00 0.04 0.01 0.12 0.55 1.48 0.05 0.07
 -------- 20:00 0.05 0.01 0.12 0.49 1.44 0.04 0.05
 -------- 21:00 0.05 0.01 0.12 0.55 1.47 0.04 0.06
 26.02.13 22:00 0.04 0.01 0.12 0.41 1.45 0.03 0.06
 -------- 23:00 0.04 0.01 0.12 0.37 1.44 0.03 0.05
 -------- 00:00 0.04 0.01 0.12 0.33 1.41 0.03 0.04
 -------- 01:00 0.04 0.01 0.12 0.26 1.42 0.03 0.03
 -------- 02:00 0.04 0.01 0.12 0.23 1.41 0.03 0.04
 27.02.13 03:00 0.03 0.01 0.12 0.22 1.40 0.03 0.04
 -------- 04:00 0.04 0.01 0.12 0.21 1.39 0.03 0.03
 -------- 05:00 0.04 0.01 0.12 0.20 1.40 0.03 0.03
 -------- 06:00 0.04 0.01 0.12 0.25 1.42 0.03 0.04
 -------- 07:00 0.03 0.01 0.12 0.27 1.43 0.03 0.05
 27.02.13 08:00 0.02 0.01 0.12 0.30 1.39 0.04 0.04
 -------- 09:00 0.02 0.01 0.12 0.30 1.38 0.04 0.04
 -------- 10:00 0.02 0.01 0.12 0.32 1.26 0.04 0.04
 -------- 11:00 0.02 0.01 0.12 0.31 1.21 0.05 0.04
 -------- 12:00 0.02 0.01 0.12 0.23 1.14 0.04 0.03
 27.02.13 13:00 ---- 0.01 0.12 0.23 1.17 0.04 0.03
 -------- 14:00 ---- 0.01 0.12 0.24 1.12 0.04 0.02
 -------- 15:00 0.02 0.01 0.12 0.26 1.14 0.04 0.02
 -------- 16:00 ---- 0.01 0.12 0.12 1.10 0.04 0.01
 -------- 17:00 ---- 0.01 0.12 0.14 1.10 0.03 0.20
 27.02.13 18:00 ---- 0.01 0.17 0.13 1.10 0.03 0.08
 -------- 19:00 0.02 0.01 0.12 0.15 1.12 0.03 0.07
 -------- 20:00 0.02 0.01 0.12 0.15 1.35 0.03 0.06
 -------- 21:00 0.02 0.01 0.12 0.26 1.42 0.03 0.06
 -------- 22:00 0.03 0.02 0.21 0.40 1.58 0.07 0.08
 27.02.13 23:00 0.04 0.01 0.17 0.46 1.74 0.10 0.09
 -------- 00:00 0.04 0.02 0.42 0.53 1.85 0.10 0.09
 -------- 01:00 0.03 0.01 0.25 0.45 1.50 0.05 0.06
 -------- 02:00 0.04 0.02 0.25 0.50 1.55 0.05 0.08
 -------- 03:00 0.04 0.02 0.25 0.49 1.61 0.06 0.07
 28.02.13 04:00 0.03 0.01 0.25 0.33 1.44 0.04 0.04
 -------- 05:00 0.02 0.01 0.21 0.24 1.26 0.03 0.03
 -------- 06:00 0.03 0.01 0.25 0.32 1.15 0.03 0.03
 -------- 07:00 0.03 0.01 0.25 0.34 1.16 0.04 0.03
 -------- 08:00 0.04 0.01 0.21 0.29 1.14 0.04 0.03
 28.02.13 09:00 0.04 0.01 0.25 0.28 1.12 0.04 0.03
 -------- 10:00 0.04 0.01 0.25 0.27 1.11 0.04 0.03
 -------- 11:00 0.04 0.01 0.25 0.23 1.09 0.04 0.03
