 Date Time CO SO2 H2S NO2 CHX NO PM10
 04.02.13 00:00 0.06 0.01 ---- 0.29 1.58 0.03 0.02
 -------- 01:00 0.06 0.01 0.12 0.26 1.59 0.03 0.02
 -------- 02:00 0.06 0.01 0.12 0.25 1.59 0.03 0.04
 -------- 03:00 0.06 0.01 0.12 0.26 1.60 0.03 0.04
 -------- 04:00 0.06 0.01 0.12 0.25 1.61 0.03 0.04
 04.02.13 05:00 0.06 0.01 0.12 0.34 1.73 0.03 0.03
 -------- 06:00 0.06 0.01 0.12 0.36 1.81 0.04 0.04
 -------- 07:00 0.03 0.01 0.12 0.40 1.77 0.06 0.03
 -------- 08:00 0.03 0.01 0.46 0.39 1.86 0.09 0.03
 -------- 09:00 0.03 0.01 0.17 0.39 1.74 0.07 0.03
 04.02.13 10:00 0.02 0.01 0.17 0.39 3.18 0.14 0.03
 -------- 11:00 0.02 0.01 0.29 0.36 5.23 0.10 0.03
 -------- 12:00 0.02 0.01 0.12 0.31 1.87 0.08 0.02
 -------- 13:00 0.02 0.01 0.12 0.34 1.89 0.12 0.02
 -------- 14:00 0.02 0.01 0.12 0.30 1.80 0.08 0.01
 04.02.13 15:00 0.02 0.01 0.12 0.26 1.73 0.05 0.01
 -------- 16:00 ---- 0.01 0.12 0.18 1.59 0.04 0.01
 -------- 17:00 ---- 0.00 ---- 0.20 1.59 0.04 0.02
 -------- 18:00 ---- 0.00 ---- 0.26 1.61 0.04 0.02
 -------- 19:00 ---- ---- ---- 0.24 1.56 0.04 0.02
 04.02.13 20:00 ---- ---- ---- 0.18 1.56 0.03 0.02
 -------- 21:00 ---- ---- ---- 0.21 1.58 0.03 0.02
 -------- 22:00 ---- ---- ---- 0.24 1.54 0.03 0.02
 -------- 23:00 ---- 0.00 ---- 0.26 1.55 0.03 0.03
 -------- 00:00 ---- 0.00 ---- 0.28 1.56 0.03 0.03
 05.02.13 01:00 ---- 0.01 ---- 0.20 1.53 0.03 0.02
 -------- 02:00 ---- 0.01 ---- 0.17 1.51 0.03 0.02
 -------- 03:00 ---- 0.01 0.12 0.16 1.51 0.03 0.02
 -------- 04:00 ---- 0.01 0.12 0.14 1.50 0.03 0.02
 -------- 05:00 ---- 0.01 0.12 0.19 1.51 0.03 0.02
 05.02.13 06:00 0.02 0.01 0.12 0.21 1.51 0.03 0.02
 -------- 07:00 0.02 0.01 0.12 0.19 1.52 0.04 0.02
 -------- 08:00 0.02 0.01 0.12 0.27 1.55 0.04 0.02
 -------- 09:00 0.02 0.01 0.12 0.36 1.60 0.06 0.02
 -------- 10:00 0.03 0.01 0.12 0.42 1.63 0.08 0.02
 05.02.13 11:00 0.09 0.01 0.12 0.41 1.68 0.10 0.03
 -------- 12:00 0.06 0.01 0.12 0.39 1.67 0.10 0.03
 -------- 13:00 0.02 0.01 0.12 0.37 1.62 0.10 0.03
 -------- 14:00 0.02 0.03 0.21 0.38 1.67 0.13 0.04
 -------- 15:00 0.02 0.04 0.25 0.33 1.65 0.10 0.05
 05.02.13 16:00 0.02 0.02 0.25 0.31 1.61 0.06 0.04
 -------- 17:00 0.02 0.01 0.29 0.34 1.61 0.06 0.03
 -------- 18:00 0.02 0.01 0.38 0.33 1.62 0.04 0.03
