 Date Time CO H2S NO2 CHX NO PM10
 24.11.12 12:00 ---- 0.12 0.20 1.76 0.09 0.13
 -------- 13:00 ---- 0.25 0.20 1.80 0.10 0.15
 -------- 14:00 ---- 0.17 0.21 1.83 0.12 0.15
 -------- 15:00 ---- 0.33 0.21 1.82 0.11 0.18
 -------- 16:00 ---- 0.25 0.21 1.84 0.11 0.16
 24.11.12 17:00 ---- 0.33 0.21 1.85 0.11 0.17
 -------- 18:00 ---- 0.12 0.21 1.85 0.11 0.17
 -------- 19:00 0.02 0.12 0.22 1.78 0.13 0.14
 -------- 20:00 0.03 0.54 0.22 1.79 0.21 0.12
 -------- 21:00 0.02 0.75 0.21 1.81 0.10 0.11
 24.11.12 22:00 0.02 0.21 0.20 1.70 0.02 0.08
 -------- 23:00 ---- 0.58 0.19 1.78 0.01 0.09
 -------- 00:00 ---- 0.38 0.14 1.65 0.00 0.06
 -------- 01:00 ---- 0.46 0.13 1.63 0.00 0.03
 -------- 02:00 ---- 0.29 0.13 1.65 0.00 0.05
 25.11.12 03:00 ---- 0.33 0.13 1.68 ---- 0.05
 -------- 04:00 ---- 0.21 0.12 1.69 ---- 0.03
 -------- 05:00 ---- 0.29 0.13 1.65 ---- 0.05
 -------- 06:00 ---- 0.42 0.13 1.64 0.00 0.05
 -------- 07:00 0.02 0.67 0.11 1.65 ---- 0.04
 25.11.12 08:00 0.02 0.29 0.09 1.62 ---- 0.02
 -------- 09:00 0.02 0.21 0.11 1.62 0.00 0.04
 -------- 10:00 0.02 0.25 0.13 1.66 0.01 0.04
 -------- 11:00 0.02 0.17 0.13 1.67 0.01 0.03
 -------- 12:00 0.02 0.29 0.12 1.71 0.01 0.03
 25.11.12 13:00 0.02 0.33 0.12 1.70 0.01 0.05
 -------- 14:00 0.02 0.17 0.12 1.67 0.01 0.15
 -------- 15:00 0.02 0.42 0.10 1.68 0.01 0.04
 -------- 16:00 0.02 0.83 0.12 1.76 0.00 0.05
 -------- 17:00 0.02 1.00 0.14 1.70 0.00 0.19
 25.11.12 18:00 0.02 0.67 0.14 1.71 0.00 0.07
 -------- 19:00 0.02 0.21 0.11 1.66 0.00 0.06
 -------- 20:00 ---- 0.31 0.09 1.65 ---- 0.09
 -------- 21:00 ---- 0.42 0.08 1.71 0.00 0.07
 -------- 22:00 0.02 0.25 0.10 1.66 0.00 0.17
 25.11.12 23:00 0.02 0.38 0.13 1.64 ---- 0.07
 -------- 00:00 0.02 0.54 0.13 1.68 0.00 0.07
 -------- 01:00 ---- 0.12 0.11 1.61 0.00 0.09
 -------- 02:00 ---- 0.12 0.09 1.62 ---- 0.05
 -------- 03:00 ---- 0.12 0.10 1.65 ---- 0.06
 26.11.12 04:00 0.02 0.29 0.11 1.65 ---- 0.06
 -------- 05:00 0.02 0.33 0.13 1.65 0.00 0.07
 -------- 06:00 0.02 0.21 0.15 1.69 0.01 0.08
 -------- 07:00 0.02 0.21 0.16 1.71 0.02 0.07
 -------- 08:00 0.02 0.12 0.17 1.74 0.05 0.06
 26.11.12 09:00 0.02 0.12 0.17 1.77 0.06 0.06
 -------- 10:00 0.04 0.25 0.16 1.80 0.08 0.06
 -------- 11:00 0.04 0.25 0.17 1.83 0.12 0.07
