 Date Time CO H2S NO2 CHX NO PM10
 11.11.12 12:00 0.12 0.29 0.22 1.79 0.10 0.10
 -------- 13:00 0.09 0.38 0.19 1.68 0.05 0.06
 -------- 14:00 0.09 0.25 0.15 1.64 0.02 0.08
 -------- 15:00 0.07 0.25 0.15 1.60 0.02 0.07
 -------- 16:00 0.08 0.12 0.16 1.62 0.01 0.06
 11.11.12 17:00 0.07 0.12 0.18 1.63 0.01 0.05
 -------- 18:00 0.07 0.25 0.19 1.65 0.01 0.05
 -------- 19:00 0.09 0.46 0.19 1.68 0.01 0.07
 -------- 20:00 0.09 0.17 0.17 1.65 0.01 0.06
 -------- 21:00 0.09 0.21 0.19 1.69 0.01 0.04
 11.11.12 22:00 0.10 0.12 0.20 1.67 0.02 0.06
 -------- 23:00 0.09 0.12 0.16 1.61 0.01 0.04
 -------- 00:00 0.07 0.19 0.14 1.62 0.00 0.04
 -------- 01:00 0.06 0.12 0.12 1.59 0.00 0.04
 -------- 02:00 0.06 0.12 0.12 1.61 0.00 0.03
 12.11.12 03:00 0.06 ---- 0.10 1.61 ---- 0.04
 -------- 04:00 0.06 ---- 0.11 1.64 ---- 0.04
 -------- 05:00 0.06 ---- 0.13 1.62 0.00 0.04
 -------- 06:00 0.07 ---- 0.15 1.65 0.01 0.04
 -------- 07:00 0.09 ---- 0.18 1.64 0.02 0.07
 12.11.12 08:00 0.11 0.12 0.17 1.62 0.02 0.06
 -------- 09:00 0.10 0.12 0.15 1.62 0.01 0.07
 -------- 10:00 0.10 0.12 0.15 1.61 0.01 0.06
 -------- 11:00 0.09 ---- 0.17 1.62 0.02 0.07
 -------- 12:00 0.10 0.25 0.17 1.62 0.03 0.07
 12.11.12 13:00 0.10 0.38 0.19 1.66 0.06 0.09
 -------- 14:00 0.10 0.17 0.17 1.67 0.03 0.07
 -------- 15:00 0.10 0.21 0.17 1.71 0.03 0.06
 -------- 16:00 0.10 0.12 0.17 1.63 0.03 0.06
 -------- 17:00 0.10 0.17 0.17 1.62 0.02 0.07
 12.11.12 18:00 0.11 0.12 0.18 1.65 0.03 0.06
 -------- 19:00 0.09 0.12 0.17 1.63 0.03 0.07
 -------- 20:00 0.07 0.21 0.18 1.63 0.04 0.06
 -------- 21:00 0.07 0.29 0.18 1.63 0.03 0.06
 -------- 22:00 0.07 0.12 0.17 1.65 0.03 0.08
 12.11.12 23:00 0.06 0.12 0.17 1.63 0.02 0.07
 -------- 00:00 0.06 0.17 0.17 1.62 0.02 0.07
 -------- 01:00 0.05 0.17 0.18 1.61 0.01 0.06
 -------- 02:00 0.05 0.12 0.19 1.66 0.01 0.05
 -------- 03:00 0.03 0.25 0.17 1.63 0.00 0.05
 13.11.12 04:00 0.02 0.12 0.15 1.60 ---- 0.04
 -------- 05:00 0.02 ---- 0.15 1.58 0.00 0.04
 -------- 06:00 0.05 0.17 0.19 1.61 0.01 0.04
 -------- 07:00 0.06 0.25 0.20 1.61 0.01 0.03
 -------- 08:00 0.09 ---- 0.22 1.63 0.03 0.03
 13.11.12 09:00 0.07 ---- 0.21 1.60 0.02 0.03
 -------- 10:00 0.08 ---- 0.23 1.62 0.03 0.03
 -------- 11:00 0.07 0.12 0.19 1.60 0.02 0.03
