 Date Time CO SO2 H2S NO2 CHX NO PM10
 15.03.13 00:00 0.34 0.01 0.19 0.30 1.58 0.03 0.05
 -------- 01:00 0.33 0.00 0.83 0.34 1.66 0.03 0.06
 -------- 02:00 0.32 0.00 1.12 0.32 1.70 0.03 0.07
 -------- 03:00 0.32 0.00 1.21 0.34 1.79 0.04 0.06
 -------- 04:00 0.32 0.01 1.12 0.30 1.90 0.03 0.06
 15.03.13 05:00 0.33 0.00 0.58 0.36 1.70 0.04 0.06
 -------- 06:00 0.37 0.00 0.12 0.34 1.65 0.03 0.06
 -------- 07:00 0.18 0.00 0.17 0.26 1.94 0.03 0.07
 -------- 08:00 0.11 0.00 0.12 0.27 1.91 0.04 0.06
 -------- 09:00 0.11 0.00 0.12 0.27 2.61 0.04 0.07
 15.03.13 10:00 0.11 0.01 0.25 0.32 2.31 0.06 0.09
 -------- 11:00 0.11 0.01 0.21 0.31 3.39 0.07 0.08
 -------- 12:00 0.12 0.01 0.12 0.33 1.99 0.09 0.06
 -------- 13:00 0.12 0.01 0.12 0.30 1.80 0.07 0.06
 -------- 14:00 0.11 0.01 0.12 0.24 2.00 0.06 0.05
 15.03.13 15:00 0.11 0.01 0.12 0.22 2.07 0.05 0.04
 -------- 16:00 0.10 0.01 0.12 0.21 1.82 0.05 0.03
 -------- 17:00 0.10 0.01 0.12 0.20 1.87 0.05 0.02
 -------- 18:00 0.11 0.00 0.12 0.23 2.46 0.04 0.01
 -------- 19:00 0.08 0.00 0.12 0.22 1.96 0.04 0.02
 15.03.13 20:00 0.07 0.00 0.12 0.21 2.12 0.03 0.02
 -------- 21:00 0.06 0.00 0.12 0.20 1.90 0.03 0.02
 -------- 22:00 0.06 0.00 0.25 0.17 1.60 0.03 0.01
 -------- 23:00 0.04 0.00 0.33 0.20 1.64 0.03 0.03
 -------- 00:00 0.04 0.00 0.25 0.23 1.66 0.03 0.03
 16.03.13 01:00 0.04 0.01 0.21 0.26 1.59 0.03 0.03
 -------- 02:00 0.04 0.01 0.29 0.31 1.72 0.03 0.04
 -------- 03:00 0.06 0.01 0.17 0.41 1.56 0.06 0.04
 -------- 04:00 0.04 0.00 0.12 0.26 1.54 0.03 0.04
 -------- 05:00 0.04 0.00 0.12 0.23 1.57 0.03 0.04
 16.03.13 06:00 0.04 0.01 0.12 0.25 1.59 0.03 0.05
 -------- 07:00 0.07 0.01 0.17 0.27 1.52 0.03 0.06
 -------- 08:00 0.09 0.01 0.12 0.31 1.55 0.04 0.08
 -------- 09:00 0.09 0.01 0.54 0.31 1.83 0.05 0.09
 -------- 10:00 0.08 0.01 0.42 0.27 1.71 0.06 0.06
 16.03.13 11:00 0.10 0.01 0.38 0.28 1.62 0.07 0.06
 -------- 12:00 0.08 0.01 0.62 0.23 1.74 0.07 0.11
 -------- 13:00 0.08 0.01 0.62 0.23 1.73 0.06 0.09
 -------- 14:00 0.09 0.02 0.17 0.24 1.54 0.05 0.05
 -------- 15:00 0.11 0.05 0.12 0.30 1.57 0.06 0.06
 16.03.13 16:00 0.11 0.02 0.12 0.22 1.55 0.04 0.05
 -------- 17:00 0.15 0.02 0.25 0.29 1.59 0.05 0.05
 -------- 18:00 0.12 0.01 0.17 0.26 1.56 0.04 0.04
 -------- 19:00 0.10 0.01 0.12 0.32 1.56 0.04 0.05
 -------- 20:00 0.08 0.01 0.12 0.27 1.55 0.04 0.04
 16.03.13 21:00 0.08 0.01 0.17 0.28 1.56 0.04 0.04
 -------- 22:00 0.06 0.01 0.12 0.26 1.55 0.04 0.04
 -------- 23:00 0.06 0.01 0.12 0.27 1.54 0.04 0.04
