 Date Time CO SO2 H2S NO2 CHX NO PM10
 15.02.13 12:00 0.02 0.01 0.12 0.35 1.69 0.12 0.26
 -------- 13:00 0.02 0.02 0.21 0.31 1.89 0.11 0.17
 -------- 14:00 0.02 0.03 0.33 0.32 1.38 0.10 0.13
 -------- 15:00 0.02 0.03 0.38 0.29 1.29 0.07 0.12
 -------- 16:00 0.02 0.04 0.42 0.28 1.32 0.06 0.13
 15.02.13 17:00 0.02 0.03 0.46 0.35 1.57 0.08 0.11
 -------- 18:00 0.02 0.02 0.46 0.42 1.55 0.07 0.11
 -------- 19:00 0.05 0.02 0.54 0.51 3.95 0.08 0.11
 -------- 20:00 0.05 0.01 0.54 0.43 2.35 0.03 0.09
 -------- 21:00 0.04 0.01 0.46 0.38 1.78 0.03 0.08
 15.02.13 22:00 0.04 0.01 0.38 0.37 2.80 0.04 0.10
 -------- 23:00 0.04 0.01 0.33 0.38 3.14 0.04 0.09
 -------- 00:00 0.04 0.00 0.25 0.40 6.95 0.04 0.09
 -------- 01:00 0.04 0.00 0.21 0.51 3.34 0.11 0.09
 -------- 02:00 0.05 0.00 0.12 0.51 2.39 0.13 0.10
 16.02.13 03:00 0.05 ---- 0.12 0.50 2.22 0.14 0.09
 -------- 04:00 0.05 ---- ---- 0.50 2.08 0.15 0.11
 -------- 05:00 0.06 ---- ---- 0.50 2.10 0.15 0.09
 -------- 06:00 0.06 ---- ---- 0.53 1.79 0.19 0.09
 -------- 07:00 0.07 ---- ---- 0.53 1.92 0.20 0.10
 16.02.13 08:00 0.09 ---- ---- 0.55 2.02 0.22 0.10
 -------- 09:00 0.07 ---- ---- 0.53 2.49 0.23 0.11
 -------- 10:00 0.07 ---- ---- 0.54 7.30 0.26 0.13
 -------- 11:00 0.08 0.00 ---- 0.55 3.30 0.24 0.15
 -------- 12:00 0.07 0.01 ---- 0.48 2.89 0.19 0.14
 16.02.13 13:00 0.07 0.02 ---- 0.39 1.67 0.10 0.09
 -------- 14:00 0.07 0.03 ---- 0.40 1.27 0.10 0.10
 -------- 15:00 0.04 0.02 ---- 0.36 1.22 0.07 0.08
 -------- 16:00 0.04 0.01 ---- 0.40 1.24 0.07 0.08
 -------- 17:00 0.04 0.01 ---- 0.33 1.17 0.05 0.06
 16.02.13 18:00 0.04 0.01 0.12 0.25 1.12 0.04 0.04
 -------- 19:00 0.03 0.01 ---- 0.24 1.14 0.04 0.05
 -------- 20:00 0.02 0.01 ---- 0.26 1.16 0.03 0.06
 -------- 21:00 0.02 0.01 ---- 0.23 1.13 0.03 0.06
 -------- 22:00 0.02 0.00 ---- 0.24 1.15 0.03 0.06
 16.02.13 23:00 0.02 0.00 ---- 0.18 1.13 0.03 0.06
 -------- 00:00 0.02 0.00 ---- 0.21 1.14 0.03 0.06
 -------- 01:00 0.02 0.00 ---- 0.21 1.15 0.03 0.06
 -------- 02:00 0.02 0.00 ---- 0.24 1.15 0.03 0.07
 -------- 03:00 0.02 0.00 ---- 0.31 1.18 0.03 0.07
 17.02.13 04:00 0.02 0.00 ---- 0.29 1.19 0.03 0.06
 -------- 05:00 0.02 0.01 0.12 0.23 1.18 0.03 0.06
 -------- 06:00 0.02 0.00 ---- 0.20 1.16 0.03 0.06
 -------- 07:00 0.02 0.00 ---- 0.18 1.16 0.03 0.06
 -------- 08:00 ---- 0.00 ---- 0.20 1.17 0.03 0.06
 17.02.13 09:00 ---- 0.01 ---- 0.25 1.19 0.03 0.06
 -------- 10:00 ---- 0.02 ---- 0.27 1.19 0.05 0.06
 -------- 11:00 ---- 0.02 ---- 0.21 1.17 0.05 0.06
