 Date Time CO H2S NO2 CHX NO PM10
 27.10.12 12:00 0.07 0.31 0.11 1.56 0.02 0.04
 -------- 13:00 0.08 0.29 0.11 1.57 0.02 0.04
 -------- 14:00 0.06 0.25 0.09 1.55 0.01 0.05
 -------- 15:00 0.06 0.33 0.09 1.55 0.01 0.06
 -------- 16:00 0.06 ---- 0.11 1.55 0.01 0.04
 27.10.12 17:00 0.07 ---- 0.18 1.58 0.01 0.05
 -------- 18:00 0.06 ---- 0.18 1.56 0.01 0.05
 -------- 19:00 0.10 0.17 0.25 1.62 0.02 0.07
 -------- 20:00 0.12 0.12 0.28 1.63 0.03 0.08
 -------- 21:00 0.11 0.12 0.27 1.61 0.02 0.07
 27.10.12 22:00 0.07 0.21 0.22 1.58 0.01 0.04
 -------- 23:00 0.07 0.25 0.21 1.57 0.01 0.04
 -------- 00:00 0.05 0.12 0.12 1.56 0.00 0.02
 -------- 01:00 0.04 0.12 0.10 1.55 ---- 0.02
 -------- 02:00 0.04 0.19 0.07 1.57 ---- 0.04
 28.10.12 03:00 0.04 0.25 0.06 1.64 ---- 0.02
 -------- 04:00 0.04 0.25 0.05 1.63 ---- 0.01
 -------- 05:00 0.03 0.21 0.06 1.54 ---- 0.02
 -------- 06:00 0.03 0.38 0.06 1.65 ---- 0.01
 -------- 07:00 0.03 0.25 0.06 1.56 ---- 0.04
 28.10.12 08:00 0.04 0.21 0.11 1.57 0.01 0.04
 -------- 09:00 0.05 0.12 0.13 1.58 0.01 0.02
 -------- 10:00 0.05 0.12 0.15 1.56 0.01 0.03
 -------- 11:00 0.10 0.21 0.15 1.58 0.01 0.03
 -------- 12:00 0.09 0.25 0.17 1.61 0.01 0.04
 28.10.12 13:00 0.10 0.12 0.16 1.62 0.01 0.04
 -------- 14:00 0.09 0.21 0.15 1.77 0.01 0.04
 -------- 15:00 0.06 0.58 0.17 2.00 0.01 0.04
 -------- 16:00 0.06 0.58 0.18 2.00 0.01 0.05
 -------- 17:00 0.07 0.33 0.18 1.78 0.01 0.05
 28.10.12 18:00 0.08 0.38 0.19 1.92 0.01 0.05
 -------- 19:00 0.08 0.75 0.20 2.04 0.01 0.07
 -------- 20:00 0.09 1.58 0.19 2.21 0.01 0.06
 -------- 21:00 0.13 0.79 0.20 2.20 0.09 0.05
 -------- 22:00 0.17 0.50 0.19 2.05 0.14 0.06
 28.10.12 23:00 0.21 0.38 0.19 2.04 0.16 0.06
 -------- 00:00 0.18 0.12 0.24 1.92 0.15 0.04
 -------- 01:00 0.07 ---- 0.16 1.65 0.01 0.01
 -------- 02:00 0.04 0.12 0.09 1.56 0.00 0.02
 -------- 03:00 0.04 0.25 0.07 1.54 ---- 0.02
 29.10.12 04:00 0.04 3.17 0.07 1.54 ---- 0.02
 -------- 05:00 0.04 0.50 0.09 1.54 0.00 0.01
 -------- 06:00 0.04 0.17 0.09 1.55 0.00 0.01
 -------- 07:00 0.05 0.21 0.10 1.59 0.01 0.01
 -------- 08:00 0.04 0.38 0.10 1.59 0.00 0.02
 29.10.12 09:00 0.03 0.21 0.10 1.59 0.00 0.01
 -------- 10:00 0.03 0.21 0.10 1.57 0.00 0.01
