 Date Time CO SO2 H2S NO2 CHX NO PM10
 14.01.13 12:00 0.08 0.02 0.25 0.32 1.76 0.23 0.05
 -------- 13:00 0.05 0.01 0.25 0.35 1.83 0.21 0.05
 -------- 14:00 0.04 ---- ---- 0.23 2.11 ---- 0.04
 -------- 15:00 0.02 ---- ---- 0.37 1.94 ---- 0.04
 -------- 16:00 0.02 ---- ---- 0.47 2.21 0.16 0.05
 14.01.13 17:00 0.02 ---- ---- 0.47 1.80 0.11 0.04
 -------- 18:00 0.02 ---- ---- 0.39 1.70 0.05 0.03
 -------- 19:00 ---- ---- ---- 0.42 1.69 0.05 0.03
 -------- 20:00 ---- ---- ---- 0.30 1.66 0.04 0.02
 -------- 21:00 ---- ---- ---- 0.24 1.63 0.04 0.02
 14.01.13 22:00 0.02 ---- ---- 0.21 1.62 0.04 0.02
 -------- 23:00 0.02 ---- ---- 0.20 1.61 0.04 0.02
 -------- 00:00 0.02 0.00 ---- 0.18 1.60 0.04 0.02
 -------- 01:00 0.02 0.00 0.12 0.17 1.58 0.04 0.02
 -------- 02:00 0.02 0.01 0.12 0.13 1.58 0.04 0.02
 15.01.13 03:00 0.02 0.01 0.12 0.11 1.57 0.03 0.02
 -------- 04:00 0.02 0.01 0.12 0.10 1.57 0.04 0.02
 -------- 05:00 0.02 0.01 0.25 0.11 1.56 0.04 0.02
 -------- 06:00 0.02 0.01 0.25 0.16 1.57 0.04 0.02
 -------- 07:00 0.02 0.01 0.25 0.25 1.60 0.04 0.02
 15.01.13 08:00 0.03 0.01 0.25 0.41 1.64 0.06 0.03
 -------- 09:00 0.04 0.01 0.25 0.46 1.67 0.07 0.03
 -------- 10:00 0.04 0.01 0.25 0.47 1.68 0.09 0.03
 -------- 11:00 0.04 0.01 0.25 0.40 1.66 0.08 0.03
 -------- 12:00 0.03 0.01 0.25 0.36 1.64 0.09 0.03
 15.01.13 13:00 0.03 0.01 0.25 0.39 1.66 0.10 0.04
 -------- 14:00 0.04 0.01 0.29 0.40 1.68 0.11 0.04
 -------- 15:00 0.04 0.01 0.38 0.41 1.69 0.11 0.04
 -------- 16:00 0.04 0.01 0.38 0.37 1.66 0.06 0.03
 -------- 17:00 0.03 0.01 0.38 0.42 1.64 0.07 0.03
 15.01.13 18:00 0.04 0.01 0.38 0.50 1.72 0.16 0.04
 -------- 19:00 0.03 0.01 0.50 0.50 1.79 0.18 0.05
 -------- 20:00 ---- 0.01 0.38 0.49 1.79 0.16 0.05
 -------- 21:00 ---- 0.01 0.38 0.50 1.82 0.17 0.05
 -------- 22:00 ---- 0.01 0.38 0.49 1.77 0.13 0.05
 15.01.13 23:00 ---- 0.01 0.38 0.49 1.68 0.08 0.03
 -------- 00:00 ---- 0.01 0.31 0.50 1.69 0.07 0.03
 -------- 01:00 ---- 0.00 0.12 0.50 2.04 0.11 0.03
 -------- 02:00 ---- 0.01 0.12 0.48 2.01 0.09 0.05
 -------- 03:00 ---- 0.00 0.56 0.39 1.87 0.04 0.04
 16.01.13 04:00 ---- ---- 0.25 0.38 1.78 0.04 0.03
 -------- 05:00 ---- ---- ---- 0.29 1.66 0.04 0.03
 -------- 06:00 ---- ---- ---- 0.27 1.65 0.04 0.03
 -------- 07:00 ---- ---- ---- 0.29 1.70 0.04 0.03
 -------- 08:00 ---- ---- ---- 0.27 1.86 0.04 0.02
 16.01.13 09:00 ---- ---- 0.12 0.31 1.82 0.04 0.03
 -------- 10:00 0.02 ---- ---- 0.36 1.77 0.05 0.04
 -------- 11:00 ---- ---- 0.12 0.38 1.90 0.08 0.05
