 Date Time CO H2S NO2 CHX NO
 23.09.12 12:00 0.08 0.38 0.07 1.68 0.00
 -------- 13:00 0.09 1.29 0.09 1.73 0.01
 -------- 14:00 0.10 0.67 0.11 1.79 0.01
 -------- 15:00 0.12 0.50 0.15 1.72 0.01
 -------- 16:00 0.10 0.54 0.12 1.66 0.01
 23.09.12 17:00 0.11 0.62 0.13 1.65 0.01
 -------- 18:00 0.14 0.21 0.16 1.71 0.02
 -------- 19:00 0.14 0.25 0.16 1.72 0.03
 -------- 20:00 0.17 0.17 0.15 1.73 0.03
 -------- 21:00 0.17 0.12 0.17 1.80 0.04
 23.09.12 22:00 0.13 0.19 0.17 1.62 0.00
 -------- 23:00 0.12 0.29 0.21 1.61 0.00
 -------- 00:00 0.11 0.21 0.18 1.60 0.00
 -------- 01:00 0.10 0.12 0.17 1.60 0.00
 -------- 02:00 0.10 0.38 0.16 1.63 ----
 24.09.12 03:00 0.10 0.58 0.16 1.65 ----
 -------- 04:00 0.09 0.12 0.13 1.60 ----
 -------- 05:00 0.08 ---- 0.10 1.57 ----
 -------- 06:00 0.09 0.21 0.12 1.56 0.00
 -------- 07:00 0.10 0.21 0.13 1.54 0.00
 24.09.12 08:00 0.13 0.25 0.20 1.60 0.02
 -------- 09:00 0.16 0.38 0.19 1.64 0.05
 -------- 10:00 0.13 ---- 0.16 1.62 0.03
 -------- 11:00 0.11 ---- 0.12 1.56 0.02
 -------- 12:00 0.11 0.12 0.13 1.55 0.01
 24.09.12 13:00 0.11 0.12 0.13 1.55 0.02
 -------- 14:00 0.10 0.25 0.10 1.53 0.02
 -------- 15:00 0.09 0.29 0.08 1.53 0.01
 -------- 16:00 0.10 0.12 0.13 1.55 0.01
 -------- 17:00 0.10 ---- 0.12 1.54 0.01
 24.09.12 18:00 0.10 0.17 0.14 1.54 0.01
 -------- 19:00 0.11 0.12 0.14 1.56 0.01
 -------- 20:00 0.09 0.21 0.17 1.63 0.02
 -------- 21:00 0.09 0.21 0.15 1.56 0.01
 -------- 22:00 0.09 0.25 0.15 1.57 0.01
 24.09.12 23:00 0.08 0.29 0.14 1.56 0.01
 -------- 00:00 0.07 0.21 0.15 1.59 0.01
 -------- 01:00 0.07 0.12 0.14 1.55 0.00
 -------- 02:00 0.06 0.12 0.11 1.55 ----
 -------- 03:00 0.06 0.17 0.10 1.53 ----
 25.09.12 04:00 0.05 0.25 0.09 1.54 ----
 -------- 05:00 0.06 0.25 0.08 1.54 ----
 -------- 06:00 0.06 0.21 0.11 1.54 0.00
 -------- 07:00 0.09 0.21 0.13 1.56 0.01
 -------- 08:00 0.07 0.21 0.12 1.54 0.01
 25.09.12 09:00 0.06 0.21 0.12 1.55 0.01
 -------- 10:00 0.05 0.21 0.11 1.54 0.02
 -------- 11:00 0.04 0.25 0.10 1.54 0.01
