 Date Time CO OZ NO2 NO
 10.01.13 00:00 0.08 ---- 0.18 0.02
 -------- 01:00 0.09 ---- 0.17 0.03
 -------- 02:00 0.07 ---- 0.14 0.03
 -------- 03:00 0.06 ---- 0.13 0.02
 -------- 04:00 0.06 ---- 0.14 0.03
 10.01.13 05:00 0.06 ---- 0.15 0.04
 -------- 06:00 0.09 ---- 0.17 0.06
 -------- 07:00 0.13 ---- 0.21 0.11
 -------- 08:00 0.17 ---- 0.23 0.09
 -------- 09:00 0.22 ---- 0.25 0.11
 10.01.13 10:00 0.22 ---- 0.24 0.13
 -------- 11:00 0.21 ---- 0.23 0.14
 -------- 12:00 0.23 ---- 0.25 0.20
 -------- 13:00 0.23 ---- 0.24 0.19
 -------- 14:00 0.17 ---- 0.21 0.13
 10.01.13 15:00 0.17 ---- 0.22 0.12
 -------- 16:00 0.17 ---- 0.22 0.12
 -------- 17:00 0.22 ---- 0.24 0.16
 -------- 18:00 0.23 ---- 0.24 0.14
 -------- 19:00 0.19 ---- 0.23 0.10
 10.01.13 20:00 0.16 ---- 0.22 0.09
 -------- 21:00 0.19 ---- 0.23 0.12
 -------- 22:00 0.18 ---- 0.25 0.15
 -------- 23:00 0.13 ---- 0.21 0.08
 -------- 00:00 0.15 ---- 0.24 0.14
 11.01.13 01:00 0.10 ---- 0.21 0.06
 -------- 02:00 0.08 ---- 0.17 0.03
 -------- 03:00 0.09 ---- 0.19 0.05
 -------- 04:00 0.10 ---- 0.19 0.05
 -------- 05:00 0.10 ---- 0.20 0.07
 11.01.13 06:00 0.12 ---- 0.20 0.07
 -------- 07:00 0.14 ---- 0.20 0.09
 -------- 08:00 0.17 ---- 0.21 0.11
 -------- 09:00 0.17 ---- 0.21 0.09
 -------- 10:00 0.18 ---- 0.22 0.12
 11.01.13 11:00 0.19 ---- 0.24 0.14
 -------- 12:00 0.24 ---- 0.26 0.20
 -------- 13:00 0.24 ---- 0.25 0.20
 -------- 14:00 0.25 ---- 0.25 0.21
 -------- 15:00 0.27 ---- 0.26 0.23
 11.01.13 16:00 0.25 ---- 0.25 0.20
 -------- 17:00 0.26 ---- 0.24 0.18
 -------- 18:00 0.25 ---- 0.24 0.18
 -------- 19:00 0.24 ---- 0.24 0.15
 -------- 20:00 0.23 ---- 0.23 0.16
 11.01.13 21:00 0.22 ---- 0.22 0.16
 -------- 22:00 0.23 ---- 0.22 0.17
 -------- 23:00 0.18 ---- 0.21 0.12
