 Date Time CO OZ NO2 CHX NO
 09.12.12 12:00 0.19 ---- 0.14 1.62 0.14
 -------- 13:00 0.21 ---- 0.15 1.66 0.13
 -------- 14:00 0.17 ---- 0.14 1.64 0.11
 -------- 15:00 0.21 ---- 0.17 1.65 0.14
 -------- 16:00 0.22 ---- 0.19 1.70 0.21
 09.12.12 17:00 0.24 ---- 0.18 1.81 0.22
 -------- 18:00 0.27 ---- 0.18 1.73 0.26
 -------- 19:00 0.27 ---- 0.20 1.70 0.31
 -------- 20:00 0.21 ---- 0.18 1.66 0.20
 -------- 21:00 0.21 ---- 0.17 1.67 0.21
 09.12.12 22:00 0.27 ---- 0.17 1.64 0.24
 -------- 23:00 0.33 ---- 0.19 1.72 0.38
 -------- 00:00 0.33 ---- 0.19 1.80 0.37
 -------- 01:00 0.28 ---- 0.18 1.85 0.26
 -------- 02:00 0.29 ---- 0.19 1.84 0.30
 10.12.12 03:00 0.32 ---- 0.21 1.94 0.36
 -------- 04:00 0.29 ---- 0.20 1.91 0.33
 -------- 05:00 0.28 ---- 0.20 2.04 0.31
 -------- 06:00 0.29 ---- 0.18 2.39 0.26
 -------- 07:00 0.30 ---- 0.17 2.47 0.22
 10.12.12 08:00 0.33 ---- 0.15 1.79 0.18
 -------- 09:00 0.30 ---- 0.16 1.73 0.19
 -------- 10:00 0.23 ---- 0.14 1.65 0.17
 -------- 11:00 0.25 ---- 0.16 1.70 0.21
 -------- 12:00 0.27 ---- 0.15 1.78 0.25
 10.12.12 13:00 0.30 ---- 0.14 1.95 0.24
 -------- 14:00 0.29 ---- 0.14 2.16 0.29
 -------- 15:00 0.29 ---- 0.15 1.89 0.31
 -------- 16:00 0.26 ---- 0.14 1.85 0.27
 -------- 17:00 0.24 ---- 0.14 1.81 0.23
 10.12.12 18:00 0.23 ---- 0.13 1.75 0.15
 -------- 19:00 0.23 ---- 0.12 1.70 0.13
 -------- 20:00 0.21 ---- 0.12 1.71 0.15
 -------- 21:00 0.15 ---- 0.11 1.59 0.09
 -------- 22:00 0.13 ---- 0.10 1.51 0.06
 10.12.12 23:00 0.12 ---- 0.11 1.50 0.06
 -------- 00:00 0.11 ---- 0.09 1.48 0.05
 -------- 01:00 0.11 ---- 0.08 1.47 0.04
 -------- 02:00 0.11 ---- 0.08 1.45 0.04
 -------- 03:00 0.11 ---- 0.06 1.44 0.03
 11.12.12 04:00 0.12 ---- 0.07 1.43 0.04
 -------- 05:00 0.12 ---- 0.05 1.42 0.03
 -------- 06:00 0.14 ---- 0.10 1.44 0.06
 -------- 07:00 0.14 ---- 0.11 1.47 0.08
 -------- 08:00 0.16 ---- 0.09 1.46 0.06
 11.12.12 09:00 0.15 ---- 0.11 1.45 0.06
 -------- 10:00 0.09 ---- 0.09 1.45 0.06
 -------- 11:00 0.09 ---- 0.10 1.47 0.04
