 Date Time CO OZ NO2 NO
 17.04.13 00:00 0.04 0.08 0.36 0.08
 -------- 01:00 0.02 0.07 0.36 0.09
 -------- 02:00 ---- 0.07 0.36 0.09
 -------- 03:00 ---- 0.08 0.34 0.05
 -------- 04:00 ---- 0.10 0.31 0.03
 17.04.13 05:00 ---- 0.09 0.31 0.04
 -------- 06:00 ---- 0.09 0.29 0.03
 -------- 07:00 0.03 0.08 0.31 0.08
 -------- 08:00 0.05 0.08 0.36 0.10
 -------- 09:00 0.03 0.11 0.33 0.08
 17.04.13 10:00 ---- 0.16 0.30 0.07
 -------- 11:00 ---- 0.30 0.24 0.04
 -------- 12:00 ---- 0.34 0.23 0.04
 -------- 13:00 ---- 0.45 0.18 0.03
 -------- 14:00 ---- 0.46 0.18 0.03
 17.04.13 15:00 ---- 0.52 0.17 0.02
 -------- 16:00 0.02 0.56 0.18 0.02
 -------- 17:00 ---- 0.54 0.21 0.03
 -------- 18:00 ---- 0.54 0.20 0.02
 -------- 19:00 ---- 0.45 0.24 0.03
 17.04.13 20:00 0.02 0.39 0.26 0.04
 -------- 21:00 0.11 0.10 0.40 0.14
 -------- 22:00 0.19 0.06 0.43 0.22
 -------- 23:00 0.08 0.09 0.41 0.15
 -------- 00:00 0.04 0.12 0.40 0.13
 18.04.13 01:00 0.02 0.15 0.39 0.12
 -------- 02:00 0.02 0.19 0.36 0.10
 -------- 03:00 ---- 0.06 0.44 0.21
 -------- 04:00 ---- 0.20 0.35 0.09
 -------- 05:00 ---- 0.14 0.37 0.10
 18.04.13 06:00 0.04 0.06 0.41 0.20
 -------- 07:00 ---- 0.26 0.31 0.05
 -------- 08:00 ---- 0.20 0.34 0.05
 -------- 09:00 0.02 0.31 0.29 0.05
 -------- 10:00 ---- 0.41 0.25 0.03
 18.04.13 11:00 ---- 0.45 0.22 0.03
 -------- 12:00 0.02 0.32 0.28 0.06
 -------- 13:00 0.02 0.36 0.27 0.05
 -------- 14:00 0.02 0.50 0.19 0.03
 -------- 15:00 ---- 0.58 0.15 0.02
 18.04.13 16:00 ---- 0.46 0.20 0.03
 -------- 17:00 ---- 0.58 0.16 0.02
 -------- 18:00 ---- 0.58 0.15 0.01
 -------- 19:00 ---- 0.57 0.16 0.01
 -------- 20:00 0.02 0.46 0.20 0.01
 18.04.13 21:00 0.03 0.22 0.30 0.02
 -------- 22:00 0.21 0.06 0.41 0.21
 -------- 23:00 0.16 0.05 0.41 0.23
