 Date Time OZ NO2 CHX NO
 25.09.12 12:00 0.16 0.13 1.50 0.05
 -------- 13:00 0.16 0.12 1.50 0.07
 -------- 14:00 0.18 0.10 1.50 0.06
 -------- 15:00 0.15 0.13 1.49 0.04
 -------- 16:00 0.11 0.16 1.51 0.06
 25.09.12 17:00 0.13 0.15 1.54 0.06
 -------- 18:00 0.13 0.13 1.53 0.04
 -------- 19:00 0.11 0.13 1.52 0.05
 -------- 20:00 0.07 0.14 1.53 0.06
 -------- 21:00 0.08 0.13 1.53 0.05
 25.09.12 22:00 0.07 0.14 1.53 0.07
 -------- 23:00 0.06 0.12 1.52 0.07
 -------- 00:00 0.06 0.10 1.51 0.05
 -------- 01:00 0.08 0.09 1.50 0.05
 -------- 02:00 0.08 0.08 1.49 0.03
 26.09.12 03:00 0.08 0.08 1.48 0.04
 -------- 04:00 0.07 0.08 1.48 0.03
 -------- 05:00 0.04 0.11 1.48 0.10
 -------- 06:00 0.04 0.11 1.51 0.13
 -------- 07:00 0.03 0.12 1.51 0.14
 26.09.12 08:00 0.04 0.13 1.52 0.14
 -------- 09:00 0.05 0.11 1.53 0.09
 -------- 10:00 0.05 0.14 1.55 0.10
 -------- 11:00 0.06 0.14 1.57 0.16
 -------- 12:00 0.10 0.16 1.57 0.06
 26.09.12 13:00 0.13 0.14 1.57 0.05
 -------- 14:00 0.09 0.17 1.54 0.09
 -------- 15:00 0.11 0.16 1.53 0.09
 -------- 16:00 0.08 0.18 1.54 0.12
 -------- 17:00 0.09 0.17 1.54 0.08
 26.09.12 18:00 0.10 0.17 1.53 0.05
 -------- 19:00 0.08 0.17 1.53 0.05
 -------- 20:00 0.04 0.19 1.54 0.10
 -------- 21:00 0.04 0.17 1.55 0.09
 -------- 22:00 0.03 0.18 1.58 0.08
 26.09.12 23:00 0.03 0.17 1.59 0.09
 -------- 00:00 0.03 0.18 1.61 0.09
 -------- 01:00 0.03 0.18 1.63 0.15
 -------- 02:00 0.04 0.18 1.66 0.44
 -------- 03:00 0.04 0.18 1.75 0.45
 27.09.12 04:00 0.05 0.19 1.84 0.73
 -------- 05:00 0.05 0.17 2.03 0.78
 -------- 06:00 0.05 0.18 2.28 0.89
 -------- 07:00 0.05 0.20 2.43 0.89
 -------- 08:00 0.05 0.23 2.48 0.74
 27.09.12 09:00 0.04 0.24 2.34 0.37
 -------- 10:00 0.05 0.27 2.18 0.28
