 Date Time OZ NO2 CHX NO
 28.09.12 23:00 0.24 0.16 1.50 0.04
 -------- 00:00 0.28 0.10 1.49 0.02
 -------- 01:00 0.24 0.10 1.48 0.03
 -------- 02:00 0.20 0.10 1.47 0.03
 -------- 03:00 0.18 0.10 1.48 0.03
 29.09.12 04:00 0.16 0.11 1.52 0.03
 -------- 05:00 0.11 0.15 1.60 0.05
 -------- 06:00 0.08 0.18 1.60 0.09
 -------- 07:00 0.08 0.17 1.58 0.10
 -------- 08:00 0.08 0.17 1.56 0.13
 29.09.12 09:00 0.10 0.17 1.57 0.10
 -------- 10:00 0.15 0.20 1.57 0.08
 -------- 11:00 0.17 0.13 1.54 0.07
 -------- 12:00 0.23 0.11 1.51 0.05
 -------- 13:00 0.26 0.12 1.50 0.06
 29.09.12 14:00 0.29 0.10 1.49 0.04
 -------- 15:00 0.26 0.11 1.48 0.05
 -------- 16:00 0.26 0.12 1.47 0.05
 -------- 17:00 0.21 0.17 1.47 0.07
 -------- 18:00 0.20 0.16 1.47 0.08
 29.09.12 19:00 0.14 0.19 1.48 0.07
 -------- 20:00 0.13 0.18 1.48 0.06
 -------- 21:00 0.05 0.22 1.55 0.12
 -------- 22:00 0.04 0.29 1.62 0.22
 -------- 23:00 0.05 0.25 1.67 0.33
 30.09.12 00:00 0.04 0.26 1.71 0.38
 -------- 01:00 0.04 0.24 1.71 0.19
 -------- 02:00 0.04 0.24 1.69 0.31
 -------- 03:00 0.04 0.21 1.67 0.24
 -------- 04:00 0.04 0.19 2.10 0.21
 30.09.12 05:00 0.04 0.19 2.30 0.16
 -------- 06:00 0.04 0.18 2.04 0.15
 -------- 07:00 0.04 0.18 1.87 0.20
 -------- 08:00 0.04 0.18 1.78 0.26
 -------- 09:00 0.04 0.17 1.73 0.24
 30.09.12 10:00 0.05 0.23 1.70 0.23
 -------- 11:00 0.06 0.22 1.66 0.20
 -------- 12:00 0.13 0.20 1.62 0.11
 -------- 13:00 0.19 0.16 1.56 0.09
 -------- 14:00 0.21 0.15 1.51 0.08
 30.09.12 15:00 0.21 0.17 1.49 0.07
 -------- 16:00 0.18 0.18 1.49 0.09
 -------- 17:00 0.17 0.17 1.48 0.07
 -------- 18:00 0.13 0.18 1.50 0.09
 -------- 19:00 0.15 0.15 1.50 0.06
 30.09.12 20:00 0.14 0.14 1.50 0.07
