 Date Time CO OZ NO2 NO
 08.05.13 00:00 0.39 ---- ---- ----
 -------- 01:00 0.53 ---- ---- ----
 -------- 02:00 0.56 ---- ---- ----
 -------- 03:00 0.37 ---- ---- ----
 -------- 04:00 0.19 ---- ---- ----
 08.05.13 05:00 0.15 ---- ---- ----
 -------- 06:00 0.08 ---- ---- ----
 -------- 07:00 0.11 ---- ---- ----
 -------- 08:00 0.11 ---- ---- ----
 -------- 09:00 0.13 ---- ---- ----
 08.05.13 10:00 0.13 ---- ---- ----
 -------- 11:00 0.09 ---- ---- ----
 -------- 12:00 0.09 ---- ---- ----
 -------- 13:00 0.09 ---- ---- ----
 -------- 14:00 0.07 ---- ---- ----
 08.05.13 15:00 0.08 ---- ---- ----
 -------- 16:00 0.09 ---- ---- ----
 -------- 17:00 0.08 ---- ---- ----
 -------- 18:00 0.08 ---- ---- ----
 -------- 19:00 0.07 ---- ---- ----
 08.05.13 20:00 0.10 ---- ---- ----
 -------- 21:00 0.19 ---- ---- ----
 -------- 22:00 0.20 ---- ---- ----
 -------- 23:00 0.21 ---- ---- ----
 -------- 00:00 0.24 ---- ---- ----
 09.05.13 01:00 0.30 ---- ---- ----
 -------- 02:00 0.34 ---- ---- ----
 -------- 03:00 0.23 ---- ---- ----
 -------- 04:00 0.13 ---- ---- ----
 -------- 05:00 0.11 ---- ---- ----
 09.05.13 06:00 0.18 ---- ---- ----
 -------- 07:00 0.25 ---- ---- ----
 -------- 08:00 0.21 ---- ---- ----
 -------- 09:00 0.15 ---- ---- ----
 -------- 10:00 0.16 ---- ---- ----
 09.05.13 11:00 0.11 ---- ---- ----
 -------- 12:00 0.09 ---- ---- ----
 -------- 13:00 0.09 ---- ---- ----
 -------- 14:00 0.09 ---- ---- ----
 -------- 15:00 0.11 ---- ---- ----
 09.05.13 16:00 0.13 ---- ---- ----
 -------- 17:00 0.11 ---- ---- ----
 -------- 18:00 0.13 ---- ---- ----
 -------- 19:00 0.10 ---- ---- ----
 -------- 20:00 0.11 ---- ---- ----
 09.05.13 21:00 0.09 ---- ---- ----
 -------- 22:00 0.69 ---- ---- ----
 -------- 23:00 0.79 ---- ---- ----
 -------- 00:00 0.70 ---- ---- ----
