 Date Time CO OZ NO2 CHX NO
 20.09.12 23:00 0.36 0.04 0.33 1.66 0.29
 -------- 00:00 0.31 0.07 0.27 1.63 0.15
 -------- 01:00 0.26 0.08 0.25 1.59 0.13
 -------- 02:00 0.23 0.09 0.22 1.57 0.10
 -------- 03:00 0.21 0.08 0.19 1.55 0.08
 21.09.12 04:00 0.20 0.05 0.20 1.55 0.12
 -------- 05:00 0.20 0.05 0.20 1.59 0.14
 -------- 06:00 0.21 0.05 0.20 1.64 0.17
 -------- 07:00 0.25 0.04 0.22 1.72 0.31
 -------- 08:00 0.33 0.04 0.26 1.76 0.35
 21.09.12 09:00 0.37 0.05 0.29 1.83 0.34
 -------- 10:00 0.35 0.05 0.33 1.86 0.30
 -------- 11:00 0.35 0.05 0.30 1.83 0.33
 -------- 12:00 0.31 0.06 0.30 1.77 0.24
 -------- 13:00 0.29 0.12 0.27 1.73 0.15
 21.09.12 14:00 0.25 0.24 0.21 1.66 0.08
 -------- 15:00 0.23 0.23 0.22 1.61 0.09
 -------- 16:00 0.21 0.23 0.23 1.57 0.08
 -------- 17:00 0.23 0.20 0.29 1.56 0.11
 -------- 18:00 0.27 0.14 0.32 1.57 0.16
 21.09.12 19:00 0.25 0.07 0.24 1.58 0.08
 -------- 20:00 0.22 0.06 0.14 1.57 0.06
 -------- 21:00 0.21 0.06 0.15 1.55 0.05
 -------- 22:00 0.20 0.05 0.16 1.55 0.04
 -------- 23:00 0.20 0.05 0.14 1.55 0.05
 22.09.12 00:00 0.17 0.07 0.12 1.56 0.03
 -------- 01:00 0.16 0.06 0.13 1.55 0.03
 -------- 02:00 0.16 0.06 0.14 1.55 0.05
 -------- 03:00 0.15 0.07 0.13 1.53 0.04
 -------- 04:00 0.15 0.11 0.12 1.52 0.04
 22.09.12 05:00 0.14 0.10 0.13 1.51 0.05
 -------- 06:00 0.15 0.06 0.16 1.51 0.09
 -------- 07:00 0.17 0.05 0.16 1.53 0.12
 -------- 08:00 0.21 0.05 0.18 1.55 0.19
 -------- 09:00 0.25 0.05 0.19 1.58 0.30
 22.09.12 10:00 0.25 0.05 0.21 1.60 0.26
 -------- 11:00 0.24 0.06 0.18 1.59 0.23
 -------- 12:00 0.21 0.11 0.16 1.57 0.12
 -------- 13:00 0.21 0.11 0.18 1.56 0.13
 -------- 14:00 0.22 0.11 0.20 1.57 0.17
 22.09.12 15:00 0.21 0.11 0.22 1.58 0.14
 -------- 16:00 0.23 0.10 0.24 1.62 0.17
 -------- 17:00 0.25 0.07 0.26 1.66 0.15
 -------- 18:00 0.27 0.06 0.26 1.69 0.15
 -------- 19:00 0.30 0.05 0.27 1.71 0.22
 22.09.12 20:00 0.31 0.04 0.25 1.72 0.21
 -------- 21:00 0.34 0.04 0.23 1.74 0.24
 -------- 22:00 0.31 0.05 0.26 1.82 0.21
