 Date Time OZ NO2 CHX NO
 26.09.12 12:00 0.10 0.16 1.58 0.06
 -------- 13:00 0.13 0.14 1.57 0.05
 -------- 14:00 0.09 0.17 1.54 0.09
 -------- 15:00 0.11 0.16 1.53 0.09
 -------- 16:00 0.08 0.18 1.54 0.12
 26.09.12 17:00 0.09 0.17 1.54 0.08
 -------- 18:00 0.10 0.17 1.53 0.05
 -------- 19:00 0.08 0.17 1.53 0.05
 -------- 20:00 0.04 0.19 1.54 0.10
 -------- 21:00 0.04 0.17 1.55 0.09
 26.09.12 22:00 0.03 0.18 1.58 0.08
 -------- 23:00 0.03 0.17 1.59 0.09
 -------- 00:00 0.03 0.18 1.61 0.09
 -------- 01:00 0.03 0.18 1.63 0.15
 -------- 02:00 0.04 0.18 1.66 0.44
 27.09.12 03:00 0.04 0.18 1.75 0.45
 -------- 04:00 0.05 0.19 1.84 0.73
 -------- 05:00 0.05 0.17 2.03 0.78
 -------- 06:00 0.05 0.18 2.28 0.89
 -------- 07:00 0.05 0.20 2.43 0.89
 27.09.12 08:00 0.05 0.23 2.48 0.74
 -------- 09:00 0.04 0.24 2.34 0.37
 -------- 10:00 0.05 0.27 2.18 0.28
 -------- 11:00 0.05 0.24 2.03 0.25
 -------- 12:00 0.07 0.22 1.88 0.20
 27.09.12 13:00 0.12 0.19 1.75 0.11
 -------- 14:00 0.09 0.21 1.67 0.16
 -------- 15:00 0.10 0.20 1.62 0.15
 -------- 16:00 0.08 0.21 1.59 0.17
 -------- 17:00 0.08 0.21 1.58 0.14
 27.09.12 18:00 0.07 0.21 1.57 0.11
 -------- 19:00 0.05 0.23 1.58 0.10
 -------- 20:00 0.06 0.21 1.58 0.11
 -------- 21:00 0.06 0.20 1.58 0.09
 -------- 22:00 0.06 0.23 1.60 0.11
 27.09.12 23:00 0.05 0.21 1.63 0.12
 -------- 00:00 0.07 0.21 1.63 0.08
 -------- 01:00 0.09 0.20 1.60 0.07
 -------- 02:00 0.08 0.20 1.58 0.06
 -------- 03:00 0.13 0.20 1.57 0.05
 28.09.12 04:00 0.09 0.21 1.57 0.08
 -------- 05:00 0.11 0.22 1.56 0.08
 -------- 06:00 0.05 0.25 1.57 0.17
 -------- 07:00 0.06 0.26 1.60 0.17
 -------- 08:00 0.07 0.28 1.60 0.16
 28.09.12 09:00 0.11 0.26 1.60 0.13
 -------- 10:00 0.13 0.26 1.58 0.11
 -------- 11:00 0.17 0.24 1.57 0.11
